Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,DataExplorer.Domain.Core.Events,IDomainEvent,C:\repos\dataexplorer_dataexplorer\Domain\Core\Events\IDomainEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,BooleanToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\BooleanToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  BooleanToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\BooleanToAxisMap.cs' [19' 53])' BooleanToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\BooleanToSizeMap.cs' [16' 50])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,DateTimeToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\DateTimeToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DateTimeToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\DateTimeToAxisMap.cs' [33' 64])' DateTimeToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\DateTimeToSizeMap.cs' [33' 64])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,FloatToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\FloatToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  FloatToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\FloatToAxisMap.cs' [38' 69])' FloatToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\FloatToSizeMap.cs' [38' 69])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,FloatToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\FloatToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  FloatToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\FloatToAxisMap.cs' [47' 67])' IntegerToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\IntegerToAxisMap.cs' [42' 62])' IntegerToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\IntegerToSizeMap.cs' [42' 62])' FloatToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\FloatToSizeMap.cs' [47' 67])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,IntegerToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\IntegerToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  IntegerToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\IntegerToAxisMap.cs' [42' 64])' IntegerToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\IntegerToSizeMap.cs' [42' 64])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,IntegerToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\IntegerToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  IntegerToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\IntegerToAxisMap.cs' [33' 60])' IntegerToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\IntegerToSizeMap.cs' [33' 60])
Duplicate Abstraction,DataExplorer.Domain.Maps.AxisMaps,StringToAxisMap,C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\StringToAxisMap.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  StringToAxisMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\AxisMaps\StringToAxisMap.cs' [30' 72])' StringToSizeMap (C:\repos\dataexplorer_dataexplorer\Domain\Maps\SizeMaps\StringToSizeMap.cs' [29' 71])
Unnecessary Abstraction,DataExplorer.Domain.Projects,Project,C:\repos\dataexplorer_dataexplorer\Domain\Projects\Project.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Sources' Columns' Rows' Filters' Views
Unnecessary Abstraction,DataExplorer.Domain.Sources.Events,CsvFilePathChangedEvent,C:\repos\dataexplorer_dataexplorer\Domain\Sources\Events\CsvFilePathChangedEvent.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
