Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,DaveMcKeown.TidyTabs,WindowTimestamp,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\WindowTimestamp.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DaveMcKeown.TidyTabs,Extensions,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Extensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,DaveMcKeown.TidyTabs,GuidList,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\GuidList.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' guidTidyTabsCmdSetString' guidTidyTabsPkgString' guidTidyTabsCmdSet
Unnecessary Abstraction,DaveMcKeown.TidyTabs,SettingsProvider,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\SettingsProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Instance' settings
Unutilized Abstraction,DaveMcKeown.TidyTabs,SettingsProvider,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\SettingsProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DaveMcKeown.TidyTabs,TidyTabsOptionPage,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\TidyTabsOptionPage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DaveMcKeown.TidyTabs,TidyTabsPackage,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\TidyTabsPackage.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,DaveMcKeown.TidyTabs,PkgCmdIDList,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\PkgCmdIDList.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' cmdidTidyTabs
Unutilized Abstraction,DaveMcKeown.TidyTabs.Attributes,LocalizedCategory,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedCategory.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,DaveMcKeown.TidyTabs.Attributes,LocalizedCategory,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedCategory.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  LocalizedCategory (C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedCategory.cs' [3' 22])' LocalizedDescription (C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedDescription.cs' [3' 22])
Unutilized Abstraction,DaveMcKeown.TidyTabs.Attributes,LocalizedDescription,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedDescription.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,DaveMcKeown.TidyTabs.Attributes,LocalizedDisplayName,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Attributes\LocalizedDisplayName.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Broken Modularization,DaveMcKeown.TidyTabs,TidyTabsOptionPage,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\TidyTabsOptionPage.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: PurgeTabsOnSave' TabTimeoutMinutes' TabCloseThreshold' MaxOpenTabs' Settings' settings
Broken Modularization,DaveMcKeown.TidyTabs.Properties,Settings,C:\repos\davemckeown_TidyTabs-VisualStudio\TidyTabs\Properties\Settings.Designer.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Default' TabTimeoutMinutes' PurgeStaleTabsOnSave' TabCloseThreshold' MaxOpenTabs' defaultInstance
