Namespace,Type,Method,LOC,CC,PC
Agatha.Common,IAsyncRequestDispatcher,Add,0,1,1
Agatha.Common,IAsyncRequestDispatcher,Add,0,1,1
Agatha.Common,IAsyncRequestDispatcher,Add,0,1,1
Agatha.Common,IAsyncRequestDispatcher,Add,0,1,2
Agatha.Common,IAsyncRequestDispatcher,Add,0,1,1
Agatha.Common,IAsyncRequestDispatcher,ProcessOneWayRequests,0,1,0
Agatha.Common,IAsyncRequestDispatcher,ProcessRequests,0,1,2
Agatha.Common,IAsyncRequestDispatcher,ProcessRequests,0,1,2
Agatha.Common,AsyncRequestDispatcher,AsyncRequestDispatcher,5,1,2
Agatha.Common,AsyncRequestDispatcher,Add,6,2,1
Agatha.Common,AsyncRequestDispatcher,Add,5,1,2
Agatha.Common,AsyncRequestDispatcher,Add,5,1,1
Agatha.Common,AsyncRequestDispatcher,Add,3,1,1
Agatha.Common,AsyncRequestDispatcher,Add,4,1,1
Agatha.Common,AsyncRequestDispatcher,ProcessOneWayRequests,7,1,0
Agatha.Common,AsyncRequestDispatcher,OnProcessOneWayRequestsCompleted,7,2,1
Agatha.Common,AsyncRequestDispatcher,ProcessRequests,3,1,2
Agatha.Common,AsyncRequestDispatcher,ProcessRequests,3,1,2
Agatha.Common,AsyncRequestDispatcher,ProcessRequests,22,2,1
Agatha.Common,AsyncRequestDispatcher,GetCachedResponsesAndRemoveThoseRequests,15,4,3
Agatha.Common,AsyncRequestDispatcher,BeforeSendingRequests,1,1,1
Agatha.Common,AsyncRequestDispatcher,AfterSendingRequests,1,1,1
Agatha.Common,AsyncRequestDispatcher,OnProcessRequestsCompleted,4,1,4
Agatha.Common,AsyncRequestDispatcher,DisposeManagedResources,10,3,0
Agatha.Common,AsyncRequestDispatcher,AddRequest,12,2,2
Agatha.Common,AsyncRequestDispatcher,RequestTypeIsAlreadyPresent,3,1,1
Agatha.Common,AsyncRequestDispatcher,RequestTypeIsNotAssociatedWithKey,3,1,1
Agatha.Common,AsyncRequestDispatcher,InitializeState,6,1,0
Agatha.Common,AsyncRequestDispatcher,EnsureWeOnlyHaveOneWayRequests,7,2,0
Agatha.Common,AsyncRequestDispatcher,EnsureWeOnlyHaveTwoWayRequests,7,2,0
Agatha.Common,AsyncRequestDispatcher,ThrowInvalidUsageException,3,1,0
Agatha.Common,IAsyncRequestDispatcherFactory,CreateAsyncRequestDispatcher,0,1,0
Agatha.Common,AsyncRequestDispatcherFactory,CreateAsyncRequestDispatcher,3,1,0
Agatha.Common,AsyncRequestDispatcherFactoryStub,AsyncRequestDispatcherFactoryStub,3,1,1
Agatha.Common,AsyncRequestDispatcherFactoryStub,CreateAsyncRequestDispatcher,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,AsyncRequestDispatcherStub,7,1,0
Agatha.Common,AsyncRequestDispatcherStub,SetResponsesToReturn,4,1,1
Agatha.Common,AsyncRequestDispatcherStub,AddResponseToReturn,4,1,2
Agatha.Common,AsyncRequestDispatcherStub,HasRequest,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,HasRequest,3,1,1
Agatha.Common,AsyncRequestDispatcherStub,HasOneWayRequest,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,GetRequest,4,1,0
Agatha.Common,AsyncRequestDispatcherStub,GetRequest,3,1,1
Agatha.Common,AsyncRequestDispatcherStub,GetOneWayRequest,7,2,0
Agatha.Common,AsyncRequestDispatcherStub,GetOneWayRequests,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,ClearRequests,4,1,0
Agatha.Common,AsyncRequestDispatcherStub,Add,6,1,1
Agatha.Common,AsyncRequestDispatcherStub,Add,9,3,1
Agatha.Common,AsyncRequestDispatcherStub,Add,5,1,1
Agatha.Common,AsyncRequestDispatcherStub,Add,4,1,2
Agatha.Common,AsyncRequestDispatcherStub,Add,4,1,1
Agatha.Common,AsyncRequestDispatcherStub,ProcessOneWayRequests,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,ProcessRequests,3,1,2
Agatha.Common,AsyncRequestDispatcherStub,ProcessRequests,3,1,2
Agatha.Common,AsyncRequestDispatcherStub,ProcessRequests,3,1,1
Agatha.Common,AsyncRequestDispatcherStub,ReturnResponses,3,1,0
Agatha.Common,AsyncRequestDispatcherStub,DisposeManagedResources,1,1,0
Agatha.Common,AsyncRequestDispatcherStub,EnsureWeOnlyHaveOneWayRequests,7,2,0
Agatha.Common,AsyncRequestDispatcherStub,EnsureWeOnlyHaveTwoWayRequests,7,2,0
Agatha.Common,AsyncRequestDispatcherStub,ThrowInvalidUsageException,3,1,0
Agatha.Common,ClientConfiguration,ClientConfiguration,4,1,1
Agatha.Common,ClientConfiguration,ClientConfiguration,4,1,1
Agatha.Common,ClientConfiguration,ClientConfiguration,3,1,2
Agatha.Common,ClientConfiguration,ClientConfiguration,3,1,2
Agatha.Common,ClientConfiguration,AddRequestAndResponseAssembly,4,1,1
Agatha.Common,ClientConfiguration,SetDefaultImplementations,10,1,0
Agatha.Common,ClientConfiguration,Initialize,17,2,0
Agatha.Common,ClientConfiguration,ConfigureCachingLayer,5,1,0
Agatha.Common,ClientConfiguration,RegisterRequestAndResponseTypes,7,2,0
Agatha.Common,IConventions,GetResponseTypeFor,0,1,1
Agatha.Common,IConventions,GetRequestTypeFor,0,1,1
Agatha.Common,Disposable,Dispose,4,1,0
Agatha.Common,Disposable,Dispose,11,3,1
Agatha.Common,Disposable,ThrowExceptionIfDisposed,6,2,0
Agatha.Common,Disposable,DisposeManagedResources,0,1,0
Agatha.Common,Disposable,DisposeUnmanagedResources,1,1,0
Agatha.Common,ExceptionInfo,ExceptionInfo,1,1,0
Agatha.Common,ExceptionInfo,ExceptionInfo,9,2,1
Agatha.Common,ExceptionInfo,ToString,5,1,0
Agatha.Common,ExceptionInfo,ToStringHelper,18,3,1
Agatha.Common,IAsyncRequestProcessor,BeginProcessRequests,0,1,3
Agatha.Common,IAsyncRequestProcessor,EndProcessRequests,0,1,1
Agatha.Common,IAsyncRequestProcessor,ProcessRequestsAsync,0,1,2
Agatha.Common,IAsyncRequestProcessor,BeginProcessOneWayRequests,0,1,3
Agatha.Common,IAsyncRequestProcessor,EndProcessOneWayRequests,0,1,1
Agatha.Common,IAsyncRequestProcessor,ProcessOneWayRequestsAsync,0,1,2
Agatha.Common,IRequestHandlerInterceptor,BeforeHandlingRequest,0,1,1
Agatha.Common,IRequestHandlerInterceptor,AfterHandlingRequest,0,1,1
Agatha.Common,ProcessRequestsAsyncCompletedArgs,ProcessRequestsAsyncCompletedArgs,3,1,4
Agatha.Common,ReceivedResponses,ReceivedResponses,1,1,1
Agatha.Common,ReceivedResponses,ReceivedResponses,4,1,2
Agatha.Common,ReceivedResponses,Get,4,1,0
Agatha.Common,ReceivedResponses,Get,3,1,1
Agatha.Common,ReceivedResponses,HasResponse,3,1,0
Agatha.Common,IRequestDispatcher,Add,0,1,1
Agatha.Common,IRequestDispatcher,Add,0,1,1
Agatha.Common,IRequestDispatcher,Add,0,1,2
Agatha.Common,IRequestDispatcher,Add,0,1,1
Agatha.Common,IRequestDispatcher,Send,0,1,1
Agatha.Common,IRequestDispatcher,HasResponse,0,1,0
Agatha.Common,IRequestDispatcher,Get,0,1,0
Agatha.Common,IRequestDispatcher,Get,0,1,1
Agatha.Common,IRequestDispatcher,Get,0,1,1
Agatha.Common,IRequestDispatcher,Clear,0,1,0
Agatha.Common,RequestDispatcher,RequestDispatcher,5,1,2
Agatha.Common,RequestDispatcher,InitializeState,6,1,0
Agatha.Common,RequestDispatcher,Add,6,2,1
Agatha.Common,RequestDispatcher,Add,5,1,1
Agatha.Common,RequestDispatcher,Add,3,1,1
Agatha.Common,RequestDispatcher,Add,8,2,2
Agatha.Common,RequestDispatcher,Send,5,1,1
Agatha.Common,RequestDispatcher,HasResponse,4,1,0
Agatha.Common,RequestDispatcher,HasResponse,4,1,1
Agatha.Common,RequestDispatcher,HasMoreThanOneResponse,4,1,0
Agatha.Common,RequestDispatcher,Get,12,3,0
Agatha.Common,RequestDispatcher,Get,8,2,1
Agatha.Common,RequestDispatcher,Get,4,1,1
Agatha.Common,RequestDispatcher,Clear,3,1,0
Agatha.Common,RequestDispatcher,DisposeManagedResources,3,2,0
Agatha.Common,RequestDispatcher,GetResponses,16,2,1
Agatha.Common,RequestDispatcher,GetCachedResponsesAndRemoveThoseRequests,15,4,3
Agatha.Common,RequestDispatcher,AddCacheableResponsesToCache,9,3,2
Agatha.Common,RequestDispatcher,PutReceivedResponsesInTempResponseArray,10,3,2
Agatha.Common,RequestDispatcher,BeforeSendingRequests,1,1,1
Agatha.Common,RequestDispatcher,AfterSendingRequests,1,1,1
Agatha.Common,RequestDispatcher,BeforeReturningResponses,1,1,1
Agatha.Common,RequestDispatcher,SendRequestsIfNecessary,7,2,0
Agatha.Common,RequestDispatcher,RequestsSent,3,1,0
Agatha.Common,RequestDispatcher,DealWithPossibleExceptions,13,4,1
Agatha.Common,RequestDispatcher,DealWithUnknownException,1,1,1
Agatha.Common,RequestDispatcher,DealWithSecurityException,1,1,1
Agatha.Common,RequestDispatcher,AddRequest,14,3,2
Agatha.Common,RequestDispatcher,RequestTypeIsNotAssociatedWithKey,3,1,1
Agatha.Common,RequestDispatcher,RequestTypeIsAlreadyPresent,3,1,1
Agatha.Common,IRequestDispatcherFactory,CreateRequestDispatcher,0,1,0
Agatha.Common,RequestDispatcherFactory,CreateRequestDispatcher,3,1,0
Agatha.Common,RequestDispatcherFactoryStub,RequestDispatcherFactoryStub,3,1,1
Agatha.Common,RequestDispatcherFactoryStub,CreateRequestDispatcher,3,1,0
Agatha.Common,RequestDispatcherStub,RequestDispatcherStub,1,1,0
Agatha.Common,RequestDispatcherStub,AddResponsesToReturn,3,1,1
Agatha.Common,RequestDispatcherStub,AddResponsesToReturn,11,3,1
Agatha.Common,RequestDispatcherStub,AddResponseToReturn,3,1,1
Agatha.Common,RequestDispatcherStub,AddResponseToReturn,4,1,2
Agatha.Common,RequestDispatcherStub,Clear,4,1,0
Agatha.Common,RequestDispatcherStub,Add,4,1,2
Agatha.Common,RequestDispatcherStub,GetRequest,3,1,0
Agatha.Common,RequestDispatcherStub,GetRequest,3,1,1
