Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,DC.Nitrus,BottleArgCollection,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\BottleArgCollection.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,DC.Nitrus,BottleCollection,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\BottleCollection.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,DC.Nitrus,IProjectsProvider,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\IProjectsProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProjectNames
Unutilized Abstraction,DC.Nitrus,IProjectsProvider,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\IProjectsProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,DC.Nitrus,LayerCollection,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\LayerCollection.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,DC.Nitrus,LayerScopeBindable,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\LayerScopeBindable.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' Selected
Unnecessary Abstraction,DC.Nitrus,ProjectsProvider,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\ProjectsProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: CurrentProvider
Unnecessary Abstraction,DC.Nitrus,DebugProjectProvider,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\DebugProjectProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProjectNames' _projectNames
Unutilized Abstraction,DC.Nitrus,DebugProjectProvider,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\DebugProjectProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Deficient Encapsulation,DC.Nitrus.Configuration,BottleManager,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\Configuration\BottleManager.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: RelativePath' DefaultFilename
Deficient Encapsulation,DC.Nitrus.Configuration,BottleManager,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\Configuration\BottleManager.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: RelativePath' DefaultFilename
Deficient Encapsulation,DC.Nitrus.Configuration,WorkspaceManager,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\Configuration\WorkspaceManager.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DefaultFilename' DefaultFolder
Deficient Encapsulation,DC.Nitrus.Configuration,WorkspaceManager,C:\repos\delmosaurio_vs-nitrus\solution\DC.Nitrus\Configuration\WorkspaceManager.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: DefaultFilename' DefaultFolder
