Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,Lex.Db,Ctor<T>,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Core\CtorOfT.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' New
Unnecessary Abstraction,Lex.Db,Ctor<R;T>,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Core\CtorOfT.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' New
Unutilized Abstraction,Lex.Db,TypeHelper,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Core\TypeHelper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Lex.Db,CommitInfo,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Db\DbInstance.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Writer' Crop' Modified
Unutilized Abstraction,Lex.Db,DbTableAsync,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Db\DbTableAsync.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Lex.Db,IMemberMap,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Mapping\MemberMap.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' Type
Unutilized Abstraction,Lex.Db,Extensions,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Mapping\MemberMap.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Lex.Db,DbTableInfo,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Storage\Interfaces\IDbTableStorage.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' IndexSize' DataSize' EffectiveDataSize
Unnecessary Abstraction,Lex.Db.Indexing,DataNode<K>,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Indexing\DataIndex.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Keys' _keys
Feature Envy,Lex.Db.Indexing,DataIndex<T;K>,D:\research\architectureSmells\repos\demigor_lex.db\lib\Lex.Db.Shared\Indexing\DataIndex.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: ExecuteToList which is more interested in members of the type: DbTable
