Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,deveeldb,Deveel.Data.Configurations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Configurations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Configurations' Deveel.Data.Storage' Deveel.Data,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Storage.InMemoryStoreSystem' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Storage.InMemoryStoreSystem' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Configurations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Configurations' Deveel.Data' Deveel.Data.Events' Deveel.Data,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions
Cyclic Dependency,deveeldb,Deveel.Data.Configurations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Configurations' Deveel.Data.Storage' Deveel.Data' Deveel.Data.Events' Deveel.Data,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Storage.InMemoryStoreSystem' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions,Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter' Deveel.Data.Storage.InMemoryStoreSystem' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions
Cyclic Dependency,deveeldb,Deveel.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data' Deveel.Data.Sql' Deveel.Data.Sql.Schemata,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema
Cyclic Dependency,deveeldb,Deveel.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data' Deveel.Data.Sql.Tables' Deveel.Data.Sql' Deveel.Data.Sql.Schemata,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema
Cyclic Dependency,deveeldb,Deveel.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data' Deveel.Data.Sql' Deveel.Data.Sql.Tables' Deveel.Data.Sql' Deveel.Data.Sql.Schemata,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Sql.Schemata.SystemSchema,Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Sql.Schemata.SystemSchema
Cyclic Dependency,deveeldb,Deveel.Data.Events,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Events' Deveel.Data,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Events,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Events' Deveel.Data.Sql.Tables' Deveel.Data,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Events,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Events' Deveel.Data.Sql.Tables' Deveel.Data' Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter,Deveel.Data.Events.ContextExtensions' Deveel.Data.Events.EventRegistryExtensions' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter
Cyclic Dependency,deveeldb,Deveel.Data.Query,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Query' Deveel.Data.Sql.Expressions,Deveel.Data.Query.ContextExtensions' Deveel.Data.Query.IGroupResolver' Deveel.Data.Query.IReferenceResolver' Deveel.Data.Query.JoinPart' Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression,Deveel.Data.Query.ContextExtensions' Deveel.Data.Query.IGroupResolver' Deveel.Data.Query.IReferenceResolver' Deveel.Data.Query.JoinPart' Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression
Cyclic Dependency,deveeldb,Deveel.Data.Query,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Query' Deveel.Data.Sql.Tables' Deveel.Data,Deveel.Data.Query.ContextExtensions' Deveel.Data.Query.IGroupResolver' Deveel.Data.Query.IReferenceResolver' Deveel.Data.Query.JoinPart' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Query.ContextExtensions' Deveel.Data.Query.IGroupResolver' Deveel.Data.Query.IReferenceResolver' Deveel.Data.Query.JoinPart' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
