Method,LOC,CC,PC
Extensions:AlgebraicExpand,38,7,1
Extensions:AlgebraicExpand,38,7,1
Extensions:CoefficientMonomialGpe,26,8,2
Extensions:CoefficientGpe,18,8,3
Extensions:LeadingCoefficientGpe,0,1,2
Extensions:PolynomialDivision,16,2,3
Extensions:PolynomialGcd,11,4,3
Extensions:RationalExpand,8,3,1
Extensions:RationalizeSum,8,2,2
Extensions:RationalizeExpression,25,5,1
Extensions:DeepSelect,28,7,2
Extensions:DegreeMonomialGpe,9,5,2
Extensions:DegreeGpe,5,2,2
Extensions:Factorial,9,2,1
Extensions:ExpandPower,23,4,2
Extensions:ExpandProduct,9,3,2
Extensions:Has,10,7,2
Extensions:Has,9,7,2
Extensions:FreeOf,0,1,2
Extensions:Substitute,32,11,3
Extensions:SubstituteEq,1,1,2
Extensions:SubstituteEqLs,1,1,2
Extensions:Substitute,1,1,3
Extensions:Substitute,1,1,3
MathObject:Precedence,13,9,0
MathObject:FullForm,0,1,0
MathObject:StandardForm,0,1,0
MathObject:ToString,5,3,0
MathObject:Numerator,0,1,0
MathObject:Denominator,0,1,0
MathObject:Equals,1,1,1
MathObject:GetHashCode,0,1,0
Equation:Equation,1,1,2
Equation:Equation,1,1,3
Equation:FullForm,7,5,0
Equation:Equals,0,1,1
Equation:ToBoolean,18,15,0
Equation:Simplify,4,2,0
Equation:GetHashCode,0,1,0
Bool:Bool,1,1,1
Bool:FullForm,0,1,0
Bool:Equals,0,1,1
Bool:GetHashCode,0,1,0
Number:ToDouble,0,1,0
Integer:Integer,1,1,1
Integer:FullForm,0,1,0
Integer:Equals,0,1,1
Integer:GetHashCode,0,1,0
Integer:ToDouble,0,1,0
DoubleFloat:DoubleFloat,1,1,1
DoubleFloat:FullForm,0,1,0
DoubleFloat:Equals,7,3,1
DoubleFloat:GetHashCode,0,1,0
DoubleFloat:ToDouble,0,1,0
Fraction:Fraction,1,1,2
Fraction:FullForm,0,1,0
Fraction:ToDouble,0,1,0
Fraction:Equals,0,1,1
Fraction:GetHashCode,0,1,0
Fraction:Numerator,0,1,0
Fraction:Denominator,0,1,0
Rational:Div,1,1,2
Rational:Rem,1,1,2
Rational:Gcd,10,2,2
Rational:SimplifyRationalNumber,14,6,1
Rational:Numerator,14,3,1
Rational:Denominator,14,3,1
Rational:EvaluateSum,9,1,2
Rational:EvaluateDifference,6,1,2
Rational:EvaluateProduct,6,1,2
Rational:EvaluateQuotient,7,2,2
Rational:EvaluatePower,17,8,2
Rational:SimplifyRNERec,53,17,1
Rational:SimplifyRNE,5,2,1
Symbol:Symbol,1,1,1
Symbol:FullForm,0,1,0
Symbol:GetHashCode,0,1,0
Symbol:Equals,0,1,1
ListConstructor:List,0,1,1
ListUtils:IsEmpty,0,1,1
ListUtils:Cons,5,1,2
ListUtils:Cdr,0,1,1
ListUtils:equal,7,5,2
Function:Equals,0,1,1
Function:Simplify,0,1,0
Function:FullForm,0,1,0
Function:Clone,0,1,0
Function:GetHashCode,0,1,0
FunctionExtensions:Map,3,1,2
And:AndProc,20,8,1
And:And,5,1,1
And:And,1,1,0
And:Add,7,1,1
Or:OrProc,20,8,1
Or:Or,5,1,1
Or:Or,1,1,0
OrderRelation:Base,0,1,1
OrderRelation:Exponent,0,1,1
OrderRelation:Term,6,3,1
OrderRelation:Const,0,1,1
OrderRelation:O3,9,3,2
OrderRelation:Compare,78,19,2
Power:Power,1,1,2
Power:FullForm,0,1,0
Power:StandardForm,8,2,0
Power:Equals,0,1,1
