Implementation smell,Namespace,Class,File,Method,Description
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2InputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2InputStream.cs,GetAndMoveToFrontDecode,The method has 126 lines of code.
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,SendMTFValues,The method has 276 lines of code.
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,QSort3,The method has 104 lines of code.
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,MainSort,The method has 165 lines of code.
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,FullGtU,The method has 109 lines of code.
Long Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,HbMakeCodeLengths,The method has 116 lines of code.
Long Method,ICSharpCode.SharpZipLib.GZip,GZipInputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\GZip\GzipInputStream.cs,ReadHeader,The method has 129 lines of code.
Long Method,ICSharpCode.SharpZipLib.Lzw,LzwInputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Lzw\LzwInputStream.cs,Read,The method has 169 lines of code.
Long Method,ICSharpCode.SharpZipLib.Tar,TarInputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Tar\TarInputStream.cs,GetNextEntry,The method has 109 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip.Compression,DeflaterEngine,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\Compression\DeflaterEngine.cs,FindLongestMatch,The method has 110 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip.Compression,Tree,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\Compression\DeflaterHuffman.cs,BuildTree,The method has 103 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip,ZipFile,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\ZipFile.cs,TestLocalHeader,The method has 188 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip,ZipFile,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\ZipFile.cs,RunUpdates,The method has 103 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip,ZipFile,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\ZipFile.cs,ReadEntries,The method has 131 lines of code.
Long Method,ICSharpCode.SharpZipLib.Zip,ZipOutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Zip\ZipOutputStream.cs,PutNextEntry,The method has 164 lines of code.
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2InputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2InputStream.cs,RecvDecodingTables,Cyclomatic complexity of the method is 18
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2InputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2InputStream.cs,GetAndMoveToFrontDecode,Cyclomatic complexity of the method is 18
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2InputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2InputStream.cs,HbCreateDecodeTables,Cyclomatic complexity of the method is 10
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,SendMTFValues,Cyclomatic complexity of the method is 63
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,SimpleSort,Cyclomatic complexity of the method is 15
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,QSort3,Cyclomatic complexity of the method is 16
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,MainSort,Cyclomatic complexity of the method is 25
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,GenerateMTFValues,Cyclomatic complexity of the method is 14
Complex Method,ICSharpCode.SharpZipLib.BZip2,BZip2OutputStream,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\BZip2\BZip2OutputStream.cs,HbMakeCodeLengths,Cyclomatic complexity of the method is 21
Complex Method,ICSharpCode.SharpZipLib.Core,FileSystemScanner,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Core\FileSystemScanner.cs,ScanDir,Cyclomatic complexity of the method is 11
Complex Method,ICSharpCode.SharpZipLib.Core,NameFilter,D:\research\architectureSmells\repos\diydrones_MissionPlanner\ExtLibs\ICSharpCode.SharpZipLib\Core\NameFilter.cs,SplitQuoted,Cyclomatic complexity of the method is 8
