Namespace,Type,Method,LOC,CC,PC
Node.Net,EventEmitter,EventEmitter,1,1,1
Node.Net,EventEmitter,emit,7,2,2
Node.Net,EventEmitter,on,14,2,2
Node.Net,EventEmitter,removeAllListeners,10,2,1
Node.Net,log,Trace,5,2,1
Node.Net,NetServer,NetServer,15,1,2
Node.Net,NetServer,listen,11,1,2
Node.Net,NetServer,listenerCallback,13,1,1
Node.Net,NetServer,raiseConnectionEvent,5,1,1
Node.Net,NetServer,addListener,4,1,2
Node.Net,net,net,5,1,1
Node.Net,net,CreateServer,6,1,1
Node.Net,commonjs,FindFile,24,3,1
Node.Net,commonjs,SetRequireStack,18,3,1
Node.Net,NetStream,NetStream,7,1,2
Node.Net,NetStream,read,4,1,0
Node.Net,NetStream,ReadCallback,20,2,1
Node.Net,NetStream,write,4,1,1
Node.Net,NetStream,end,4,1,0
Node.Net,NetStream,addListener,10,3,2
Node.Net,NetStream,removeAllListeners,10,3,1
Node.Net,NetStream,raiseDataEvent,8,2,1
Node.Net,NetStream,raiseEndEvent,7,2,1
Node.Net,Server,Main,8,1,0
Node.Net,Server,Require,29,4,1
Node.Net,Server,queueWorkItem,15,1,1
Node.Net,Server,readFile,11,1,1
Node.Net,Server,evalCommandlineArgument,10,2,0
Node.Net,Server,runEventLoop,32,4,0
Node.Net,Server,ReadJsFile,26,1,1
