Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
System.Text.Internal,AllowedCharactersBitmap,2,10,0,0,9,80,14,0,0,0.2,1,4,System.Text.Unicode.UnicodeHelpers,System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Encodings.Web.DefaultUrlEncoder
System,BufferInternal,0,4,0,0,1,176,18,0,0,-1,0,1,,System.Text.Encodings.Web.TextEncoder
System.Text.Encodings.Web,HexUtil,0,3,0,0,0,30,3,0,0,-1,0,3,,System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.DefaultUrlEncoder
System.Text.Encodings.Web,HtmlEncoder,0,2,1,0,2,29,2,1,1,-1,3,0,System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Unicode.UnicodeRange,
System.Text.Encodings.Web,DefaultHtmlEncoder,6,7,1,0,5,100,12,0,2,0.29,5,3,System.Text.Internal.AllowedCharactersBitmap' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Unicode.UnicodeRange' System.Text.Unicode.UnicodeHelpers' System.Text.Encodings.Web.HexUtil,System.Text.Encodings.Web.HtmlEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.DefaultUrlEncoder
System.Text.Encodings.Web,JavaScriptEncoder,0,2,1,0,2,29,2,1,1,-1,3,0,System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Unicode.UnicodeRange,
System.Text.Encodings.Web,DefaultJavaScriptEncoder,9,7,1,0,5,137,16,0,2,0.29,6,1,System.Text.Internal.AllowedCharactersBitmap' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Unicode.UnicodeRange' System.Text.Unicode.UnicodeHelpers' System.Text.Encodings.Web.HexUtil,System.Text.Encodings.Web.JavaScriptEncoder
System.Text.Encodings.Web,TextEncoder,0,13,1,0,7,370,35,3,0,-1,3,0,System.BufferInternal' System.Text.Unicode.UnicodeHelpers' System.IO.TextWriter,
System.Text.Encodings.Web,TextEncoderSettings,1,15,0,0,14,185,34,0,0,0,2,6,System.Text.Internal.AllowedCharactersBitmap' System.Text.Unicode.UnicodeRange,System.Text.Encodings.Web.HtmlEncoder' System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.JavaScriptEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.UrlEncoder' System.Text.Encodings.Web.DefaultUrlEncoder
System.Text.Encodings.Web,UrlEncoder,0,2,1,0,2,29,2,1,1,-1,3,0,System.Text.Encodings.Web.DefaultUrlEncoder' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Unicode.UnicodeRange,
System.Text.Encodings.Web,DefaultUrlEncoder,2,5,1,0,5,125,12,0,2,0.4,6,1,System.Text.Internal.AllowedCharactersBitmap' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Unicode.UnicodeRange' System.Text.Unicode.UnicodeHelpers' System.Text.Encodings.Web.HexUtil,System.Text.Encodings.Web.UrlEncoder
System.Text.Unicode,UnicodeHelpers,3,11,0,0,0,254,23,0,0,0.36,2,5,System.Environment' System.Text.Unicode.UnicodeRange,System.Text.Internal.AllowedCharactersBitmap' System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.TextEncoder' System.Text.Encodings.Web.DefaultUrlEncoder
System.Text.Unicode,UnicodeRange,0,2,2,0,2,45,5,0,0,-1,0,9,,System.Text.Encodings.Web.HtmlEncoder' System.Text.Encodings.Web.DefaultHtmlEncoder' System.Text.Encodings.Web.JavaScriptEncoder' System.Text.Encodings.Web.DefaultJavaScriptEncoder' System.Text.Encodings.Web.TextEncoderSettings' System.Text.Encodings.Web.UrlEncoder' System.Text.Encodings.Web.DefaultUrlEncoder' System.Text.Unicode.UnicodeHelpers' System.Text.Unicode.UnicodeRanges
System.Text.Unicode,UnicodeRanges,158,2,158,0,0,1281,2,0,0,1,1,0,System.Text.Unicode.UnicodeRange,
