Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,TestExtensions,SiloAddressUtils,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\SiloAddressUtils.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,TestExtensions,TestConstants,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestConstants.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' random' InitTimeout
Unutilized Abstraction,TestExtensions,TestConstants,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestConstants.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,TestExtensions,TestEnvironmentFixture,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestEnvironmentFixture.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' DefaultCollection
Unutilized Abstraction,TestExtensions,XunitLoggerProvider,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\XunitLoggerProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,UnitTests.StorageTests,SiloBuilderExtensions,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,UnitTests.StorageTests,MockStorageProvider,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,UnitTests.StorageTests,StateForTest,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: InitCount' CloseCount' ReadCount' WriteCount' DeleteCount
Unnecessary Abstraction,UnitTests.StorageTests,SetValueArgs,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: StateType' GrainType' GrainReference' Name' Val
Unutilized Abstraction,TestExtensions.Runners,GoldenPathLeaseProviderTestRunner,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\Runners\GoldenPathLeaseProviderTestRunner.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Xunit.Abstractions,TestOutputHelperExtensions,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestOutputHelperExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Tester,TestUtils,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestUtils.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Tester,RequestContextTestUtils,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestUtils.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Broken Modularization,UnitTests.StorageTests,StateForTest,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: InitCount' CloseCount' ReadCount' WriteCount' DeleteCount
Broken Modularization,UnitTests.StorageTests,SetValueArgs,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\MockStorageProvider.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: StateType' GrainType' GrainReference' Name' Val
Wide Hierarchy,TestExtensions,BaseTestClusterFixture,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\BaseClusterFixture.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: DefaultCluster.Tests.Fixture' DependencyInjection.Tests.Autofac.Fixture' DependencyInjection.Tests.DefaultServiceProvider.Fixture' DependencyInjection.Tests.StructureMap.Fixture' AWSUtils.Tests.StorageTests.Fixture' ServiceBus.Tests.BaseEventHubTestClusterFixture' ServiceBus.Tests.Fixture' ServiceBus.Tests.SlowConsumingTests.Fixture' ServiceBus.Tests.MonitorTests.Fixture' ServiceBus.Tests.StreamingTests.Fixture' Tester.AdoNet.Persistence.Fixture' Tester.AdoNet.Reminders.Fixture' UnitTests.Fixture' UnitTests.CancellationTests.Fixture' Tester.BaseAzureTestClusterFixture' Tester.Fixture' UnitTests.CatalogTests.Fixture' Tester.EventSourcingTests.EventSourcingClusterFixture' UnitTests.General.Fixture' UnitTests.Management.Fixture' Tester.CustomPlacementTests.Fixture' DefaultCluster.Tests.Fixture' Tester.StreamingTests.Fixture' UnitTests.StreamingTests.Fixture' Tester.StreamingTests.PlugableQueueBalancerTests.Fixture' Tester.StreamingTests.ProgrammaticSubscribeTests.Fixture' Orleans.Transactions.AzureStorage.Tests.TestFixture' Orleans.Transactions.AzureStorage.Tests.ControlledFaultInjectionTestFixture' Orleans.Transactions.Tests.MemoryTransactionsFixture
Wide Hierarchy,TestExtensions,HostedTestClusterEnsureDefaultStarted,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\HostedTestClusterBase.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: DefaultCluster.Tests.General.BasicActivationTests' DefaultCluster.Tests.General.KnownAssemblyAttributeTests' DefaultCluster.Tests.General.CodeGeneratorTests_TakeSerializedData' DefaultCluster.Tests.General.StateClassTests' DefaultCluster.Tests.General.DeactivationTests' DefaultCluster.Tests.General.EchoTaskGrainTests' DefaultCluster.Tests.General.ExternalTypesTests' DefaultCluster.Tests.General.FSharpGrainTests' DefaultCluster.Tests.General.GenericGrainTests' DefaultCluster.Tests.General.GrainReferenceCacheTests' DefaultCluster.Tests.General.GrainReferenceTest' DefaultCluster.Tests.General.JsonGrainTests' DefaultCluster.Tests.General.KeyExtensionTests' DefaultCluster.Tests.General.MultifacetGrainTest' DefaultCluster.Tests.General.ObserverTests' DefaultCluster.Tests.General.OneWayCallTests' DefaultCluster.Tests.General.PolymorphicInterfaceTest' DefaultCluster.Tests.General.SimpleGrainTests' DefaultCluster.Tests.General.StatelessWorkerTests' DefaultCluster.Tests.ClientAddressableTests' DefaultCluster.Tests.ErrorGrainTest' DefaultCluster.Tests.GrainFactoryTests' DefaultCluster.Tests.GrainInterfaceHierarchyTests' DefaultCluster.Tests.GrainReferenceCastTests' DefaultCluster.Tests.ReminderTest' DefaultCluster.Tests.SerializationTests' DefaultCluster.Tests.CodeGeneration.CodeGeneratorTests_RequiringSilo' Tester.CodeGenTests.GeneratorGrainTest' Generic.EdgeCases.GenericEdgeCaseTests' DefaultCluster.Tests.GeoClusterTests.SimpleGlobalSingleInstanceGrainTests' DefaultCluster.Tests.ActivationsLifeCycleTests.GrainActivateDeactivateTests' DefaultCluster.Tests.StorageTests.MemoryStorageProviderTests' UnitTDefaultCluster.Tests.General.RequestContextTests' DefaultCluster.Tests.SchedulerTests.STSchedulerLongTurnTest' UnitTests.SerializerTests.RoundTripSerializerTests' DefaultCluster.Tests.TimerTests.TimerOrleansTest
Wide Hierarchy,TestExtensions,OrleansTestingBase,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\OrleansTestingBase.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: DefaultCluster.Tests.ProviderTests' DependencyInjection.Tests.DependencyInjectionGrainTestRunner' AWSUtils.Tests.StorageTests.Base_PersistenceGrainTests_AWSStore' ServiceBus.Tests.SlowConsumingTests.EHSlowConsumingTests' ServiceBus.Tests.MonitorTests.EHStatisticMonitorTests' ServiceBus.Tests.StreamingTests.EHBatchedSubscriptionMultiplicityTests' ServiceBus.Tests.StreamingTests.EHImplicitSubscriptionStreamRecoveryTests' ServiceBus.Tests.StreamingTests.EHStreamPerPartitionTests' ServiceBus.Tests.StreamingTests.EHSubscriptionMultiplicityTests' Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests' Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests' Tester.AzureUtils.Persistence.Base_PersistenceGrainTests_AzureStore' UnitTests.HaloTests.Streaming.HaloStreamSubscribeTests' UnitTests.RuntimeCodeGenTests' UnitTests.CancellationTests.GrainCancellationTokenTests' Tester.GrainServiceTests' UnitTests.General.ExceptionPropagationTests' UnitTests.General.GrainActivatorTests' UnitTests.General.GrainCallFilterTests' UnitTests.General.OneWayDeactivationTests' Tester.HeterogeneousSilosTests.HeterogeneousTests' UnitTests.Management.ManagementGrainTests' Tester.CustomPlacementTests.CustomPlacementTests' Tester.StreamingTests.MemoryStreamProviderBatchedClientTests' Tester.StreamingTests.MemoryStreamProviderClientTests' Tester.StreamingTests.PluggableQueueBalancerTestBase' Tester.StreamingTests.StreamFilteringTestsBase' Tester.StreamingTests.SystemTargetRouteTests' UnitTests.StreamingTests.ControllableStreamGeneratorProviderTests' UnitTests.StreamingTests.ControllableStreamProviderTests' UnitTests.StreamingTests.GeneratedImplicitSubscriptionStreamRecoveryTests' UnitTests.StreamingTests.PullingAgentManagementTests' UnitTests.StreamingTests.SampleSmsStreamingTests' UnitTests.StreamingTests.SMSSubscriptionMultiplicityTests' UnitTests.StreamingTests.StreamGeneratorProviderTests' Tester.StreamingTests.ProgrammaticSubscribeTests.SubscriptionObserverWithImplicitSubscribingTestRunner' TestExtensions.HostedTestClusterEnsureDefaultStarted' TestExtensions.TestClusterPerTest
Wide Hierarchy,TestExtensions,TestClusterPerTest,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestClusterPerTest.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AWSUtils.Tests.Streaming.SQSClientStreamTests' AWSUtils.Tests.Streaming.SQSStreamTests' AWSUtils.Tests.Streaming.SQSSubscriptionMultiplicityTests' GoogleUtils.Tests.Streaming.PubSubClientStreamTests' GoogleUtils.Tests.Streaming.PubSubStreamTests' GoogleUtils.Tests.Streaming.PubSubSubscriptionMultiplicityTests' ServiceBus.Tests.StreamingTests.EHClientStreamTests' ServiceBus.Tests.StreamingTests.EHStreamProviderCheckpointTests' Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests' Tester.AzureUtils.Streaming.AQClientStreamTests' Tester.AzureUtils.Streaming.AQStreamingTests' Tester.AzureUtils.Streaming.AQSubscriptionMultiplicityTests' Tester.AzureUtils.Streaming.DelayedQueueRebalancingTests' Tester.AzureUtils.Streaming.SampleAzureQueueStreamingTests' UnitTests.StreamingTests.StreamLifecycleTests' UnitTests.StreamingTests.StreamLimitTests' UnitTests.Streaming.Reliability.StreamReliabilityTests' Tester.ClientConnectionEventTests' Tester.ClientConnectionRegisteredServiceEventTests' Tester.GatewayConnectionTests' Tester.ClientConnectionTests.ClusterClientTests' Tester.ClientConnectionTests.InvalidPreambleConnectionTests' Tester.ClientConnectionTests.StallConnectionTests' Tester.Forwarding.ShutdownSiloTests' UnitTests.MembershipTests.LivenessTestsBase' UnitTests.MembershipTests.SilosStopTests' Tester.StreamingTests.SMSClientStreamTests' UnitTests.StreamingTests.SMSDeactivationTests' Tester.StreamingTests.ProgrammaticSubscribeTests.ProgrammaticSubscribeTestsWithDynamicProviderConfiguration' Orleans.Transactions.AzureStorage.Tests.TransactionRecoveryTests
Broken Hierarchy,TestExtensions,TestEnvironmentFixture,D:\research\architectureSmells\repos\dotnet_orleans\test\TestInfrastructure\TestExtensions\TestEnvironmentFixture.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TestExtensions.SerializationTestEnvironment
