Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
vCard,33,4,33,0,4,554,7,0,0,1,13,4
vCardAccessClassification,0,0,0,0,0,25,0,0,0,0,0,3
vCardCertificate,2,3,2,0,3,88,6,0,0,0.67,0,2
vCardCertificateCollection,0,0,0,0,0,6,0,0,0,0,0,1
vCardCollection,0,0,0,0,0,6,0,0,0,0,0,0
vCardDeliveryLabel,2,2,8,0,2,147,2,0,0,0.75,1,2
vCardDeliveryLabelCollection,0,0,0,0,0,6,0,0,0,0,0,1
vCardEmailAddress,3,4,3,0,4,93,4,0,0,0.75,1,3
vCardEmailAddressCollection,0,2,0,0,2,41,5,0,0,0,2,1
vCardEmailAddressType,0,0,0,0,0,59,0,0,0,0,0,4
vCardEncoding,0,0,0,0,0,22,0,0,0,0,0,1
vCardException,0,3,0,0,3,40,3,0,0,0,0,0
vCardFormat,0,0,0,0,0,22,0,0,0,0,0,0
vCardNote,2,3,2,0,3,53,3,0,0,0.83,0,3
vCardNoteCollection,0,2,0,0,2,27,2,0,0,0,1,1
vCardDeliveryAddressTypes,0,0,0,0,0,35,0,0,0,0,0,3
vCardGender,0,0,0,0,0,27,0,0,0,0,0,3
vCardPhone,2,3,15,0,3,287,3,0,0,0.5,1,3
vCardPhoneCollection,0,1,0,0,1,38,4,0,0,0,2,1
vCardPhoto,2,7,2,0,7,198,14,0,0,0.86,0,2
vCardPhotoCollection,0,1,0,0,1,13,1,0,0,0,0,1
vCardDeliveryAddress,6,1,12,0,1,187,1,0,0,1,1,2
vCardDeliveryAddressCollection,0,0,0,0,0,7,0,0,0,0,0,1
vCardProperty,5,8,5,0,8,190,13,0,0,0.7,2,2
vCardPropertyCollection,0,0,0,0,0,7,0,0,0,0,0,1
vCardPhoneTypes,0,0,0,0,0,81,0,0,0,0,0,3
vCardReader,1,3,1,0,2,66,3,1,0,1,1,1
vCardSource,2,3,2,0,3,78,3,0,0,0.5,0,2
vCardSourceCollection,0,1,0,0,1,13,1,0,0,0,0,1
vCardStandardWriter,6,37,4,0,10,941,189,0,1,0.99,18,0
vCardStandardWriterOptions,0,0,0,0,0,22,0,0,0,0,0,1
vCardSubproperty,2,2,2,0,2,101,4,0,0,0.25,0,3
vCardSubpropertyCollection,0,10,0,0,10,258,31,0,0,0,1,1
vCardStandardReader,2,46,0,0,19,1523,309,0,1,0.98,18,1
vCardValueCollection,1,3,1,0,3,49,6,0,0,0.67,0,2
vCardWebsite,2,4,4,0,4,114,4,0,0,0.62,1,3
vCardWebsiteCollection,0,1,0,0,1,31,4,0,0,0,2,1
vCardWebsiteTypes,0,0,0,0,0,27,0,0,0,0,0,2
vCardWriter,1,2,1,0,2,49,5,1,0,1,1,0
WarningMessages,2,1,5,0,0,69,1,0,0,0,0,0
