Implementation smell,Namespace,Class,File,Method,Description
Magic Number,FluentTime,TimeSpanCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\TimeSpanCreation.cs,Weeks,The following statement contains a magic number: return TimeSpan.FromDays(i * 7);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,February,The following statement contains a magic number: return new DateTime(year' 2' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,March,The following statement contains a magic number: return new DateTime(year' 3' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,April,The following statement contains a magic number: return new DateTime(year' 4' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,May,The following statement contains a magic number: return new DateTime(year' 5' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,June,The following statement contains a magic number: return new DateTime(year' 6' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,July,The following statement contains a magic number: return new DateTime(year' 7' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,August,The following statement contains a magic number: return new DateTime(year' 8' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,September,The following statement contains a magic number: return new DateTime(year' 9' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,October,The following statement contains a magic number: return new DateTime(year' 10' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,November,The following statement contains a magic number: return new DateTime(year' 11' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,December,The following statement contains a magic number: return new DateTime(year' 12' day);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,PM,The following statement contains a magic number: if (d.Hour == 12)  				return d;
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,PM,The following statement contains a magic number: return d.AddHours(12);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,AM,The following statement contains a magic number: if (d.Hour < 12)  				return d;
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,AM,The following statement contains a magic number: return d.AddHours(-12);
Magic Number,FluentTime,DateTimeCreation,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeCreation.cs,Reject24HourTime,The following statement contains a magic number: if (d.Hour > 12)  				throw new ArgumentOutOfRangeException("d"' string.Format("Not a 12-hour time. Hour is {0}."' d.Hour));
Magic Number,FluentTime,Next,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeShortCreators.cs,GetNextOfDay,The following statement contains a magic number: DateTime result = today.AddDays(delta <= 0 ? delta + 7 : delta);
Magic Number,FluentTime,Last,C:\repos\duelinmarkers_FluentTime\FluentTime\DateTimeShortCreators.cs,GetLastOfDay,The following statement contains a magic number: DateTime result = today.AddDays(delta >= 0 ? delta - 7 : delta);
