Method,LOC,CC,PC
AssignListAction:CreateCommand,22,1,0
AssignListAction:Execute,30,3,2
BaseCommand:GetCommand,14,1,0
BaseCommand:CheckCondition,13,2,2
CameraAction:CreateCommand,20,1,0
CameraAction:Execute,57,3,2
CameraAction:CaptureAsync,3,1,1
CameraAction:CaptureCamera,15,2,1
CameraAction:StartLiveView,12,2,0
CameraAction:StartLiveViewThread,45,1,0
CameraAction:StopLiveView,3,1,0
CameraAction:StopLiveViewThread,36,1,0
CheckCameraAction:CreateCommand,9,1,0
CheckCameraAction:Execute,12,3,2
CopyFileAction:CreateCommand,21,1,0
CopyFileAction:Execute,22,3,2
CopyFileAction:ExecuteQueue,9,2,1
AssignAction:CreateCommand,14,1,0
AssignAction:Execute,8,2,2
DialogAction:CreateCommand,42,1,0
DialogAction:Execute,35,5,2
ShellExecuteAction:CreateCommand,14,1,0
ShellExecuteAction:Execute,7,2,2
TriggerEvent:CreateCommand,14,1,0
TriggerEvent:Execute,11,3,2
WorkflowAction:CreateCommand,30,1,0
WorkflowAction:Execute,73,3,2
WaitAction:CreateCommand,12,1,0
WaitAction:Execute,6,2,2
BlackAndWhiteAction:CreateCommand,4,1,0
BlackAndWhiteAction:Execute,14,3,2
BrightnessAction:CreateCommand,20,1,0
BrightnessAction:Execute,15,3,2
FlipAction:CreateCommand,11,1,0
FlipAction:Execute,17,3,2
LevelAction:CreateCommand,28,1,0
LevelAction:Execute,28,3,2
OverlayAction:CreateCommand,80,1,0
OverlayAction:Execute,38,3,2
OverlayAction:Fonts,21,3,0
ResizeAction:CreateCommand,21,1,0
ResizeAction:Execute,20,3,2
RotateAction:CreateCommand,10,1,0
RotateAction:Execute,14,3,2
SaturationAction:CreateCommand,12,1,0
SaturationAction:Execute,14,3,2
SaveFileAction:CreateCommand,17,1,0
SaveFileAction:Execute,28,3,2
BaseEvent:GetEvent,14,1,0
BaseEvent:CheckCondition,13,2,2
CameraConnectedEvent:CreateEvent,9,1,0
CameraConnectedEvent:RegisterEvent,7,2,1
CameraConnectedEvent:DeviceManager_CameraConnected,5,2,1
CameraConnectedEvent:UnRegisterEvent,3,1,1
CustomEvent:CreateEvent,9,1,0
CustomEvent:RegisterEvent,4,1,1
CustomEvent:Instance_Message,12,3,2
CustomEvent:UnRegisterEvent,3,1,1
FileTransferred:CreateEvent,4,1,0
FileTransferred:RegisterEvent,4,1,1
FileTransferred:Instance_Message,9,3,2
FileTransferred:UnRegisterEvent,3,1,1
KeyPressedEvent:CreateEvent,25,1,0
KeyPressedEvent:RegisterEvent,4,1,1
KeyPressedEvent:Instance_Message,8,3,2
KeyPressedEvent:UnRegisterEvent,3,1,1
LiveViewEvent:CreateEvent,4,1,0
LiveViewEvent:RegisterEvent,4,1,1
LiveViewEvent:Instance_Message,7,3,2
LiveViewEvent:UnRegisterEvent,3,1,1
ProcessItemEvent:CreateEvent,4,1,0
ProcessItemEvent:RegisterEvent,4,1,1
ProcessItemEvent:Instance_Message,35,8,2
ProcessItemEvent:UnRegisterEvent,3,1,1
ThumbChangedEvent:CreateEvent,4,1,0
ThumbChangedEvent:RegisterEvent,4,1,1
ThumbChangedEvent:Instance_Message,7,3,2
ThumbChangedEvent:UnRegisterEvent,3,1,1
VariableChangedEvent:CreateEvent,9,1,0
VariableChangedEvent:RegisterEvent,4,1,1
VariableChangedEvent:Instance_Message,12,4,2
VariableChangedEvent:UnRegisterEvent,3,1,1
HostApp:Test,21,1,0
HostApp:Profile,34,1,0
EvaluatorSamples:RunAll,12,1,0
EvaluatorSamples:CompileMethod_Instance,11,1,0
EvaluatorSamples:CompileMethod_Static,20,1,0
EvaluatorSamples:CreateDelegate,11,1,0
EvaluatorSamples:LoadDelegate,12,1,0
EvaluatorSamples:LoadCode,14,1,0
EvaluatorSamples:LoadMethod,15,1,0
EvaluatorSamples:LoadMethodWithInterface,19,1,0
EvaluatorSamples:LoadCode_WithInterface,14,1,0
EvaluatorSamples:LoadCode_WithDuckTypedInterface,18,1,0
EvaluatorSamples:PerformanceTest,12,2,1
EvaluatorSamples:DebugTest,17,1,0
ICalc:Sum,0,1,2
HostApp:Test,13,1,0
AsyncSamples:RunAll,9,1,0
AsyncSamples:LoadDelegateAsync,9,1,0
AsyncSamples:LoadMethodAsync,12,1,0
AsyncSamples:LoadCodeAsync,16,1,0
AsyncSamples:CreateDelegateAsync,9,1,0
AsyncSamples:CompileCodeAsync,13,1,0
AsyncSamples:RemoteAsynch,12,1,0
UnloadingSamples:RunAll,6,1,0
UnloadingSamples:CreateDelegateRemotely,9,1,0
UnloadingSamples:LoadCodeRemotely,34,1,0
UnloadingSamples:LoadCodeRemotelyWithInterface,17,1,0
UnloadingSamples:LoadMethodRemotely,22,1,0
UnloadingSamples:KeepRemoteObjectAlive,11,1,0
ICalc:Sum,0,1,2
IFullCalc:Sum,0,1,2
IFullCalc:Sub,0,1,2
HostApp:Test,15,1,0
HostApp:Log,3,1,1
CodeDomSamples:LoadMethod_Instance,10,1,0
CodeDomSamples:LoadMethod_Static,13,1,0
CodeDomSamples:LoadDelegate,12,1,0
CodeDomSamples:CreateAction,10,1,0
CodeDomSamples:CreateFunc,10,1,0
CodeDomSamples:LoadCode,14,1,0
CodeDomSamples:LoadCodeWithConfig,26,1,0
CodeDomSamples:LoadCode_WithInterface,20,1,1
CodeDomSamples:LoadCode_WithDuckTypedInterface,25,1,1
CodeDomSamples:ExecuteAndUnload,31,1,0
CodeDomSamples:DebugTest,14,1,0
IScript:Hello,0,1,1
ICalc:Sum,0,1,2
Samples:CompilingHistory,40,6,0
BrowseTextElement:CreateElement,98,1,1
BrowseTextElement:GetControl,72,7,2
Button:CreateElement,84,1,1
Button:GetControl,33,6,2
CameraProperty:CreateElement,98,1,1
CameraProperty:GetControl,58,6,2
CameraProperty:GetProperty,24,2,2
CheckBoxElement:CreateElement,78,1,1
CheckBoxElement:GetControl,24,3,2
ComboBoxElement:CreateElement,104,1,1
ComboBoxElement:GetControl,60,8,2
ImageElement:CreateElement,45,1,1
ImageElement:GetControl,15,1,2
