Namespace,Type,Method,LOC,CC,PC
Duplicati.Library.UsageReporter,ReportItem,ReportItem,3,1,0
Duplicati.Library.UsageReporter,ReportItem,ReportItem,6,1,4
Duplicati.Library.UsageReporter,Reporter,Report,5,2,3
Duplicati.Library.UsageReporter,Reporter,Report,5,2,3
Duplicati.Library.UsageReporter,Reporter,Report,5,2,2
Duplicati.Library.UsageReporter,Reporter,Initialize,16,3,0
Duplicati.Library.UsageReporter,Reporter,HandleUncaughtException,4,2,2
Duplicati.Library.UsageReporter,Reporter,ShutDown,11,4,0
Duplicati.Library.UsageReporter,Reporter,SetReportLevel,13,2,2
Duplicati.Library.UsageReporter,ReportSet,DoInitUID,3,1,0
Duplicati.Library.UsageReporter,ReportSet,DoInitOS,15,4,0
Duplicati.Library.UsageReporter,ReportSet,DoInitCLR,6,2,0
Duplicati.Library.UsageReporter,ReportSet,DoInitApp,4,1,0
Duplicati.Library.UsageReporter,ReportSet,DoInitAssembly,3,1,0
Duplicati.Library.UsageReporter,ReportSet,ReportSet,14,1,0
Duplicati.Library.UsageReporter,ReportSet,ReportSet,11,1,0
Duplicati.Library.UsageReporter,OSInfoHelper,RunProgramAndReadOutput,27,2,2
Duplicati.Library.UsageReporter,EventProcessor,Run,64,1,1
Duplicati.Library.UsageReporter,EventProcessor,ProcessAbandonedFiles,19,4,3
Duplicati.Library.UsageReporter,EventProcessor,GetAbandonedFiles,5,1,1
Duplicati.Library.UsageReporter,EventProcessor,GetAbandonedMatches,22,5,1
Duplicati.Library.UsageReporter,EventProcessor,GetTempFilename,3,1,1
Duplicati.Library.UsageReporter,ReportSetUploader,Run,47,1,0
