Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FacesUi,2,3,1,0,2,61,12,0,1,0.33,1,1
DetailsUi,0,2,1,0,2,8,2,4,1,0,0,0
DetailsUiBuilder,0,1,0,0,1,29,4,0,0,0,7,1
IDetailsUi,0,1,1,0,0,7,1,1,0,0,0,1
PropertyGridUi,2,2,1,0,2,20,2,0,2,0.5,0,1
UvsUi,2,3,1,0,2,54,11,0,2,0.33,1,1
VerticesUi,2,3,1,0,2,60,14,0,2,0.33,1,1
RichTextBoxExtensions,0,1,0,0,1,11,1,0,0,0,0,0
FormModelLoader,2,13,0,0,1,162,20,0,0,0.92,6,1
Program,0,1,0,0,0,13,1,0,0,0,1,0
Resources,2,1,2,0,0,45,1,0,0,0,0,0
Settings,1,0,1,0,0,11,0,0,0,0,0,0
