Namespace,Type,Method,LOC,CC,PC
SwdPageRecorder.UI.CodeGeneration,ExternalGenerator,SaveToJSonFile,4,1,2
SwdPageRecorder.UI.CodeGeneration,ExternalGenerator,RunExternalProcess,3,1,1
SwdPageRecorder.UI.CodeGeneration,ExternalGenerator,RunExternalProcess,11,2,2
SwdPageRecorder.UI,IPresenter,InitWithView,0,1,1
SwdPageRecorder.UI,SwitchToPopupPresenter,SwitchToPopupPresenter,5,1,0
SwdPageRecorder.UI,SwitchToPopupPresenter,InitWithView,3,1,1
SwdPageRecorder.UI,SwitchToPopupPresenter,InitWithFrame,4,1,1
SwdPageRecorder.UI,SwitchToPopupPresenter,GenerateSwitchToCode,17,3,1
SwdPageRecorder.UI,SwitchToPopupPresenter,GenerateCSharpCode,13,3,1
SwdPageRecorder.UI,SwitchToPopupPresenter,GenerateJavaCode,13,3,1
SwdPageRecorder.UI,SwitchToPopupPresenter,GenerateDotSeparatedCode,4,1,1
SwdPageRecorder.UI,PlayGroundView,PlayGroundView,23,1,0
SwdPageRecorder.UI,PlayGroundView,btnRunScript_Click,4,1,2
SwdPageRecorder.UI,PlayGroundView,AppendConsole,3,1,1
SwdPageRecorder.UI,PlayGroundView,Dispose,7,2,1
SwdPageRecorder.UI,PlayGroundView,InitializeComponent,120,1,0
SwdPageRecorder.UI,JavaScriptEditorView,JavaScriptEditorView,20,1,0
SwdPageRecorder.UI,JavaScriptEditorView,UpdateTree,4,1,1
SwdPageRecorder.UI,JavaScriptEditorView,ExpandTree,3,1,0
SwdPageRecorder.UI,JavaScriptEditorView,tvJavaScriptFiels_NodeMouseDoubleClick,3,1,2
SwdPageRecorder.UI,JavaScriptEditorView,UpdateFileEditor,4,1,1
SwdPageRecorder.UI,JavaScriptEditorView,btnRun_Click,4,1,2
SwdPageRecorder.UI,JavaScriptEditorView,GetJavaScriptCodeFromEditor,3,1,0
SwdPageRecorder.UI,JavaScriptEditorView,AppendConsole,3,1,1
SwdPageRecorder.UI,JavaScriptEditorView,SetControlsToEnabledState,5,1,1
SwdPageRecorder.UI,JavaScriptEditorView,btnShowFiles_Click,3,1,2
SwdPageRecorder.UI,JavaScriptEditorView,button1_Click,3,1,2
SwdPageRecorder.UI,JavaScriptEditorView,Dispose,7,2,1
SwdPageRecorder.UI,JavaScriptEditorView,InitializeComponent,175,1,0
SwdPageRecorder.UI,PlayGroundPresenter,InitWithView,10,1,1
SwdPageRecorder.UI,PlayGroundPresenter,PageObjectDefinitionPresenter_OnPageObjectTreeChanged,3,1,0
SwdPageRecorder.UI,PlayGroundPresenter,InitControls,11,2,0
SwdPageRecorder.UI,PlayGroundPresenter,InitiCodeEditor,19,2,0
SwdPageRecorder.UI,PlayGroundPresenter,BuildMethodsListForWebElement,16,3,1
SwdPageRecorder.UI,PlayGroundPresenter,GetListOfProperties,5,1,1
