Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ChatRequest,0,0,9,0,0,40,0,0,0,-1,0,1
IChatSettings,0,0,5,0,0,18,0,0,0,-1,0,0
IMessengerPresenceProvider,0,4,0,0,0,7,4,0,0,-1,1,0
MessageTypeEnum,0,0,0,0,0,17,0,0,0,-1,0,1
MessageFormatOptions,6,0,0,6,0,9,0,0,0,-1,0,1
Message,6,0,0,6,0,9,0,0,0,-1,2,1
Broadcast,3,0,0,3,0,6,0,0,0,-1,0,0
IChatRoomStorage,0,14,0,0,0,17,14,0,0,-1,1,0
ICacheProvider,0,3,0,0,0,6,3,0,0,-1,0,0
Room,0,0,6,0,0,27,0,0,0,-1,0,1
IChatRoomProvider,0,4,0,0,0,12,4,1,0,-1,0,0
ILogger,0,1,0,0,0,4,1,0,0,-1,0,0
User,0,0,5,0,0,23,0,0,0,-1,0,1
IChatUserProvider,0,6,0,0,0,9,6,1,0,-1,0,0
