Method,LOC,CC,PC
AccountController:LogOn,3,1,0
AccountController:LogOn,16,4,2
AccountController:LogOff,4,1,0
AccountController:Register,3,1,0
AccountController:Register,15,3,1
AccountController:ChangePassword,3,1,0
AccountController:ChangePassword,20,4,1
AccountController:ChangePasswordSuccess,3,1,0
AccountController:ErrorCodeToString,26,10,1
HomeController:Index,4,1,0
HomeController:About,3,1,0
MvcApplication:RegisterGlobalFilters,3,1,1
MvcApplication:RegisterRoutes,11,1,1
MvcApplication:Application_Start,7,1,0
