Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Samba.Modules.ModifierModule,ModifierModule,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\ModifierModule.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,Samba.Modules.ModifierModule,OrderTagGroupEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\OrderTagGroupEditorViewModel.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ShouldDisplay
Imperative Abstraction,Samba.Modules.ModifierModule,TicketTagEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\TicketTagEditorViewModel.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: TicketTagSelected
Broken Hierarchy,Samba.Modules.ModifierModule,AutomationCommandSelectorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\AutomationCommandSelectorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,AutomationCommandValueSelectorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\AutomationCommandValueSelectorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,GroupedOrderTagButtonViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\GroupedOrderTagButtonViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,ProductTimerEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\ProductTimerEditorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,OrderTagButtonViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\OrderTagButtonViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,OrderTagGroupEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\OrderTagGroupEditorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,OrderTagGroupViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\OrderTagGroupViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,TicketLogViewerViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\TicketLogViewerViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,TicketNoteEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\TicketNoteEditorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
Broken Hierarchy,Samba.Modules.ModifierModule,TicketTagEditorViewModel,F:\newReposMay17\emreeren_SambaPOS-3\Samba.Modules.ModifierModule\TicketTagEditorViewModel.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObservableObject
