Namespace,Type,Method,LOC,CC,PC
Should.Fluent.UnitTests,BeExtensions,One,3,1,1
Should.Fluent.UnitTests,BeStringExtensions,NoLongerThan,5,1,2
Should.Fluent.UnitTests,BeFoo,BeFoo,1,1,1
Should.Fluent.UnitTests,BeFoo,Bar,6,1,0
Should.Fluent.UnitTests,ShouldCustomExtensions,Should,3,1,1
Should.Fluent.UnitTests,MethodCallExpressionFake,Test1,3,1,2
Should.Fluent.UnitTests,MethodCallExpressionFake,Test2,3,1,2
Should.Fluent.UnitTests,MethodCallExpressionFake,Test3,3,1,0
Should.Fluent.UnitTests,MethodCallExpressionFake2,Test1,3,1,2
Should.Fluent.UnitTests,be_nullable_bool_test_base,get_should,4,1,1
Should.Fluent.UnitTests,be_nullable_datetime_test_base,get_should,4,1,1
Should.Fluent.UnitTests,assert_provider_context,Try,3,1,1
Should.Fluent.UnitTests,test_base,Called,3,1,1
Should.Fluent.UnitTests,test_base,NotCalled,3,1,1
Should.Fluent.UnitTests,test_base,Fail,3,1,1
Should.Fluent.UnitTests,test_base,Fail,3,1,2
Should.Fluent.UnitTests,test_base,Fail,3,1,3
Should.Fluent.UnitTests,test_base,NotFail,4,1,0
Should.Fluent.UnitTests,test_base,ExpectThrow,3,1,1
Should.Fluent.UnitTests,test_base<T>,VerifyResultType,3,1,0
Should.Fluent.UnitTests,test_base<T>,VerifyResult,3,1,1
Should.Fluent.UnitTests,Foo,Foo,3,1,1
Should.Fluent.UnitTests,Foo,ToString,3,1,0
Should.Fluent.UnitTests,EnumerableExtensions,ToArrayList,9,2,1
Should.Fluent.UnitTests,MyCollection,MyCollection,3,1,1
Should.Fluent.UnitTests,MyCollection,GetEnumerator,3,1,0
Should.Fluent.UnitTests,MyCollection,CopyTo,2,1,2
Should.Fluent.UnitTests.IntegrationTests,integration_test_base,Try,3,1,1
