Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Tempest,ArrayExtensions,0,1,0,0,1,11,2,0,0,-1,0,0,,
Tempest,BufferValueReader,3,18,2,0,18,217,23,0,1,0.22,0,6,,Tempest.Providers.Network.NetworkConnection' Tempest.Providers.Network.NetworkServerConnection' Tempest.Providers.Network.NetworkClientConnection' Tempest.Providers.Network.ServerMessageSerializer' Tempest.Providers.Network.MessageSerializer' Tempest.Providers.Network.UdpConnectionlessListener
Tempest,BufferValueWriter,3,22,2,0,22,231,36,0,1,0,0,5,,Tempest.Providers.Network.ClientMessageSerializer' Tempest.Providers.Network.ServerMessageSerializer' Tempest.Providers.Network.UdpClientConnection' Tempest.Providers.Network.NetworkClientConnection' Tempest.Providers.Network.MessageSerializer
Tempest,CollectionExtensions,0,1,0,0,1,22,6,0,0,-1,0,0,,
Tempest,ConnectionExtensions,0,1,0,0,1,21,4,0,0,-1,0,0,,
Tempest,RSAAsymmetricKey,2,11,9,0,9,174,22,0,1,0.18,0,12,,Tempest.Providers.Network.UdpServerConnection' Tempest.Providers.Network.UdpConnection' Tempest.Providers.Network.UdpConnectionProvider' Tempest.Providers.Network.NetworkServerConnection' Tempest.Providers.Network.UdpClientConnection' Tempest.RSAAsymmetricKey' Tempest.Providers.Network.NetworkConnectionProvider' Tempest.Providers.Network.ClientMessageSerializer' Tempest.RSACrypto' Tempest.Providers.Network.ServerMessageSerializer' Tempest.Providers.Network.NetworkConnection' Tempest.Providers.Network.NetworkClientConnection
Tempest,RSACrypto,3,8,2,0,8,106,19,0,1,0.25,0,10,,Tempest.RSAAsymmetricKey' Tempest.Providers.Network.NetworkServerConnection' Tempest.Providers.Network.IAuthenticatedConnection' Tempest.Providers.Network.UdpServerConnection' Tempest.Providers.Network.UdpConnection' Tempest.Providers.Network.NetworkConnection' Tempest.Providers.Network.UdpConnectionProvider' Tempest.Providers.Network.UdpClientConnection' Tempest.Providers.Network.NetworkClientConnection' Tempest.Providers.Network.NetworkConnectionProvider
Tempest,TargetExtensions,0,3,0,0,3,51,10,0,0,-1,0,0,,
Tempest,Timer,6,5,2,0,4,96,15,0,0,0.4,0,4,,Tempest.Providers.Network.NetworkClientConnection' Tempest.Providers.Network.UdpConnectionProvider' Tempest.Providers.Network.NetworkConnectionProvider' Tempest.Providers.Network.UdpClientConnection
Tempest,TypeMap,5,8,0,0,7,124,19,0,1,0.38,0,0,,
