Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BattleclinicParser,1,1,3,0,1,39,3,0,1,0,2,0
CXIParser,1,1,3,0,1,39,3,0,1,0,2,0
DefaultMineralParserAttribute,1,1,1,0,1,27,1,0,0,0,0,0
EveCentralParser,1,1,3,0,1,39,3,0,1,0,2,0
IMineralParser,0,1,3,0,0,32,1,4,0,-1,0,1
MatariParser,1,1,3,0,1,39,3,0,1,0,2,0
MineralDataRequest,1,5,1,0,4,81,11,0,0,0,2,1
MineralParserException,0,1,0,0,1,13,1,0,0,-1,0,0
MineralTile,12,6,5,0,1,267,10,0,0,0.33,1,1
MineralWorksheet,28,15,2,0,1,554,35,0,1,0.27,4,0
Resources,2,1,7,0,0,75,1,0,0,0,0,0
