Namespace,Type,Method,LOC,CC,PC
XVideoRental.Win,Program,Main,30,2,0
XVideoRental.Win,XVideoRentalWindowsFormsApplication,XVideoRentalWindowsFormsApplication,6,1,0
XVideoRental.Win,XVideoRentalWindowsFormsApplication,CreateApplicationModulesManager,4,1,1
XVideoRental.Win,XVideoRentalWindowsFormsApplication,OnLastLogonParametersRead,7,3,2
XVideoRental.Win,XVideoRentalWindowsFormsApplication,CreateDefaultObjectSpaceProvider,3,1,1
XVideoRental.Win,XVideoRentalWindowsFormsApplication,XVideoRentalWindowsFormsApplication_DatabaseVersionMismatch,24,1,2
XVideoRental.Win,XVideoRentalWindowsFormsApplication,XVideoRentalWindowsFormsApplication_CustomizeLanguagesList,6,2,2
XVideoRental.Win,XVideoRentalWindowsFormsApplication,Dispose,6,2,1
XVideoRental.Win,XVideoRentalWindowsFormsApplication,InitializeComponent,106,1,0
XVideoRental.Win.Properties,Resources,Resources,2,1,0
