Namespace,Type,Method,LOC,CC,PC
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,IOViewControllerBase,7,1,0
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,OnActivated,5,1,0
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,IoActionOnExecute,7,2,2
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,ShowSerializationView,16,2,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,AddDialogController,7,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,AcceptActionOnExecuteCompleted,4,1,2
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Export,14,2,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Save,0,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Zip,7,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,CreateZipFile,5,1,0
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Save,0,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Save,8,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,GetExtension,3,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,Import,27,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,ExtractZip,21,3,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,CreateObjectSpace,5,1,1
Xpand.ExpressApp.IO.Controllers,IOViewControllerBase,GetFileName,3,1,1
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,SerializationConfigurationDetailViewController,11,2,0
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,GenerateGraphActionOnExecute,6,1,2
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,ApplyStrategyActionOnExecute,4,1,2
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,OnActivated,6,1,0
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,OnDeactivated,4,1,0
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,ObjectSpaceOnObjectChanged,10,3,2
Xpand.ExpressApp.IO.Controllers,SerializationConfigurationDetailViewController,GenerateGraph,4,1,1
Xpand.ExpressApp.IO.Core,ExportEngineExtensions,HasDefaultValue,9,4,2
Xpand.ExpressApp.IO.Core,ExportEngineExtensions,IsMinified,4,1,1
Xpand.ExpressApp.IO.Core,ExportEngine,GetXMLWriterSettings,15,2,1
Xpand.ExpressApp.IO.Core,ExportEngine,ExportEngine,3,1,1
Xpand.ExpressApp.IO.Core,ExportEngine,Export,15,2,2
Xpand.ExpressApp.IO.Core,ExportEngine,ExportCore,25,5,4
Xpand.ExpressApp.IO.Core,ExportEngine,SetMemberValue,24,7,4
Xpand.ExpressApp.IO.Core,ExportEngine,GetInvariantValue,4,1,1
Xpand.ExpressApp.IO.Core,ExportEngine,GetPropertyElement,10,3,3
Xpand.ExpressApp.IO.Core,ExportEngine,CreateCollectionProperty,7,3,6
Xpand.ExpressApp.IO.Core,ExportEngine,CreateRefElelement,12,3,6
Xpand.ExpressApp.IO.Core,ExportEngine,CreateRefKeyElements,8,2,5
Xpand.ExpressApp.IO.Core,ExportEngine,CreateObjectProperty,7,2,6
Xpand.ExpressApp.IO.Core,ExportEngine,Export,10,2,3
Xpand.ExpressApp.IO.Core,ElementSchema,Get,14,1,1
Xpand.ExpressApp.IO.Core,ElementSchema,ElementSchema,2,1,0
Xpand.ExpressApp.IO.Core,ElementSchema,Get,4,1,1
Xpand.ExpressApp.IO.Core,IAFModule,SanitizeXmlString,10,3,1
Xpand.ExpressApp.IO.Core,IAFModule,IsLegalXmlChar,10,1,1
Xpand.ExpressApp.IO.Core,InitDataImporter,Import,20,2,2
