Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CombinationStream,6,11,6,0,10,245,25,0,0,0.64,0,0
DateTimeConvertor,1,6,1,0,6,88,8,0,0,0.67,0,1
FacebookApiEventArgs,1,3,0,0,3,51,3,0,0,0,0,0
FacebookApiException,0,7,5,0,6,112,7,2,0,-1,0,1
FacebookBatchParameter,0,5,4,0,5,95,5,0,0,-1,1,0
FacebookClient,34,99,12,0,74,2528,374,0,0,0.89,13,0
FacebookMediaObject,1,2,2,0,2,44,2,0,0,0,0,1
FacebookMediaStream,1,3,2,0,3,57,4,0,0,0,0,1
FacebookOAuthException,0,7,0,0,6,69,7,0,1,-1,0,0
FacebookApiLimitException,0,5,0,0,4,64,5,0,1,-1,0,0
FacebookOAuthResult,7,2,8,0,0,145,10,0,0,1,0,0
FacebookUploadProgressChangedEventArgs,4,1,4,0,1,58,1,0,0,0,0,1
HttpWebRequestWrapper,2,13,22,0,12,418,14,0,0,0.46,1,3
HttpWebResponseWrapper,1,3,14,0,2,155,4,0,0,0.67,0,3
WebExceptionWrapper,2,4,2,0,2,64,4,0,0,0.75,1,2
OpenReadCompletedEventArgs,1,1,1,0,1,32,1,0,0,0,0,1
OpenWriteCompletedEventArgs,1,1,1,0,1,32,1,0,0,0,0,1
HttpHelper,7,31,5,0,21,1162,99,0,0,0.55,5,1
HttpMethod,0,0,0,0,0,18,0,0,0,-1,0,2
HttpWebRequestCreatedEventArgs,2,1,2,0,1,20,1,0,0,0,1,1
JsonArray,0,3,0,0,3,35,3,0,0,-1,1,2
JsonObject,1,22,4,0,20,349,39,0,0,0.36,1,3
SimpleJson,19,26,3,0,9,630,134,0,0,0.27,6,3
IJsonSerializerStrategy,0,2,0,0,0,12,2,1,0,-1,0,1
PocoJsonSerializerStrategy,6,10,0,0,3,222,49,1,1,0.2,2,1
DataContractJsonSerializerStrategy,0,4,0,0,1,66,14,0,2,-1,1,1
TaskExtensions,0,1,0,0,1,26,3,0,0,-1,0,0
ReflectionUtils,1,37,0,0,37,468,44,0,0,0.51,0,3
