Implementation smell,Namespace,Class,File,Method,Description
Long Method,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteBeat,The method has 166 lines of code.
Long Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportOrFindBeat,The method has 186 lines of code.
Long Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportOrFindNote,The method has 175 lines of code.
Complex Method,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,CreateChord,Cyclomatic complexity of the method is 14
Complex Method,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,HandleSustainsAndSilence,Cyclomatic complexity of the method is 9
Complex Method,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,CalculateNoteDurations,Cyclomatic complexity of the method is 16
Complex Method,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,SplitImplicitSlides,Cyclomatic complexity of the method is 12
Complex Method,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,CalculateAndCleanBendOffsets,Cyclomatic complexity of the method is 15
Complex Method,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteMasterBars,Cyclomatic complexity of the method is 9
Complex Method,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteBeat,Cyclomatic complexity of the method is 91
Complex Method,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteChordTemplate,Cyclomatic complexity of the method is 11
Complex Method,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteNote,Cyclomatic complexity of the method is 26
Complex Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportTrack,Cyclomatic complexity of the method is 8
Complex Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportChordDiagrams,Cyclomatic complexity of the method is 22
Complex Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportBars,Cyclomatic complexity of the method is 8
Complex Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportOrFindBeat,Cyclomatic complexity of the method is 92
Complex Method,RocksmithToTabLib,GpxExporter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GpxExporter.cs,ExportOrFindNote,Cyclomatic complexity of the method is 29
Complex Method,RocksmithToTabLib,PSARC,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\PSARC.cs,Read,Cyclomatic complexity of the method is 19
Complex Method,RocksmithToTabLib,PsarcBrowser,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\PsarcBrowser.cs,GetToolkitInfo,Cyclomatic complexity of the method is 19
Complex Method,RocksmithToTabLib,RhythmDetector,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\RhythmDetector.cs,SplitDurations,Cyclomatic complexity of the method is 11
Long Parameter List,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,CollectNotesForDifficulty,The method has 5 parameters.
Long Parameter List,RocksmithToTabLib,GP5File,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\GP5File.cs,WriteBeat,The method has 5 parameters.
Long Parameter List,RocksmithToTabLib,RhythmDetector,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\RhythmDetector.cs,MatchRhythm,The method has 6 parameters.
Long Statement,RocksmithToTabLib,Converter,F:\newReposMay17\fholger_RocksmithToTab\RocksmithToTabLib\Converter.cs,ConvertArrangement,The length of the statement  "	track.DifficultyLevel = CollectNotesForDifficulty (arrangement' track.Bars' track.ChordTemplates' difficultyLevel' out numStrings); " is 131.
