Namespace,Type,Method,LOC,CC,PC
Chummer,CommonFunctions,CommonFunctions,3,1,1
Chummer,CommonFunctions,CommonFunctions,2,1,0
Chummer,CommonFunctions,FindEquipment,46,16,3
Chummer,CommonFunctions,FindEquipmentByExternalId,46,16,3
Chummer,CommonFunctions,FindGearByWeaponID,20,6,2
Chummer,CommonFunctions,FindLifestyle,8,3,2
Chummer,CommonFunctions,FindTechProgram,8,3,2
Chummer,CommonFunctions,FindTechProgramOption,15,4,3
Chummer,CommonFunctions,FindSpell,8,3,2
Chummer,CommonFunctions,FindCritterPower,8,3,2
Chummer,CommonFunctions,FindQuality,8,3,2
Chummer,CommonFunctions,FindMetamagic,8,3,2
Chummer,CommonFunctions,FindMartialArt,8,3,2
Chummer,CommonFunctions,FindMartialArtAdvantage,15,4,3
Chummer,CommonFunctions,FindMartialArtManeuver,8,3,2
Chummer,CommonFunctions,FindNode,15,4,2
Chummer,CommonFunctions,FindNode,15,4,2
Chummer,CommonFunctions,FindCharacterCommlinks,20,6,1
Chummer,CommonFunctions,GetObjectName,21,7,1
Chummer,CommonFunctions,DeleteGear,51,14,3
Chummer,CommonFunctions,DeleteVehicleGear,29,8,3
Chummer,CommonFunctions,ClearNodeBackground,8,3,2
Chummer,CommonFunctions,ClearNodeBackground,9,4,2
Chummer,CommonFunctions,BuildEquipmentTree,44,12,3
Chummer,CommonFunctions,BuildGearTree,17,3,3
Chummer,CommonFunctions,BuildCyberwareTree,26,5,4
Chummer,CommonFunctions,SortTree,20,4,1
Chummer,CommonFunctions,CreateArmorTreeNode,50,9,5
Chummer,CommonFunctions,CreateVehicleTreeNode,82,15,9
Chummer,CommonFunctions,CreateWeaponTreeNode,71,14,6
Chummer,CommonFunctions,OpenPDF,48,8,1
Chummer,CommonFunctions,ConfirmDelete,11,3,1
Chummer,Equipment,Load,0,1,2
Chummer,Equipment,Print,0,1,1
Chummer,Equipment,Save,0,1,1
Chummer,Equipment,Equipment,4,1,1
Chummer,Equipment,VariableCost,27,4,2
Chummer,Equipment,FixedValue,4,1,1
Chummer,ArmorMod,ArmorMod,4,1,1
Chummer,ArmorMod,Create,74,14,7
Chummer,ArmorMod,Save,31,4,1
Chummer,ArmorMod,Load,45,9,2
Chummer,ArmorMod,Print,21,2,1
Chummer,Armor,Armor,2,1,1
Chummer,Armor,Create,114,20,6
Chummer,Armor,Save,60,8,1
Chummer,Armor,Load,85,14,2
Chummer,Armor,Print,48,6,1
Chummer,Grade,Grade,2,1,0
Chummer,Grade,Load,9,2,1
Chummer,GradeList,LoadList,15,3,1
Chummer,GradeList,GetGrade,23,6,1
Chummer,GradeList,GetEnumerator,3,1,0
Chummer,GradeList,GetEnumerator,3,1,0
Chummer,Cyberware,ConvertToCyberwareGrade,20,6,2
Chummer,Cyberware,Cyberware,4,1,1
Chummer,Cyberware,Create,179,26,11
Chummer,Cyberware,Save,70,10,1
Chummer,Cyberware,Load,107,17,2
Chummer,Cyberware,Print,63,8,1
Chummer,Weapon,Weapon,2,1,1
Chummer,Weapon,Create,117,24,7
Chummer,Weapon,Save,67,7,1
Chummer,Weapon,Load,118,17,2
Chummer,Weapon,Print,88,13,1
Chummer,Weapon,GetAmmoName,15,4,1
Chummer,Weapon,CalculatedConcealability,31,9,0
Chummer,Weapon,CalculatedDamage,287,54,2
Chummer,Weapon,CalculatedAmmo,84,13,1
Chummer,Weapon,AllowMode,9,3,1
Chummer,Weapon,SetRange,3,1,1
Chummer,Weapon,Range,30,3,1
Chummer,WeaponAccessory,WeaponAccessory,2,1,1
Chummer,WeaponAccessory,Create,38,11,3
Chummer,WeaponAccessory,Save,50,8,1
Chummer,WeaponAccessory,Load,80,11,2
Chummer,WeaponAccessory,Print,42,6,1
Chummer,WeaponMod,WeaponMod,2,1,1
Chummer,WeaponMod,Create,59,22,2
Chummer,WeaponMod,Save,42,9,1
Chummer,WeaponMod,Load,86,8,2
Chummer,WeaponMod,Print,17,2,1
Chummer,Lifestyle,ConverToLifestyleType,13,4,1
Chummer,Lifestyle,Lifestyle,5,1,1
Chummer,Lifestyle,Create,11,1,2
Chummer,Lifestyle,Save,28,2,1
Chummer,Lifestyle,Load,35,3,2
Chummer,Lifestyle,Print,76,11,1
Chummer,Lifestyle,SetInternalId,3,1,1
Chummer,Gear,LoadAmmoType,25,6,1
Chummer,Gear,SaveAmmoType,5,1,1
Chummer,Gear,Gear,2,1,1
Chummer,Gear,Create,254,53,12
Chummer,Gear,CreateChildren,39,7,6
Chummer,Gear,Copy,63,4,4
Chummer,Gear,Save,81,12,1
Chummer,Gear,Load,116,20,2
Chummer,Gear,Print,69,8,1
Chummer,Gear,TotalAvail,90,20,2
Chummer,Gear,WeaponBonusDamage,32,7,1
Chummer,Commlink,Commlink,2,1,1
Chummer,Commlink,Create,165,28,6
Chummer,Commlink,Copy,58,4,4
Chummer,Commlink,Save,57,6,1
Chummer,Commlink,Load,86,15,2
Chummer,Commlink,Print,66,7,1
Chummer,OperatingSystem,OperatingSystem,2,1,1
Chummer,OperatingSystem,Create,67,17,6
Chummer,OperatingSystem,Copy,58,4,4
Chummer,OperatingSystem,Save,55,6,1
Chummer,OperatingSystem,Load,83,14,2
Chummer,OperatingSystem,Print,58,6,1
Chummer,VehicleMod,VehicleMod,4,1,1
Chummer,VehicleMod,Create,75,23,3
Chummer,VehicleMod,Save,45,7,1
Chummer,VehicleMod,Load,86,13,2
Chummer,VehicleMod,Print,25,4,1
Chummer,Vehicle,Vehicle,4,1,1
Chummer,Vehicle,Create,198,35,8
Chummer,Vehicle,Save,68,8,1
Chummer,Vehicle,Load,114,20,2
Chummer,Vehicle,Print,65,8,1
Chummer,Vehicle,HasModularElectronics,9,3,0
Chummer,Character,Character,16,1,0
Chummer,Character,Save,435,39,0
Chummer,Character,Load,705,43,0
Chummer,Character,PrintToStream,604,44,2
Chummer,Character,Print,45,3,1
Chummer,Character,ResetCharacter,89,1,0
Chummer,Character,BuildSkillGroupList,32,5,0
Chummer,Character,BuildSkillList,39,7,0
Chummer,Character,GetObjectName,159,42,1
Chummer,Character,CleanXPath,32,4,1
Chummer,Character,GetAttribute,44,14,1
Chummer,Character,AttributePointsSpent,22,1,0
Chummer,Character,SpecialAttributePointsSpent,12,1,0
Chummer,Character,FullMovement,7,1,0
Chummer,Character,ConvertToCharacterBuildMethod,9,2,1
Chummer,Character,AvailTest,39,8,2
Chummer,Character,HasImprovement,11,4,2
Chummer,Character,LoadMetatype,376,61,6
Chummer,Character,ExpressionToString,27,4,3
Chummer,Character,PhysicalLimit,6,1,0
Chummer,Character,MentalLimit,6,1,0
Chummer,Character,SocialLimit,6,1,0
Chummer,Character,AstralLimit,4,1,0
Chummer,Improvement,ConvertToImprovementType,191,93,1
Chummer,Improvement,ConvertToImprovementSource,63,29,1
Chummer,Improvement,Save,25,2,1
Chummer,Improvement,Load,70,1,1
Chummer,ImprovementManager,ImprovementManager,4,1,1
Chummer,ImprovementManager,ValueOf,151,41,3
Chummer,ImprovementManager,ValueToInt,36,3,2
Chummer,ImprovementManager,NodeExists,13,2,2
Chummer,ImprovementManager,CreateImprovements,1221,254,7
Chummer,ImprovementManager,RemoveImprovements,280,73,2
Chummer,ImprovementManager,CreateImprovement,42,7,14
Chummer,ImprovementManager,Commit,4,1,0
Chummer,ImprovementManager,Rollback,6,2,0
Chummer,ExpenseUndo,ConvertToKarmaExpenseType,51,23,1
Chummer,ExpenseUndo,ConvertToNuyenExpenseType,47,21,1
Chummer,ExpenseUndo,CreateKarma,4,1,2
Chummer,ExpenseUndo,CreateNuyen,5,1,3
Chummer,ExpenseUndo,Save,9,1,1
Chummer,ExpenseUndo,Load,7,1,1
Chummer,ExpenseLogEntry,CompareDate,19,4,2
Chummer,ExpenseLogEntry,ConvertToExpenseType,9,2,1
Chummer,ExpenseLogEntry,ExpenseLogEntry,4,1,0
Chummer,ExpenseLogEntry,Create,9,2,5
Chummer,ExpenseLogEntry,Save,12,2,1
Chummer,ExpenseLogEntry,Load,25,2,1
Chummer,ExpenseLogEntry,Print,9,1,1
Chummer,LanguageManager,LanguageManager,9,3,0
Chummer,LanguageManager,LanguageManager,2,1,0
Chummer,LanguageManager,RefreshStrings,25,3,0
Chummer,LanguageManager,LoadTranslatedString,44,4,0
Chummer,LanguageManager,Load,8,3,1
Chummer,LanguageManager,UpdateControls,146,24,1
Chummer,LanguageManager,UpdateUserControl,3,1,1
Chummer,LanguageManager,UpdateForm,39,5,1
Chummer,LanguageManager,GetString,5,1,1
Chummer,LanguageManager,VerifyStrings,48,8,1
Chummer,LanguageManager,TranslateExtra,131,29,1
Chummer,ListItem,ListItem,1,1,0
Chummer,ListItem,ListItem,4,1,2
Chummer,SortByName,Compare,5,1,2
Chummer,SortByDate,Compare,5,1,2
Chummer,SortListItem,Compare,5,1,2
Chummer,ListViewColumnSorter,ListViewColumnSorter,5,1,0
Chummer,ListViewColumnSorter,Compare,20,5,2
Chummer,OmaeHelper,GetOmaeService,33,1,0
Chummer,OmaeHelper,GetTranslationService,33,1,0
Chummer,OmaeHelper,XmlDocumentFromStream,9,1,1
Chummer,OmaeHelper,Base64Encode,13,1,1
Chummer,OmaeHelper,Base64Decode,17,1,1
Chummer,OmaeHelper,Compress,10,1,1
Chummer,OmaeHelper,Decompress,23,1,1
Chummer,OmaeHelper,CompressMutiple,13,2,1
Chummer,OmaeHelper,CompressMutipleToFile,15,3,2
Chummer,OmaeHelper,DecompressDataFile,24,3,2
Chummer,OmaeHelper,DecompressCharacterSheet,23,3,1
Chummer,OmaeHelper,DecompressNPCs,36,8,1
Chummer,OmaeHelper,DecompressNPCs,34,8,1
Chummer,GlobalOptions,GlobalOptions,173,3,0
Chummer,GlobalOptions,GlobalOptions,2,1,0
Chummer,GlobalOptions,ApplicationPath,12,3,0
Chummer,GlobalOptions,AddToMRUList,21,5,1
Chummer,GlobalOptions,RemoveFromMRUList,32,6,1
Chummer,GlobalOptions,ReadMRUList,15,2,0
Chummer,GlobalOptions,AddToStickyMRUList,17,4,1
Chummer,GlobalOptions,RemoveFromStickyMRUList,32,6,1
Chummer,GlobalOptions,ReadStickyMRUList,15,2,0
Chummer,CharacterOptions,CharacterOptions,19,3,0
Chummer,CharacterOptions,Save,219,2,0
Chummer,CharacterOptions,Load,341,4,1
Chummer,CharacterOptions,BookFromCode,12,1,1
Chummer,CharacterOptions,LanguageBookShort,17,3,1
Chummer,CharacterOptions,BookFromAltCode,9,3,1
Chummer,CharacterOptions,LanguageBookLong,17,3,1
Chummer,CharacterOptions,BookEnabled,12,3,1
Chummer,CharacterOptions,BookXPath,14,4,0
Chummer,Attribute,Attribute,3,1,1
Chummer,Attribute,Save,12,1,1
Chummer,Attribute,Load,8,1,1
Chummer,Attribute,Print,11,1,1
Chummer,Attribute,AssignLimits,5,1,3
