Method,LOC,CC,PC
Arma2NETMySQLPlugin:Invoke,30,5,2
Arma2NETMySQLPlugin:Unload,3,1,0
Arma2NETMySQLPluginCommand:Invoke,21,3,2
Arma2NETMySQLPluginCommand:Unload,3,1,0
Arma2NETMySQLPluginCommandAsync:InvokeAsync,27,3,3
Arma2NETMySQLPluginCommandAsync:Unload,3,1,0
SQLite:SQLite,13,3,0
SQLite:OpenConnection,12,3,1
SQLite:CloseConnection,10,3,0
SQLite:RunProcedure,4,1,3
SQLite:RunCommand,29,4,2
MySQL:MySQL,3,1,0
MySQL:OpenConnection,33,7,1
MySQL:CloseConnection,10,5,0
MySQL:checkConnectionThread,22,4,1
MySQL:GetCommand,13,1,1
MySQL:RunProcedure,24,6,3
MySQL:RunCommand,13,3,2
MySQL:RunOnDatabase,57,10,2
Startup:StartupConnection,30,3,0
Startup:Unload,6,1,0
DatabaseObject:DatabaseObject,20,4,1
DatabaseObject:getMySQLFormattedConnectionString,12,1,0
Databases:Databases,51,8,0
Databases:getSize,3,1,0
Databases:shutdown,5,2,0
Databases:SQLProviderExists,8,3,1
Databases:getSQLProvider,8,3,1
Logger:Logger,22,4,0
Logger:getLogDir,3,1,0
Logger:addMessage,17,2,2
Logger:Stop,12,3,0
SQL:SQL,3,1,0
SQL:OpenConnection,1,1,1
SQL:CloseConnection,1,1,0
SQL:RunProcedure,1,1,3
SQL:RunCommand,1,1,2
SQL:validLength,26,2,2
