Method,LOC,CC,PC
BugLoggerDbContext:BugLoggerDbContext,3,1,0
BugLoggerDbContext:Set,3,1,0
BugLoggerDbContext:SaveChanges,3,1,0
BugLoggerData:BugLoggerData,2,1,0
BugLoggerData:BugLoggerData,3,1,1
BugLoggerData:SaveChanges,3,1,0
BugLoggerData:Dispose,3,1,0
BugLoggerData:Dispose,9,3,1
BugLoggerData:GetRepository,13,3,0
BugRepository:BugRepository,2,1,0
BugRepository:BugRepository,2,1,1
BugRepository:GetAllByStatus,3,1,1
BugRepository:GetAllFromDate,3,1,1
BugRepository:GetAllToDate,3,1,1
BugRepository:GetAllInDateRange,3,1,2
GenericRepository<T>:GenericRepository,2,1,0
GenericRepository<T>:GenericRepository,8,2,1
GenericRepository<T>:All,3,1,0
GenericRepository<T>:Search,3,1,1
GenericRepository<T>:Find,3,1,1
GenericRepository<T>:Add,3,1,1
GenericRepository<T>:Update,3,1,1
GenericRepository<T>:Delete,3,1,1
GenericRepository<T>:Delete,7,2,1
GenericRepository<T>:Detach,3,1,1
GenericRepository<T>:SaveChanges,3,1,0
GenericRepository<T>:ChangeEntityState,4,1,2
IBugRepository:GetAllByStatus,0,1,1
IBugRepository:GetAllFromDate,0,1,1
IBugRepository:GetAllToDate,0,1,1
IBugRepository:GetAllInDateRange,0,1,2
IGenericRepository:All,0,1,0
IGenericRepository:Search,0,1,1
IGenericRepository:Find,0,1,1
IGenericRepository:Add,0,1,1
IGenericRepository:Update,0,1,1
IGenericRepository:Delete,0,1,1
IGenericRepository:Delete,0,1,1
IGenericRepository:Detach,0,1,1
IGenericRepository:SaveChanges,0,1,0
IDbContext:Set,0,1,0
IDbContext:Entry,0,1,1
IDbContext:SaveChanges,0,1,0
IBugLoggerData:SaveChanges,0,1,0
Configuration:Configuration,4,1,0
Configuration:Seed,3,1,1
Configuration:SeedBugs,18,3,1
