Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,GistInTime.Data,GitHubApi,C:\repos\gotdibbs_GistInTime\GistInTime\Data\GitHubApi.cs,ExecuteRequest,The method has 6 parameters. Parameters: method' requestUrl' body' authToken' username' password
Long Statement,GistInTime,SettingsDialog,C:\repos\gotdibbs_GistInTime\GistInTime\SettingsDialog.xaml.cs,RevokeAuthorizationToken,The length of the statement  "                    MessageBox.Show("Revoke failed. Please confirm your authorization token has been removed manually via the GitHub website."); " is 124.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,InitializeNotifyIcon,The length of the statement  "            var iconStream = System.Windows.Application.GetResourceStream(new Uri("pack://application:'''/GistInTime;component/cloud.ico")).Stream; " is 135.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,RefreshGists,The length of the statement  "                _notifyIcon.ShowBalloonTip(500' "GistInTime"' "You have no Gists' right click the tray icon to create a new gist."' ToolTipIcon.Warning); " is 137.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                    "The new version of the application cannot be downloaded at this time. \n\nPlease check your network connection' or try again later. Error: " + dde.Message' "Error!"); " is 167.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                MessageBox.Show("Cannot check for a new version of the application. The ClickOnce deployment is corrupt. Please redeploy the application and try again. Error: " + ide.Message' "Error!"); " is 186.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                MessageBox.Show("This application cannot be updated. It is likely not a ClickOnce application. Error: " + ioe.Message' "Error!"); " is 129.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                        String.Format("This version is {0}.{1}.{2}.{3} "' ad.UpdatedVersion.Major' ad.UpdatedVersion.Minor' ad.UpdatedVersion.Build' ad.UpdatedVersion.Revision) + Environment.NewLine + " is 176.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                        String.Format("Update Version is {0}.{1}.{2}.{3}"' info.AvailableVersion.Major' info.AvailableVersion.Minor' info.AvailableVersion.Build' info.AvailableVersion.Revision) + Environment.NewLine + " is 193.
Long Statement,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_CheckUpdates,The length of the statement  "                        MessageBox.Show("Cannot install the latest version of the application. \n\nPlease check your network connection' or try again later. Error: " + dde); " is 149.
Long Statement,GistInTime.Data,GitHubApi,C:\repos\gotdibbs_GistInTime\GistInTime\Data\GitHubApi.cs,GetResponseText,The length of the statement  "                    throw new Exception("Authentication failure. Please try refreshing your auth token by logging out and then reauthorizing GistInTime."); " is 135.
Magic Number,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,PollForGists,The following statement contains a magic number: Thread.Sleep(new TimeSpan(0' 60' 0));
Magic Number,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,RefreshGists,The following statement contains a magic number: if (!(Gists != null && Gists.Count > 0))              {                  _notifyIcon.ShowBalloonTip(500' "GistInTime"' "You have no Gists' right click the tray icon to create a new gist."' ToolTipIcon.Warning);              }
Magic Number,GistInTime,App,C:\repos\gotdibbs_GistInTime\GistInTime\App.xaml.cs,_notifyIcon_Refresh,The following statement contains a magic number: _notifyIcon.ShowBalloonTip(500' "GistInTime"' "Gists Refreshed."' ToolTipIcon.Info);
