Namespace,Type,Method,LOC,CC,PC
Avalonia.Interactivity,IInteractive,AddHandler,0,1,4
Avalonia.Interactivity,IInteractive,AddHandler,0,1,4
Avalonia.Interactivity,IInteractive,RemoveHandler,0,1,2
Avalonia.Interactivity,IInteractive,RemoveHandler,0,1,2
Avalonia.Interactivity,IInteractive,RaiseEvent,0,1,1
Avalonia.Interactivity,Interactive,AddHandler,11,1,4
Avalonia.Interactivity,Interactive,AddHandler,26,2,4
Avalonia.Interactivity,Interactive,RemoveHandler,9,2,2
Avalonia.Interactivity,Interactive,RemoveHandler,3,1,2
Avalonia.Interactivity,Interactive,RaiseEvent,20,4,1
Avalonia.Interactivity,Interactive,BubbleEvent,6,1,1
Avalonia.Interactivity,Interactive,TunnelEvent,6,1,1
Avalonia.Interactivity,Interactive,RaiseEventImpl,24,5,1
Avalonia.Interactivity,Interactive,GetEventSubscriptions,8,2,1
Avalonia.Interactivity,Interactive,AddEventSubscription,5,1,2
Avalonia.Interactivity,UnsubscribeDisposable,UnsubscribeDisposable,4,1,2
Avalonia.Interactivity,UnsubscribeDisposable,Dispose,3,1,0
Avalonia.Interactivity,ITraverse,Execute,0,1,2
Avalonia.Interactivity,NopTraverse,Execute,2,1,2
Avalonia.Interactivity,RaiseEventTraverse,Execute,3,1,2
Avalonia.Interactivity,HierarchyTraverser,HierarchyTraverser,5,1,3
Avalonia.Interactivity,HierarchyTraverser,Create,3,1,1
Avalonia.Interactivity,HierarchyTraverser,Traverse,9,2,1
Avalonia.Interactivity,InteractiveExtensions,GetObservable,7,1,4
Avalonia.Interactivity,RoutedEvent,RoutedEvent,10,1,4
Avalonia.Interactivity,RoutedEvent,Register,6,1,2
Avalonia.Interactivity,RoutedEvent,Register,6,1,3
Avalonia.Interactivity,RoutedEvent,AddClassHandler,12,1,4
Avalonia.Interactivity,RoutedEvent,InvokeRaised,3,1,2
Avalonia.Interactivity,RoutedEvent,InvokeRouteFinished,3,1,1
Avalonia.Interactivity,RoutedEvent<TEventArgs>,RoutedEvent,4,1,3
Avalonia.Interactivity,RoutedEvent<TEventArgs>,AddClassHandler,10,1,3
Avalonia.Interactivity,RoutedEvent<TEventArgs>,AddClassHandler,10,1,3
Avalonia.Interactivity,RoutedEventArgs,RoutedEventArgs,2,1,0
Avalonia.Interactivity,RoutedEventArgs,RoutedEventArgs,3,1,1
Avalonia.Interactivity,RoutedEventArgs,RoutedEventArgs,4,1,2
Avalonia.Interactivity,RoutedEventRegistry,Register,10,2,2
Avalonia.Interactivity,RoutedEventRegistry,GetAllRegistered,9,3,0
Avalonia.Interactivity,RoutedEventRegistry,GetRegistered,8,2,1
Avalonia.Interactivity,RoutedEventRegistry,GetRegistered,3,1,0
