Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Avalonia.OpenGL,EglDisplay,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglDisplay.cs,EglDisplay,Cyclomatic complexity of the method is 21
Long Parameter List,Avalonia.OpenGL,Session,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglGlPlatformSurface.cs,Session,The method has 5 parameters. Parameters: display' context' glSurface' info' lock
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_MULTISAMPLE_RESOLVE_BOX_BIT is 31.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_MULTISAMPLE_RESOLVE_DEFAULT is 31.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_SWAP_BEHAVIOR_PRESERVED_BIT is 31.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_PROFILE_MASK is 31.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_RESET_NOTIFICATION_STRATEGY is 46.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_CORE_PROFILE_BIT is 35.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_COMPATIBILITY_PROFILE_BIT is 44.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_FORWARD_COMPATIBLE is 37.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_CONTEXT_OPENGL_ROBUST_ACCESS is 32.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_SYNC_PRIOR_COMMANDS_COMPLETE is 32.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_POSITIVE_X is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_NEGATIVE_X is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_POSITIVE_Y is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_NEGATIVE_Y is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_POSITIVE_Z is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_GL_TEXTURE_CUBE_MAP_NEGATIVE_Z is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_TYPE_D3D9_ANGLE is 34.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_TYPE_D3D11_ANGLE is 35.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_MAX_VERSION_MAJOR_ANGLE is 42.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_MAX_VERSION_MINOR_ANGLE is 42.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEBUG_LAYERS_ENABLED is 39.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_TYPE_DEFAULT_ANGLE is 37.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEVICE_TYPE_HARDWARE_ANGLE is 45.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEVICE_TYPE_NULL_ANGLE is 41.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEVICE_TYPE_ANGLE is 36.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_ENABLE_AUTOMATIC_TRIM_ANGLE is 46.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEVICE_TYPE_D3D_WARP_ANGLE is 45.
Long Identifier,Avalonia.OpenGL,EglConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\EglConsts.cs,,The length of the parameter EGL_PLATFORM_ANGLE_DEVICE_TYPE_D3D_REFERENCE_ANGLE is 50.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_TEXTURE_COORD_ARRAY_POINTER is 30.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_MAX_CLIENT_ATTRIB_STACK_DEPTH is 32.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_CURRENT_RASTER_TEXTURE_COORDS is 32.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_CURRENT_RASTER_POSITION_VALID is 32.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_PERSPECTIVE_CORRECTION_HINT is 30.
Long Identifier,Avalonia.OpenGL,GlConsts,D:\research\architectureSmells\repos\grokys_Perspex\src\Avalonia.OpenGL\GlConsts.cs,,The length of the parameter GL_INVALID_FRAMEBUFFER_OPERATION is 32.
