Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Avalonia.Skia,BitmapImpl,2,8,3,0,7,113,10,0,2,0.75,8,2,Avalonia.Vector' Avalonia.Platform.IUnmanagedBlob' Avalonia.AvaloniaLocator' Avalonia.Platform.OperatingSystemType' Avalonia.IAvaloniaDependencyResolver' Avalonia.Platform.IRuntimePlatform' Avalonia.Skia.BitmapDrawingContext' Avalonia.Rendering.IVisualBrushRenderer,Avalonia.Skia.DrawingContextImpl' Avalonia.Skia.PlatformRenderInterface
Avalonia.Skia,BitmapDrawingContext,1,4,0,0,3,27,5,0,1,0.5,3,1,Avalonia.Vector' Avalonia.Rendering.IVisualBrushRenderer' Avalonia.Skia.DrawingContextImpl,Avalonia.Skia.BitmapImpl
Avalonia.Skia,BitmapFramebuffer,1,2,6,0,2,20,2,0,1,0,0,0,,
Avalonia.Skia,DrawingContextImpl,9,21,2,0,19,366,34,1,1,0.29,31,3,Avalonia.Vector' Avalonia.Rendering.IVisualBrushRenderer' Avalonia.Matrix' Avalonia.Media.Color' Avalonia.Skia.BitmapImpl' Avalonia.Rect' Avalonia.Platform.IBitmapImpl' Avalonia.Media.IBrush' Avalonia.Point' Avalonia.Skia.PaintWrapper' Avalonia.Media.Pen' Avalonia.Skia.StreamGeometryImpl' Avalonia.Size' Avalonia.Platform.IGeometryImpl' Avalonia.Media.ISolidColorBrush' Avalonia.Media.IGradientBrush' Avalonia.Media.ILinearGradientBrush' Avalonia.Media.IRadialGradientBrush' Avalonia.Media.ITileBrush' Avalonia.Media.IVisualBrush' Avalonia.Rendering.Utilities.TileBrushCalculator' Avalonia.Media.GradientSpreadMethod' Avalonia.RelativePoint' Avalonia.Platform.IDrawingContextImpl' Avalonia.Media.Colors' Avalonia.Media.TileMode' Avalonia.Media.PenLineCap' Avalonia.Media.PenLineJoin' Avalonia.Media.DashStyle' Avalonia.Skia.FormattedTextImpl' Avalonia.Platform.IFormattedTextImpl,Avalonia.Skia.BitmapDrawingContext' Avalonia.Skia.FormattedTextImpl' Avalonia.Skia.FramebufferRenderTarget
Avalonia.Skia,PaintState,3,2,0,0,2,17,2,0,0,0,0,1,,Avalonia.Skia.PaintWrapper
Avalonia.Skia,PaintWrapper,3,4,0,1,4,36,5,0,0,0,1,2,Avalonia.Skia.PaintState,Avalonia.Skia.DrawingContextImpl' Avalonia.Skia.FormattedTextImpl
Avalonia.Skia,FormattedTextImpl,11,16,3,0,6,535,57,0,1,0.25,15,2,Avalonia.Media.TextWrapping' Avalonia.Size' Avalonia.Skia.TypefaceCache' Avalonia.Media.FontStyle' Avalonia.Media.FontWeight' Avalonia.Media.TextAlignment' Avalonia.Media.Typeface' Avalonia.Point' Avalonia.Media.TextHitTestResult' Avalonia.Rect' Avalonia.Skia.PaintWrapper' Avalonia.Skia.AvaloniaFormattedTextLine' Avalonia.Media.IBrush' Avalonia.Skia.DrawingContextImpl' Avalonia.Skia.FBrushRange,Avalonia.Skia.DrawingContextImpl' Avalonia.Skia.PlatformRenderInterface
Avalonia.Skia,AvaloniaFormattedTextLine,6,0,0,6,0,9,0,0,0,-1,0,1,,Avalonia.Skia.FormattedTextImpl
Avalonia.Skia,FBrushRange,0,3,3,0,3,18,3,0,0,-1,0,1,,Avalonia.Skia.FormattedTextImpl
Avalonia.Skia,FramebufferRenderTarget,1,3,0,0,3,60,4,0,1,0.67,6,1,Avalonia.Controls.Platform.Surfaces.IFramebufferPlatformSurface' Avalonia.Platform.ILockedFramebuffer' Avalonia.Skia.PixelFormatShim' Avalonia.Platform.PixelFormat' Avalonia.Skia.DrawingContextImpl' Avalonia.Rendering.IVisualBrushRenderer,Avalonia.Skia.PlatformRenderInterface
