Method,LOC,CC,PC
EditProductController:Commit,7,1,0
EditProductController:SelectedProductChanged,3,1,2
EditProductController:InitViewData,6,1,0
MainTask:OnStart,3,1,1
ProductCategoriesController:CategorySelected,4,1,1
ProductsController:EditProduct,4,1,1
ProductsController:SelectedCategoryChanged,3,1,2
NorthwindDataSet:Init,6,2,0
NorthwindDataSet:FillWithTestData,4,1,0
NorthwindDataSet:FillWithRealData,5,1,0
CategoriesTableAdapter:CategoriesTableAdapter,3,1,0
CategoriesTableAdapter:InitAdapter,35,1,0
CategoriesTableAdapter:InitConnection,4,1,0
CategoriesTableAdapter:InitCommandCollection,7,1,0
CategoriesTableAdapter:Fill,8,2,1
CategoriesTableAdapter:GetData,6,1,0
CategoriesTableAdapter:Update,3,1,1
CategoriesTableAdapter:Update,3,1,1
CategoriesTableAdapter:Update,5,1,1
CategoriesTableAdapter:Update,3,1,1
CategoriesTableAdapter:Delete,23,3,2
CategoriesTableAdapter:Insert,33,5,3
CategoriesTableAdapter:Update,41,6,5
ProductsTableAdapter:ProductsTableAdapter,3,1,0
ProductsTableAdapter:InitAdapter,85,1,0
ProductsTableAdapter:InitConnection,4,1,0
ProductsTableAdapter:InitCommandCollection,7,1,0
ProductsTableAdapter:Fill,8,2,1
ProductsTableAdapter:GetData,6,1,0
ProductsTableAdapter:Update,3,1,1
ProductsTableAdapter:Update,3,1,1
ProductsTableAdapter:Update,5,1,1
ProductsTableAdapter:Update,3,1,1
ProductsTableAdapter:Delete,81,10,10
ProductsTableAdapter:Insert,64,10,9
ProductsTableAdapter:Update,130,18,19
SuppliersTableAdapter:SuppliersTableAdapter,3,1,0
SuppliersTableAdapter:InitAdapter,95,1,0
SuppliersTableAdapter:InitConnection,4,1,0
SuppliersTableAdapter:InitCommandCollection,7,1,0
SuppliersTableAdapter:Fill,8,2,1
SuppliersTableAdapter:GetData,6,1,0
SuppliersTableAdapter:Update,3,1,1
SuppliersTableAdapter:Update,3,1,1
SuppliersTableAdapter:Update,5,1,1
SuppliersTableAdapter:Update,3,1,1
SuppliersTableAdapter:Delete,95,12,11
SuppliersTableAdapter:Insert,81,13,11
SuppliersTableAdapter:Update,161,23,22
