Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Reciprocal,Cyclomatic complexity of the method is 8
Complex Method,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Core,Cyclomatic complexity of the method is 13
Long Parameter List,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MultiplyArraySmall,The method has 6 parameters. Parameters: p' q' m' x' n' z
Long Parameter List,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MultiplyArray32,The method has 5 parameters. Parameters: p' x' y' t' z
Long Parameter List,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,DivMod,The method has 5 parameters. Parameters: q' r' n' d' t
Long Parameter List,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MontyAdd,The method has 7 parameters. Parameters: t1' t2' t3' t4' ax' az' dx
Long Parameter List,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MontyDouble,The method has 6 parameters. Parameters: t1' t2' t3' t4' bx' bz
Long Parameter List,Elliptic,Long10,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Long10,The method has 10 parameters. Parameters: n0' n1' n2' n3' n4' n5' n6' n7' n8' n9
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKeyInline,The length of the statement  "            if (key.Length != 32) throw new ArgumentException(String.Format("key must be 32 bytes long (but was {0} bytes long)"' key.Length)); " is 131.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The length of the statement  "            if (rawKey.Length != 32) throw new ArgumentException(String.Format("rawKey must be 32 bytes long (but was {0} bytes long)"' rawKey.Length)' "rawKey"); " is 150.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The length of the statement  "            if (publicKey.Length != 32) throw new ArgumentException(String.Format("publicKey must be 32 bytes long (but was {0} bytes long)"' publicKey.Length)' "publicKey"); " is 162.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The length of the statement  "            if (signingKey.Length != 32) throw new ArgumentException(String.Format("signingKey must be 32 bytes long (but was {0} bytes long)"' signingKey.Length)' "signingKey"); " is 166.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The length of the statement  "            if (privateKey.Length != 32) throw new ArgumentException(String.Format("privateKey must be 32 bytes long (but was {0} bytes long)"' privateKey.Length)' "privateKey"); " is 166.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Core,The length of the statement  "            if (publicKey.Length != 32) throw new ArgumentException(String.Format("publicKey must be 32 bytes long (but was {0} bytes long)"' publicKey.Length)' "publicKey"); " is 162.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Core,The length of the statement  "            if (signingKey != null && signingKey.Length != 32) throw new ArgumentException(String.Format("signingKey must be null or 32 bytes long (but was {0} bytes long)"' signingKey.Length)' "signingKey"); " is 196.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Core,The length of the statement  "            if (privateKey.Length != 32) throw new ArgumentException(String.Format("privateKey must be 32 bytes long (but was {0} bytes long)"' privateKey.Length)' "privateKey"); " is 166.
Long Statement,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Core,The length of the statement  "            if (peerPublicKey != null && peerPublicKey.Length != 32) throw new ArgumentException(String.Format("peerPublicKey must be null or 32 bytes long (but was {0} bytes long)"' peerPublicKey.Length)' "peerPublicKey"); " is 211.
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKeyInline,The following statement contains a magic number: if (key.Length != 32) throw new ArgumentException(String.Format("key must be 32 bytes long (but was {0} bytes long)"' key.Length));
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKeyInline,The following statement contains a magic number: key[31] &= 0x7F;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKeyInline,The following statement contains a magic number: key[31] |= 0x40;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The following statement contains a magic number: if (rawKey.Length != 32) throw new ArgumentException(String.Format("rawKey must be 32 bytes long (but was {0} bytes long)"' rawKey.Length)' "rawKey");
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The following statement contains a magic number: var res = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The following statement contains a magic number: Array.Copy(rawKey' res' 32);
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The following statement contains a magic number: res[31] &= 0x7F;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,ClampPrivateKey,The following statement contains a magic number: res[31] |= 0x40;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,CreateRandomPrivateKey,The following statement contains a magic number: var privateKey = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The following statement contains a magic number: if (publicKey.Length != 32) throw new ArgumentException(String.Format("publicKey must be 32 bytes long (but was {0} bytes long)"' publicKey.Length)' "publicKey");
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The following statement contains a magic number: if (signingKey.Length != 32) throw new ArgumentException(String.Format("signingKey must be 32 bytes long (but was {0} bytes long)"' signingKey.Length)' "signingKey");
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,KeyGenInline,The following statement contains a magic number: if (privateKey.Length != 32) throw new ArgumentException(String.Format("privateKey must be 32 bytes long (but was {0} bytes long)"' privateKey.Length)' "privateKey");
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,GetPublicKey,The following statement contains a magic number: var publicKey = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,GetSigningKey,The following statement contains a magic number: var signingKey = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,GetSigningKey,The following statement contains a magic number: var publicKey = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,GetSharedSecret,The following statement contains a magic number: var sharedSecret = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Copy32,The following statement contains a magic number: Array.Copy(source' 0' destination' 0' 32);
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MultiplyArraySmall,The following statement contains a magic number: for (int i = 0; i < n; ++i)              {                  v += (q[i + m] & 0xFF) + z * (x[i] & 0xFF);                  p[i + m] = (byte)v;                  v >>= 8;              }
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MultiplyArray32,The following statement contains a magic number: const int n = 31;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,MultiplyArray32,The following statement contains a magic number: for (; i < t; i++)              {                  int zy = z * (y[i] & 0xFF);                  w += MultiplyArraySmall(p' p' i' x' n' zy) +                       (p[i + n] & 0xFF) + zy * (x[n] & 0xFF);                  p[i + n] = (byte)w;                  w >>= 8;              }
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,DivMod,The following statement contains a magic number: int dt = ((d[t - 1] & 0xFF) << 8);
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,DivMod,The following statement contains a magic number: if (t > 1)              {                  dt |= (d[t - 2] & 0xFF);              }
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,DivMod,The following statement contains a magic number: while (n-- >= t)              {                  int z = (rn << 16) | ((r[n] & 0xFF) << 8);                  if (n > 0)                  {                      z |= (r[n - 1] & 0xFF);                  }                  z /= dt;                  rn += MultiplyArraySmall(r' r' n - t + 1' d' t' -z);                  q[n - t + 1] = (byte)((z + rn) & 0xFF); /* rn is 0 or -1 (underflow) */                  MultiplyArraySmall(r' r' n - t + 1' d' t' -rn);                  rn = (r[n] & 0xFF);                  r[n] = 0;              }
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,DivMod,The following statement contains a magic number: while (n-- >= t)              {                  int z = (rn << 16) | ((r[n] & 0xFF) << 8);                  if (n > 0)                  {                      z |= (r[n - 1] & 0xFF);                  }                  z /= dt;                  rn += MultiplyArraySmall(r' r' n - t + 1' d' t' -z);                  q[n - t + 1] = (byte)((z + rn) & 0xFF); /* rn is 0 or -1 (underflow) */                  MultiplyArraySmall(r' r' n - t + 1' d' t' -rn);                  rn = (r[n] & 0xFF);                  r[n] = 0;              }
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Egcd32,The following statement contains a magic number: int bn = 32;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Egcd32,The following statement contains a magic number: for (i = 0; i < 32; i++)                  x[i] = y[i] = 0;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Egcd32,The following statement contains a magic number: int an = GetNumSize(a' 32);
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Egcd32,The following statement contains a magic number: var temp = new byte[32];
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N0 = ((m[0] & 0xFF)) | ((m[1] & 0xFF)) << 8 |                     (m[2] & 0xFF) << 16 | ((m[3] & 0xFF) & 3) << 24;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
Magic Number,Elliptic,Curve25519,C:\repos\hanswolff_curve25519\Curve25519\Curve25519.cs,Unpack,The following statement contains a magic number: x.N1 = ((m[3] & 0xFF) & ~3) >> 2 | (m[4] & 0xFF) << 6 |                     (m[5] & 0xFF) << 14 | ((m[6] & 0xFF) & 7) << 22;
