Method,LOC,CC,PC
rptPurchaseInvoiceForm:rptPurchaseInvoiceForm,2,1,0
CachedrptPurchaseInvoiceForm:CachedrptPurchaseInvoiceForm,2,1,0
CachedrptPurchaseInvoiceForm:CreateReport,5,1,0
CachedrptPurchaseInvoiceForm:GetCustomizedCacheKey,15,1,1
rptPurchasePaymentForm:rptPurchasePaymentForm,2,1,0
CachedrptPurchasePaymentForm:CachedrptPurchasePaymentForm,2,1,0
CachedrptPurchasePaymentForm:CreateReport,5,1,0
CachedrptPurchasePaymentForm:GetCustomizedCacheKey,15,1,1
rptSalesPaymentForm:rptSalesPaymentForm,2,1,0
CachedrptSalesPaymentForm:CachedrptSalesPaymentForm,2,1,0
CachedrptSalesPaymentForm:CreateReport,5,1,0
CachedrptSalesPaymentForm:GetCustomizedCacheKey,15,1,1
rptSalesInvoiceForm:rptSalesInvoiceForm,2,1,0
CachedrptSalesInvoiceForm:CachedrptSalesInvoiceForm,2,1,0
CachedrptSalesInvoiceForm:CreateReport,5,1,0
CachedrptSalesInvoiceForm:GetCustomizedCacheKey,15,1,1
rptInventoryAdjustmentForm:rptInventoryAdjustmentForm,2,1,0
CachedrptInventoryAdjustmentForm:CachedrptInventoryAdjustmentForm,2,1,0
CachedrptInventoryAdjustmentForm:CreateReport,5,1,0
CachedrptInventoryAdjustmentForm:GetCustomizedCacheKey,15,1,1
rptSalesQuotationForm:rptSalesQuotationForm,2,1,0
CachedrptSalesQuotationForm:CachedrptSalesQuotationForm,2,1,0
CachedrptSalesQuotationForm:CreateReport,5,1,0
CachedrptSalesQuotationForm:GetCustomizedCacheKey,15,1,1
rptReceivingReportForm:rptReceivingReportForm,2,1,0
CachedrptReceivingReportForm:CachedrptReceivingReportForm,2,1,0
CachedrptReceivingReportForm:CreateReport,5,1,0
CachedrptReceivingReportForm:GetCustomizedCacheKey,15,1,1
rptPurchaseOrderForm:rptPurchaseOrderForm,2,1,0
CachedrptPurchaseOrderForm:CachedrptPurchaseOrderForm,2,1,0
CachedrptPurchaseOrderForm:CreateReport,5,1,0
CachedrptPurchaseOrderForm:GetCustomizedCacheKey,15,1,1
rptDeliveryOrderForm:rptDeliveryOrderForm,2,1,0
CachedrptDeliveryOrderForm:CachedrptDeliveryOrderForm,2,1,0
CachedrptDeliveryOrderForm:CreateReport,5,1,0
CachedrptDeliveryOrderForm:GetCustomizedCacheKey,15,1,1
frmReportCriteria2:frmReportCriteria2,6,1,0
