Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
HigLabo.Data,CommandCreatedEventArgs,0,1,1,0,1,8,1,0,0,-1,0,1,,HigLabo.Data.Database
HigLabo.Data,CommandErrorEventArgs,0,5,8,0,4,112,8,1,0,-1,2,3,HigLabo.Data.MethodName' HigLabo.Data.SqlBulkCopyContext,HigLabo.Data.Database' HigLabo.Data.SqlServerDatabase' HigLabo.Data.MySqlDatabase
HigLabo.Data,CommandExecutedEventArgs,0,5,9,0,4,109,7,1,0,-1,2,1,HigLabo.Data.MethodName' HigLabo.Data.SqlBulkCopyContext,HigLabo.Data.Database
HigLabo.Data,CommandExecutingEventArgs,0,5,7,0,5,101,7,1,0,-1,2,3,HigLabo.Data.MethodName' HigLabo.Data.SqlBulkCopyContext,HigLabo.Data.Database' HigLabo.Data.SqlServerDatabase' HigLabo.Data.MySqlDatabase
HigLabo.Data,CommandResult,2,1,2,0,1,26,1,0,0,0,0,0,,
HigLabo.Data,ConnectionCreatedEventArgs,0,1,1,0,1,8,1,0,0,-1,0,1,,HigLabo.Data.Database
HigLabo.Data,Database,0,50,5,0,39,900,90,7,0,-1,7,43,HigLabo.Data.CommandExecutingEventArgs' HigLabo.Data.MethodName' HigLabo.Data.DatabaseException' HigLabo.Data.CommandErrorEventArgs' HigLabo.Data.CommandExecutedEventArgs' HigLabo.Data.ConnectionCreatedEventArgs' HigLabo.Data.CommandCreatedEventArgs,HigLabo.Data.MySqlDatabase' HigLabo.DbSharp.DatabaseContext' HigLabo.DbSharp.DatabaseExtensions' HigLabo.DbSharp.DatabaseFactory' HigLabo.DbSharp.IDatabaseContextExtensions' HigLabo.DbSharp.ITable' HigLabo.DbSharp.ExecuteNonQueryResult' HigLabo.DbSharp.StoredProcedure' HigLabo.DbSharp.StoredProcedureWithResultSet' HigLabo.DbSharp.StoredProcedureWithResultSetsList<T;TResultSetList>' HigLabo.DbSharp.StoredProcedureWithResultSet<T>' HigLabo.DbSharp.Table<T>' HigLabo.DbSharp.CodeGenerator.MySqlTableStoredProcedureFactory' HigLabo.DbSharp.CodeGenerator.TableStoredProcedureFactory' HigLabo.DbSharp.MetaData.DatabaseSchemaReader' HigLabo.DbSharp.MetaData.MySqlDatabaseSchemaReader' HigLabo.DbSharp.MetaData.SqlServerDatabaseSchemaReader' HigLabo.DbSharpSample.MySql.alldatatypetableSelectAll' HigLabo.DbSharpSample.MySql.alldatatypetableSelectByPrimaryKey' HigLabo.DbSharpSample.MySql.identitytableSelectAll' HigLabo.DbSharpSample.MySql.identitytableSelectByPrimaryKey' HigLabo.DbSharpSample.MySql.multipktableSelectAll' HigLabo.DbSharpSample.MySql.multipktableSelectByPrimaryKey' HigLabo.DbSharpSample.MySql.alldatatypetable' HigLabo.DbSharpSample.MySql.identitytable' HigLabo.DbSharpSample.MySql.multipktable' HigLabo.DbSharpSample.SqlServer.Usp_SelectMultiTable' HigLabo.DbSharpSample.SqlServer.AllDataTypeTableSelectAll' HigLabo.DbSharpSample.SqlServer.AllDataTypeTableSelectByPrimaryKey' HigLabo.DbSharpSample.SqlServer.IdentityTableSelectAll' HigLabo.DbSharpSample.SqlServer.IdentityTableSelectByPrimaryKey' HigLabo.DbSharpSample.SqlServer.MultiPkTableSelectAll' HigLabo.DbSharpSample.SqlServer.MultiPkTableSelectByPrimaryKey' HigLabo.DbSharpSample.SqlServer.RowGuidColTableSelectAll' HigLabo.DbSharpSample.SqlServer.RowGuidColTableSelectByPrimaryKey' HigLabo.DbSharpSample.SqlServer.AllDataTypeTable' HigLabo.DbSharpSample.SqlServer.IdentityTable' HigLabo.DbSharpSample.SqlServer.MultiPkTable' HigLabo.DbSharpSample.SqlServer.RowGuidColTable' HigLaboSampleApp.MultiDatabase.Program' HigLaboSampleApp.MySql.Program' HigLabo.DbSharp.GeneratedFilesApplication.Program' HigLabo.DbSharp.Service.ImportStoredProcedureCommand
HigLabo.Data,IConnectionString,0,1,0,0,0,8,1,4,0,-1,0,0,,
HigLabo.Data,MethodName,0,0,0,0,0,39,0,0,0,-1,0,6,,HigLabo.Data.CommandErrorEventArgs' HigLabo.Data.CommandExecutedEventArgs' HigLabo.Data.CommandExecutingEventArgs' HigLabo.Data.Database' HigLabo.Data.SqlServerDatabase' HigLabo.Data.DatabaseException
HigLabo.Data,OdbcDatabase,0,5,0,0,5,53,8,0,1,-1,0,0,,
HigLabo.Data,OleDbDatabase,0,5,0,0,5,54,8,0,1,-1,0,0,,
HigLabo.Data,SqlBulkCopyContext,0,4,4,0,4,50,4,0,0,-1,0,5,,HigLabo.Data.CommandErrorEventArgs' HigLabo.Data.CommandExecutedEventArgs' HigLabo.Data.CommandExecutingEventArgs' HigLabo.Data.SqlServerDatabase' HigLabo.DbSharp.TableExtensions
