Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,BuildingBlocks.SystemInfo.Providers,AppDiagnosticInfoProvider,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\Providers\AppDiagnosticInfoProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,BuildingBlocks.SystemInfo,AppStartInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\AppStartInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ClrVersion' WorkingSet' CommandLine' CurrentDirectory
Unnecessary Abstraction,BuildingBlocks.SystemInfo,CpuInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\CpuInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' NumberOfCores' Description
Unutilized Abstraction,BuildingBlocks.SystemInfo,DriveInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\DriveInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,BuildingBlocks.SystemInfo,HardwareInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\HardwareInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Processor' MemoryInfo' Drives' Monitors
Unnecessary Abstraction,BuildingBlocks.SystemInfo,MemoryInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\MemoryInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TotalPageFileSpace' TotalPhysicalMemory' TotalVirtualMemory' AvailableVirtualMemory
Unnecessary Abstraction,BuildingBlocks.SystemInfo,NetworkInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\NetworkInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ComputerName' IpAddress' MacAddress
Unnecessary Abstraction,BuildingBlocks.SystemInfo,OperationSystemInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\OperationSystemInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Version' UpTime' SystemDirectory' PATHVariable
Unnecessary Abstraction,BuildingBlocks.SystemInfo,ProcessInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\ProcessInfo.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' ExecutionTime' ProcessName' ProcessUser' ProcessPath
Unutilized Abstraction,BuildingBlocks.SystemInfo,ScreenInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\ScreenInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,BuildingBlocks.SystemInfo,ServiceInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\ServiceInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,BuildingBlocks.SystemInfo,ServiceListInfo,C:\repos\ifilipenko_Building-Blocks\src\BuildingBlocks.SystemInfo\ServiceListInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
