Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Aspects,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Aspects' BLToolkit.Aspects.Builders,BLToolkit.Aspects.CacheAspect' BLToolkit.Aspects.CacheAttribute' BLToolkit.Aspects.NoInterceptionAspectBuilder' BLToolkit.Aspects.Builders.AsyncAspectBuilder' BLToolkit.Aspects.Builders.ClearCacheAspectBuilder
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Aspects,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Aspects' BLToolkit.Data' BLToolkit.Data.Linq' BLToolkit.Reflection,BLToolkit.Aspects.CacheAspect' BLToolkit.Aspects.CacheAttribute' BLToolkit.Aspects.NoInterceptionAspectBuilder' BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Aspects,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Aspects' BLToolkit.Data' BLToolkit.Data.Linq' BLToolkit.Reflection' BLToolkit.Common,BLToolkit.Aspects.CacheAspect' BLToolkit.Aspects.CacheAttribute' BLToolkit.Aspects.NoInterceptionAspectBuilder' BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Common.Array<T>' BLToolkit.Common.Convert' BLToolkit.Common.Convert<T'P>
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Aspects.Builders,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Aspects.Builders' BLToolkit.Aspects' BLToolkit.Data' BLToolkit.Mapping' BLToolkit.TypeBuilder.Builders,BLToolkit.Aspects.Builders.AsyncAspectBuilder' BLToolkit.Aspects.Builders.ClearCacheAspectBuilder' BLToolkit.Aspects.CacheAspect' BLToolkit.Aspects.CacheAttribute' BLToolkit.Aspects.NoInterceptionAspectBuilder' BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper' BLToolkit.TypeBuilder.Builders.GeneratedAttributeBuilder' BLToolkit.TypeBuilder.Builders.DuckTypeBuilder' BLToolkit.TypeBuilder.Builders.AbstractClassBuilder' BLToolkit.TypeBuilder.Builders.TypeAccessorBuilder
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Common' BLToolkit.Reflection,BLToolkit.Common.Array<T>' BLToolkit.Common.Convert' BLToolkit.Common.Convert<T'P>' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Common' BLToolkit.Reflection.Emit' BLToolkit.Reflection,BLToolkit.Common.Array<T>' BLToolkit.Common.Convert' BLToolkit.Common.Convert<T'P>' BLToolkit.Reflection.Emit.EmitHelper' BLToolkit.Reflection.Emit.TypeBuilderHelper' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Common' BLToolkit.Reflection' BLToolkit.Reflection.Emit' BLToolkit.Reflection,BLToolkit.Common.Array<T>' BLToolkit.Common.Convert' BLToolkit.Common.Convert<T'P>' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Reflection.Emit.EmitHelper' BLToolkit.Reflection.Emit.TypeBuilderHelper
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Common,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Common' BLToolkit.Reflection.Emit' BLToolkit.Reflection' BLToolkit.Reflection.Emit' BLToolkit.Reflection,BLToolkit.Common.Array<T>' BLToolkit.Common.Convert' BLToolkit.Common.Convert<T'P>' BLToolkit.Reflection.Emit.EmitHelper' BLToolkit.Reflection.Emit.TypeBuilderHelper' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.DataAccess,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.DataAccess' BLToolkit.Mapping,BLToolkit.DataAccess.DataAccessorBase' BLToolkit.DataAccess.DataSetTableAttribute' BLToolkit.DataAccess.DataAccessor<T'TA>' BLToolkit.DataAccess.DataAccessor' BLToolkit.DataAccess.DataAccessorBuilder' BLToolkit.DataAccess.SqlQueryBase' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.DataAccess,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.DataAccess' BLToolkit.Reflection' BLToolkit.Mapping,BLToolkit.DataAccess.DataAccessorBase' BLToolkit.DataAccess.DataSetTableAttribute' BLToolkit.DataAccess.DataAccessor<T'TA>' BLToolkit.DataAccess.DataAccessor' BLToolkit.DataAccess.DataAccessorBuilder' BLToolkit.DataAccess.SqlQueryBase' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper
