Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
App,0,0,0,0,0,6,0,0,0,0,0,0
MainWindow,0,1,0,0,1,10,1,0,0,0,0,0
MainWindowVM,0,1,0,0,1,22,2,0,0,0,3,0
Property,0,2,2,0,1,22,2,0,0,0,0,2
Record,1,1,1,0,1,14,3,0,0,1,1,1
CustomBoundColumn,0,2,1,0,0,20,2,0,0,0,0,1
DataGridColumns,3,10,0,2,4,68,13,0,0,0,1,0
DataGridColumnSettings,4,2,2,2,1,45,3,0,0,0.5,0,1
CanBeNullAttribute,0,0,0,0,0,15,0,0,0,0,0,0
NotNullAttribute,0,0,0,0,0,12,0,0,0,0,0,5
ItemNotNullAttribute,0,0,0,0,0,7,0,0,0,0,0,0
ItemCanBeNullAttribute,0,0,0,0,0,7,0,0,0,0,0,0
StringFormatMethodAttribute,0,1,1,0,1,27,1,0,0,0,0,0
ValueProviderAttribute,0,1,1,0,1,17,1,0,0,0,0,0
InvokerParameterNameAttribute,0,0,0,0,0,15,0,0,0,0,0,0
NotifyPropertyChangedInvocatorAttribute,0,2,1,0,2,51,2,0,0,0,0,0
ContractAnnotationAttribute,0,2,2,0,2,63,2,0,0,0,1,0
LocalizationRequiredAttribute,0,2,1,0,2,24,2,0,0,0,0,0
CannotApplyEqualityOperatorAttribute,0,0,0,0,0,23,0,0,0,0,0,0
BaseTypeRequiredAttribute,0,1,1,0,1,24,1,0,0,0,1,0
UsedImplicitlyAttribute,0,4,2,0,4,30,4,0,0,0,2,0
MeansImplicitUseAttribute,0,4,2,0,4,32,4,0,0,0,2,0
ImplicitUseKindFlags,0,0,0,0,0,16,0,0,0,0,0,2
ImplicitUseTargetFlags,0,0,0,0,0,14,0,0,0,0,0,2
PublicAPIAttribute,0,2,1,0,2,19,2,0,0,0,1,0
InstantHandleAttribute,0,0,0,0,0,9,0,0,0,0,0,0
PureAttribute,0,0,0,0,0,15,0,0,0,0,0,0
PathReferenceAttribute,0,2,1,0,2,19,2,0,0,0,0,0
