Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,SyncthingTray.UI.Dialogs,PendingActivityDialog,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\UI\Dialogs\PendingActivityDialog.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: PendingActivityDialog[90' 116]' BaseForm[66' 92]' SyncthingTray[287' 313]
Duplicate Abstraction,SyncthingTray.External,Configuration,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\External\SyncthingConfig.designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Configuration[111' 138]' Configuration[382' 409]' Configuration[669' 696]' Configuration[1169' 1196]
Duplicate Abstraction,SyncthingTray.External,Configuration,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\External\SyncthingConfig.designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Configuration[186' 225]' Configuration[457' 496]' Configuration[744' 783]' Configuration[1244' 1283]
Duplicate Abstraction,SyncthingTray.External,Configuration,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\External\SyncthingConfig.designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Configuration[255' 282]' Configuration[526' 553]' Configuration[813' 840]' Configuration[1313' 1340]
Duplicate Abstraction,SyncthingTray.External,Configuration,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\External\SyncthingConfig.designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Configuration[1350' 1412]' SyncthingConfigEventArgs[1' 63]
Duplicate Abstraction,SyncthingTray.Properties,Resources,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\Properties\Resources.Designer.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Resources[43' 63]' strings[43' 63]
Unutilized Abstraction,SyncthingTray.UI,BaseForm,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\UI\BaseForm.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,SyncthingTray.UI,BaseForm,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\UI\BaseForm.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: BaseForm[66' 93]' SyncthingTray[287' 314]
Unutilized Abstraction,SyncthingTray.UI,SyncthingTray,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\UI\SyncthingTray.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,SyncthingTray.Utilities,LatestVersionRetrievedEventArgs,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\Utilities\GitHubUtil.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: LatestIntel386' LatestAmd64' LatestVersion
Broken Modularization,SyncthingTray.Properties,Settings,F:\newReposMay17\iss0_SyncthingTray\SyncthingTray\Properties\Settings.Designer.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Default' SyncthingPath' StartOnBoot' MinimizeOnStart' SyncthingReleaseUrl' ShowTrayNotifications' GitHubIssueUrl' ApplicationName' SyncthingConfigFileName' defaultInstance
