Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Lang.Php.Compiler,AppConfigManipulator,4,4,0,0,2,170,12,0,0,0,1,0,Lang.Php.Compiler.DependentAssemblyWrapper,
Lang.Php.Compiler,DependentAssemblyWrapper,0,2,6,0,2,52,10,0,0,-1,0,1,,Lang.Php.Compiler.AppConfigManipulator
Lang.Php.Compiler,AssemblySandbox,4,12,1,0,6,211,22,1,0,0.5,0,4,,Lang.Php.Compiler.Translator.Translator' Lang.Php.Compiler.TranslationInfo' Lang.Php.Compiler.Proxy' Lang.Php.Compiler.Cs2PhpCompiler
Lang.Php.Compiler,Proxy,1,1,0,0,1,21,1,0,1,0,1,0,Lang.Php.Compiler.AssemblySandbox,
Lang.Php.Compiler,Cs2PhpCompiler,6,15,8,0,7,393,52,0,0,0.13,10,0,Lang.Php.Compiler.AssemblySandbox' Lang.Php.Compiler.PathUtil' Lang.Php.Compiler.SeparatorProcessing' Lang.Php.Compiler.PhpEmitStyle' Lang.Php.Compiler.PhpSourceCodeEmiter' Lang.Php.Compiler.AssemblyTranslationInfo' Lang.Php.Compiler.KnownConstInfo' Lang.Php.Compiler.TranslationInfo' Lang.Php.Compiler.Translator.TranslationState' Lang.Php.Compiler.Translator.Translator,
Lang.Php.Compiler,EmitContext,4,0,2,2,0,91,0,0,0,-1,0,0,,
Lang.Php.Compiler,FullClassDeclaration,3,1,3,0,1,25,1,0,0,0,0,1,,Lang.Php.Compiler.TranslationInfo
Lang.Php.Compiler,FullInterfaceDeclaration,3,1,3,0,1,25,1,0,0,0,0,1,,Lang.Php.Compiler.TranslationInfo
Lang.Php.Compiler,LangPhpCompilerExtension,0,4,0,0,4,26,4,0,0,-1,1,0,Lang.Php.Compiler.Source.PhpCodeModuleName,
Lang.Php.Compiler,LangPhpCompilerReflectionExtension,0,3,0,0,3,32,6,0,0,-1,0,0,,
Lang.Php.Compiler,OptimizeOptions,0,0,1,0,0,7,0,0,0,-1,0,5,,Lang.Php.Compiler.Translator.ExpressionSimplifier' Lang.Php.Compiler.Translator.PhpStatementSimplifier' Lang.Php.Compiler.Translator.Translator' Lang.Php.Compiler.Source.PhpBinaryOperatorExpression' Lang.Php.Compiler.Translator.PhpValueTranslator
Lang.Php.Compiler,PathUtil,4,5,0,4,5,83,16,0,0,0,9,6,Lang.Php.Compiler.SeparatorProcessing' Lang.Php.Compiler.MessageLevels' Lang.Php.Compiler.IPhpValue' Lang.Php.Compiler.KnownConstInfo' Lang.Php.Compiler.TranslationInfo' Lang.Php.Compiler.Source.PhpBinaryOperatorExpression' Lang.Php.Compiler.Source.PhpConstValue' Lang.Php.Compiler.Source.PhpDefinedConstExpression' Lang.Php.Compiler.Source.PhpMethodCallExpression,Lang.Php.Compiler.Source.PhpNamespaceStatement' Lang.Php.Compiler.Source.PhpCodeModuleName' Lang.Php.Compiler.PhpNamespace' Lang.Php.Compiler.Translator.Translator' Lang.Php.Compiler.Source.PhpCodeModule' Lang.Php.Compiler.Cs2PhpCompiler
Lang.Php.Compiler,SeparatorProcessing,0,0,0,0,0,6,0,0,0,-1,0,2,,Lang.Php.Compiler.Cs2PhpCompiler' Lang.Php.Compiler.PathUtil
Lang.Php.Compiler,PhpEmitStyle,0,3,6,0,2,51,4,0,0,-1,4,45,Lang.Php.Compiler.PhpNamespace' Lang.Php.Compiler.EmitStyleCompression' Lang.Php.Compiler.ShowBracketsEnum' Lang.Php.Compiler.Source.PhpQualifiedName,Lang.Php.Compiler.Source.PhpClassFieldDefinition' Lang.Php.Compiler.Source.PhpUnaryOperatorExpression' Lang.Php.Compiler.Source.PhpMethodInvokeValue' Lang.Php.Compiler.Source.PhpArrayAccessExpression' Lang.Php.Compiler.Source.PhpAssignExpression' Lang.Php.Compiler.Source.PhpQualifiedName' Lang.Php.Compiler.Source.PhpBinaryOperatorExpression' Lang.Php.Compiler.Source.PhpClassFieldAccessExpression' Lang.Php.Compiler.Source.PhpConditionalExpression' Lang.Php.Compiler.Source.PhpConstValue' Lang.Php.Compiler.Source.PhpMethodDefinition' Lang.Php.Compiler.Source.PhpDefinedConstExpression' Lang.Php.Compiler.IPhpValue' Lang.Php.Compiler.Source.PhpElementAccessExpression' Lang.Php.Compiler.Source.PhpIncrementDecrementExpression' Lang.Php.Compiler.Source.PhpFreeExpression' Lang.Php.Compiler.Cs2PhpCompiler' Lang.Php.Compiler.Source.PhpArrayCreateExpression' Lang.Php.Compiler.IPhpStatement' Lang.Php.Compiler.Source.PhpParenthesizedExpression' Lang.Php.Compiler.Source.PhpValueBase' Lang.Php.Compiler.Source.PhpPropertyAccessExpression' Lang.Php.Compiler.Source.PhpVariableExpression' Lang.Php.Compiler.Source.PhpInstanceFieldAccessExpression' Lang.Php.Compiler.Source.PhpBreakStatement' Lang.Php.Compiler.IEmitable' Lang.Php.Compiler.Source.PhpMethodArgument' Lang.Php.Compiler.Source.PhpContinueStatement' Lang.Php.Compiler.Source.PhpReturnStatement' Lang.Php.Compiler.Source.PhpNamespaceStatement' Lang.Php.Compiler.Source.PhpMethodCallExpression' Lang.Php.Compiler.Source.PhpSwitchStatement' Lang.Php.Compiler.Source.PhpForEachStatement' Lang.Php.Compiler.Source.PhpCodeBlock' Lang.Php.Compiler.Translator.Translator' Lang.Php.Compiler.Source.PhpClassMethodDefinition' Lang.Php.Compiler.Source.PhpExpressionStatement' Lang.Php.Compiler.Source.PhpThisExpression' Lang.Php.Compiler.Source.PhpClassDefinition' Lang.Php.Compiler.Source.PhpIfStatement' Lang.Php.Compiler.Source.PhpLambdaExpression' Lang.Php.Compiler.Source.PhpWhileStatement' Lang.Php.Compiler.Source.PhpCodeModule' Lang.Php.Compiler.Source.PhpStatementBase' Lang.Php.Compiler.Source.PhpForStatement
