Namespace,Type,Method,LOC,CC,PC
CsQuery.PerformanceTests,ExtensionMethods,OrDefault,10,2,1
CsQuery.PerformanceTests,PerfCompare,LoadBoth,24,1,1
CsQuery.PerformanceTests,PerfCompare,Compare,85,9,2
CsQuery.PerformanceTests,PerfCompare,Compare,14,2,3
CsQuery.PerformanceTests,PerfCompare,Test,56,6,3
CsQuery.PerformanceTests,PerfCompare,NewComparison,6,1,0
CsQuery.PerformanceTests,PerfComparison,PerfComparison,3,1,0
CsQuery.PerformanceTests,PerfComparison,HowMuchWorse,4,1,0
CsQuery.PerformanceTests,PerfComparison,ToString,40,5,0
CsQuery.PerformanceTests,PerfComparison,PercentWorse,3,1,2
CsQuery.PerformanceTests,PerfComparison,HowMuchWorse,3,1,2
CsQuery.PerformanceTests,PerfComparison,HowMuchBetter,3,1,2
CsQuery.PerformanceTests,PerfComparison,PctDiff,18,2,3
CsQuery.PerformanceTests,PerfComparison,EnsureStatisticsCalculated,24,6,0
CsQuery.PerformanceTests,PerformanceTest,PerformanceTest,4,1,0
CsQuery.PerformanceTests,PerformanceTest,PerformanceTest,18,2,0
CsQuery.PerformanceTests,PerformanceTest,CleanupTestRun,14,2,0
CsQuery.PerformanceTests,PerformanceTest,Compare,4,1,2
CsQuery.PerformanceTests,PerformanceTest,Compare,5,1,3
CsQuery.PerformanceTests,PerformanceTest,Output,33,4,1
CsQuery.PerformanceTests,PerformanceTest,OutputHeaders,5,1,0
CsQuery.PerformanceTests,PerformanceTest,OutputHeadersCsv,17,2,1
CsQuery.PerformanceTests,PerformanceTest,OutputLine,3,1,1
CsQuery.PerformanceTests,PerformanceTest,OutputLineToFile,3,1,2
CsQuery.PerformanceTests,PerformanceTest,OutputToFile,4,1,2
CsQuery.PerformanceTests,Program,Main,30,4,0
CsQuery.PerformanceTests.Tests,PerformanceShared,PerformanceShared,8,1,0
CsQuery.PerformanceTests.Tests,PerformanceShared,LoadingDom,62,6,0
CsQuery.PerformanceTests.Tests,PerformanceShared,IDSelectors,6,1,0
CsQuery.PerformanceTests.Tests,PerformanceShared,SubSelectors,7,1,0
CsQuery.PerformanceTests.Tests,PerformanceShared,AttributeSelectors,6,1,0
CsQuery.PerformanceTests.Tests,PerformanceShared,NthChild,7,1,0
CsQuery.PerformanceTests.Tests,PerformanceShared,Miscellanous,8,1,0
