Method,LOC,CC,PC
Disposable:Owned,3,1,1
Disposable:NotOwned,3,1,1
Disposable:Disposable,4,1,2
Disposable:Dispose,4,2,0
ArgumentNullOrEmptyException:ArgumentNullOrEmptyException,2,1,1
Mixin:IsNullOrEmpty,3,1,1
Mixin:IsNullOrEmpty,3,1,1
Mixin:Resize,4,1,2
Mixin:Add,9,2,2
TypeExtensions:GetTypeCode,12,1,1
TypeExtensions:Assembly,7,1,1
TypeExtensions:DeclaringMethod,7,1,1
TypeExtensions:GetGenericArguments,8,1,1
TypeExtensions:IsGenericType,7,1,1
TypeExtensions:IsGenericTypeDefinition,7,1,1
TypeExtensions:IsValueType,7,1,1
ArgumentNullOrEmptyException:ArgumentNullOrEmptyException,2,1,1
Mixin:IsNullOrEmpty,3,1,1
Mixin:IsNullOrEmpty,3,1,1
Mixin:Resize,4,1,2
Mixin:Add,9,2,2
Mixin:CheckVersion,9,4,1
Mixin:TryGetUniqueDocument,9,3,2
Mixin:ResolveConstant,14,2,3
Mixin:GetHasCustomAttributes,3,1,2
Mixin:GetCustomAttributes,5,1,3
Mixin:ContainsGenericParameter,7,3,1
Mixin:GenericInstanceFullName,10,3,2
Mixin:GetHasGenericParameters,3,1,2
Mixin:GetGenericParameters,5,1,3
Mixin:GetHasMarshalInfo,3,1,2
Mixin:GetMarshalInfo,5,1,3
Mixin:GetAttributes,3,1,2
Mixin:SetAttributes,5,2,3
Mixin:GetMaskedAttributes,3,1,3
Mixin:SetMaskedAttributes,7,2,4
Mixin:GetAttributes,3,1,2
Mixin:SetAttributes,5,2,3
Mixin:GetMaskedAttributes,3,1,3
Mixin:SetMaskedAttributes,7,2,4
Mixin:HasImplicitThis,3,1,1
Mixin:MethodSignatureFullName,15,5,2
Mixin:CheckModule,4,2,1
Mixin:TryGetAssemblyNameReference,12,3,3
Mixin:Equals,12,6,2
Mixin:Equals,7,3,2
Mixin:Equals,13,6,2
Mixin:GetParameter,12,4,2
Mixin:GetVariable,6,2,2
Mixin:GetSemantics,3,1,2
Mixin:SetSemantics,6,2,3
Mixin:IsVarArg,3,1,1
Mixin:GetSentinelPosition,9,4,1
Mixin:CheckName,4,2,1
Mixin:CheckName,4,2,1
Mixin:CheckFileName,4,2,1
Mixin:CheckFullName,4,2,1
Mixin:CheckStream,4,2,1
Mixin:CheckWriteSeek,4,2,1
Mixin:CheckReadSeek,4,2,1
Mixin:CheckType,4,2,1
Mixin:CheckType,4,2,2
Mixin:CheckField,4,2,1
Mixin:CheckMethod,4,2,1
Mixin:CheckParameters,4,2,1
Mixin:GetTimestamp,3,1,0
Mixin:HasImage,3,1,1
Mixin:GetFileName,6,2,1
Mixin:ParseRuntime,15,3,1
Mixin:RuntimeVersionString,13,2,1
Mixin:IsWindowsMetadata,3,1,1
Mixin:ReadAll,8,2,1
Mixin:Read,2,1,1
Mixin:GetHasSecurityDeclarations,3,1,2
Mixin:GetSecurityDeclarations,5,1,3
Mixin:GetEnumUnderlyingType,9,3,1
Mixin:GetNestedType,11,4,2
Mixin:IsPrimitive,21,2,1
Mixin:TypeFullName,5,1,1
Mixin:IsTypeOf,4,1,3
Mixin:IsTypeSpecification,18,2,1
Mixin:CheckedResolve,6,2,1
Mixin:TryGetCoreLibraryReference,10,3,2
Mixin:IsCoreLibrary,9,4,1
Mixin:KnownValueType,4,2,1
Mixin:IsCoreLibrary,7,1,1
Mixin:GetCodeViewEntry,3,1,1
Mixin:GetDeterministicEntry,3,1,1
Mixin:AddDeterministicEntry,9,2,1
Mixin:GetEmbeddedPortablePdbEntry,3,1,1
Mixin:GetEntry,10,4,2
Mixin:GetPdbFileName,3,1,1
Mixin:GetMdbFileName,3,1,1
Mixin:IsPortablePdb,4,1,1
Mixin:IsPortablePdb,11,2,1
Mixin:ReadCompressedUInt32,18,2,2
Mixin:GetMetadataToken,259,2,2
Mixin:CompressMetadataToken,259,3,2
Mixin:GetSize,80,3,2
Mixin:CreateRSA,12,2,1
Mixin:TryGetKeyContainer,7,1,3
ArrayDimension:ArrayDimension,4,1,2
ArrayDimension:ToString,5,1,0
ArrayType:ArrayType,4,1,1
ArrayType:ArrayType,9,3,2
AssemblyDefinition:AssemblyDefinition,2,1,0
AssemblyDefinition:Dispose,9,3,0
AssemblyDefinition:CreateAssembly,3,1,3
AssemblyDefinition:CreateAssembly,12,4,3
AssemblyDefinition:ReadAssembly,3,1,1
AssemblyDefinition:ReadAssembly,3,1,2
AssemblyDefinition:ReadAssembly,3,1,1
AssemblyDefinition:ReadAssembly,3,1,2
AssemblyDefinition:ReadAssembly,6,2,1
AssemblyDefinition:Write,3,1,1
AssemblyDefinition:Write,3,1,2
AssemblyDefinition:Write,3,1,0
AssemblyDefinition:Write,3,1,1
AssemblyDefinition:Write,3,1,1
AssemblyDefinition:Write,3,1,2
AssemblyDefinition:ToString,3,1,0
AssemblyLinkedResource:AssemblyLinkedResource,2,1,2
AssemblyLinkedResource:AssemblyLinkedResource,3,1,3
AssemblyNameDefinition:AssemblyNameDefinition,3,1,0
AssemblyNameDefinition:AssemblyNameDefinition,3,1,2
AssemblyNameReference:HashPublicKey,14,2,0
AssemblyNameReference:Parse,35,7,1
AssemblyNameReference:AssemblyNameReference,4,1,0
AssemblyNameReference:AssemblyNameReference,7,1,2
AssemblyNameReference:ToString,3,1,0
ModuleReader:ModuleReader,4,1,2
ModuleReader:ReadModule,0,1,0
ModuleReader:ReadSymbols,0,1,1
ModuleReader:ReadModuleManifest,4,1,1
ModuleReader:ReadAssembly,11,2,1
ModuleReader:CreateModule,21,6,2
ModuleReader:ReadSymbols,15,5,2
ModuleReader:GetMetadataKind,13,3,2
ModuleReader:CreateModuleReader,10,2,2
ImmediateModuleReader:ImmediateModuleReader,2,1,1
ImmediateModuleReader:ReadModule,6,1,0
ImmediateModuleReader:ReadModule,19,7,2
ImmediateModuleReader:ReadTypes,4,2,1
ImmediateModuleReader:ReadType,19,8,1
ImmediateModuleReader:ReadInterfaces,5,2,1
ImmediateModuleReader:ReadGenericParameters,11,4,1
ImmediateModuleReader:ReadSecurityDeclarations,11,4,1
ImmediateModuleReader:ReadCustomAttributes,11,4,1
ImmediateModuleReader:ReadFields,15,6,1
ImmediateModuleReader:ReadMethods,21,7,1
ImmediateModuleReader:ReadParameters,11,4,1
ImmediateModuleReader:ReadProperties,10,3,1
