Method,LOC,CC,PC
HgLogRunner:Run,10,1,1
HgLogRunner:ResultFromMercurial,17,2,2
SemVerHgHarvester:SemVerHgHarvester,2,1,0
SemVerHgHarvester:SemVerHgHarvester,3,1,1
SemVerHgHarvester:Execute,20,2,0
SemVerHgHarvester:SetPropertiesFromHgDescribe,22,2,0
GitDescribeRunner:Run,18,2,1
SemVerGitHarvester:SemVerGitHarvester,2,1,0
SemVerGitHarvester:SemVerGitHarvester,3,1,1
SemVerGitHarvester:Execute,27,2,0
SemVerGitHarvester:SetPropertiesFromGitDescribe,56,2,1
SemVerGitHarvester:Exec,17,1,3
SemVerGitHarvester:FindGitExe,22,4,0
SemVerGitHarvester:StringIsNullOrWhitespace,12,3,1
SemVerGitHarvester:GetProgramFilesFolders,12,2,0
