Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
NCalc.Domain,SerializationVisitor,1,9,1,0,8,161,16,0,1,0.56,10,1,NCalc.Domain.LogicalExpression' NCalc.Domain.TernaryExpression' NCalc.Domain.BinaryExpression' NCalc.Domain.BinaryExpressionType' NCalc.Domain.UnaryExpression' NCalc.Domain.UnaryExpressionType' NCalc.Domain.ValueExpression' NCalc.Domain.ValueType' NCalc.Domain.Identifier' NCalc.Domain.Function,NCalc.Domain.LogicalExpression
NCalc.Domain,TernaryExpression,0,2,3,0,2,16,2,0,1,-1,2,3,NCalc.Domain.LogicalExpression' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.EvaluationVisitor
NCalc.Domain,Identifier,0,2,1,0,2,13,2,0,1,-1,1,4,NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.Function' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.EvaluationVisitor
NCalc.Domain,BinaryExpression,0,2,3,0,2,16,2,0,1,-1,3,5,NCalc.Domain.BinaryExpressionType' NCalc.Domain.LogicalExpression' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.LogicalExpression' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,BinaryExpressionType,0,0,0,0,0,22,0,0,0,-1,0,5,,NCalc.Domain.SerializationVisitor' NCalc.Domain.BinaryExpression' NCalc.Domain.LogicalExpression' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,Function,0,2,2,0,2,14,2,0,1,-1,3,4,NCalc.Domain.Identifier' NCalc.Domain.LogicalExpression' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,LogicalExpressionVisitor,0,7,0,0,7,10,7,2,0,-1,7,7,NCalc.Domain.LogicalExpression' NCalc.Domain.TernaryExpression' NCalc.Domain.BinaryExpression' NCalc.Domain.UnaryExpression' NCalc.Domain.ValueExpression' NCalc.Domain.Function' NCalc.Domain.Identifier,NCalc.Domain.TernaryExpression' NCalc.Domain.Identifier' NCalc.Domain.BinaryExpression' NCalc.Domain.Function' NCalc.Domain.LogicalExpression' NCalc.Domain.UnaryExpression' NCalc.Domain.ValueExpression
NCalc.Domain,LogicalExpression,1,39,0,0,38,187,41,6,0,0.97,4,8,NCalc.Domain.BinaryExpressionType' NCalc.Domain.BinaryExpression' NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.TernaryExpression' NCalc.Domain.BinaryExpression' NCalc.Domain.Function' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.UnaryExpression' NCalc.Domain.EvaluationVisitor' NCalc.Expression
NCalc.Domain,UnaryExpression,0,2,2,0,2,14,2,0,1,-1,3,4,NCalc.Domain.UnaryExpressionType' NCalc.Domain.LogicalExpression' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,UnaryExpressionType,0,0,0,0,0,6,0,0,0,-1,0,4,,NCalc.Domain.SerializationVisitor' NCalc.Domain.UnaryExpression' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,ValueExpression,0,8,2,0,8,72,9,0,1,-1,2,4,NCalc.Domain.ValueType' NCalc.Domain.LogicalExpressionVisitor,NCalc.Domain.SerializationVisitor' NCalc.Domain.LogicalExpressionVisitor' NCalc.Domain.EvaluationVisitor' NCalc.Tests.Fixtures
NCalc.Domain,ValueType,0,0,0,0,0,8,0,0,0,-1,0,2,,NCalc.Domain.SerializationVisitor' NCalc.Domain.ValueExpression
NCalc.Domain,EvaluationVisitor,2,15,3,0,9,473,31,0,1,0.4,14,1,NCalc.EvaluateOptions' NCalc.Domain.LogicalExpression' NCalc.Domain.TernaryExpression' NCalc.Domain.BinaryExpression' NCalc.Domain.BinaryExpressionType' NCalc.Numbers' NCalc.Domain.UnaryExpression' NCalc.Domain.UnaryExpressionType' NCalc.Domain.ValueExpression' NCalc.FunctionArgs' NCalc.Domain.Function' NCalc.Expression' NCalc.Domain.Identifier' NCalc.ParameterArgs,NCalc.Expression
NCalc,EvaluationException,0,2,0,0,2,11,2,0,0,-1,0,1,,NCalc.Tests.Fixtures
