Method,LOC,CC,PC
CalcEditor:TryConvertTypes,29,7,2
CalcEditor:TryConvertNodeType,8,2,2
ExcelEditor:XmlContractorsConvert,3,1,1
ExcelEditor:ReportEditing,52,8,2
ExcelEditor:WriteString,17,5,2
ExcelEditor:WriteTable,59,13,2
ExcelEditor:add_xelement_merge,39,11,3
ExcelEditor:CreateSheetsByElements,89,21,3
ExcelEditor:CreateElementsByTemplate,23,4,2
ExcelEditor:ss_element,17,5,2
ExcelEditor:ss_index,17,5,2
ExcelEditor:ca_increment,25,2,3
ExcelEditor:recalculate_merge_cells,39,7,4
ExcelEditor:recalculate_xelement_address,24,3,3
ExcelEditor:prepair_element,8,4,1
ExcelEditor:parse_br_tags,20,4,1
ExcelEditor:SpecialTagEditing,12,2,1
MSEditor:prepair_element,37,8,1
MSEditor:parse_style_tags,98,18,2
OOStyleSheet:get_style_name,5,1,0
OOStyleSheet:OOStyleSheet,17,5,1
OOStyleSheet:CopyStyle,20,5,2
OOStyleSheet:CreateStyle,10,1,1
OOStyleSheet:ApplyStyle,15,5,2
OOEditor:prepair_paragraph,24,4,2
OOEditor:parse_element_tag,85,12,3
OOEditor:parse_style_tags,7,2,2
OOEditor:parse_br_tags,44,5,1
OOEditor:parse_sbr_tags,29,5,1
OOEditor:XmlContractorsConvert,3,1,1
OOEditor:ReportEditing,4,1,2
OOEditor:WriteTable,58,16,2
OOEditor:SpecialTagEditing,35,5,1
ReportEditor:SetAdditionalOptions,7,2,1
ReportEditor:GetStyleTags,21,4,1
ReportEditor:ContractorsConvert,24,6,2
ReportEditor:ReportEditingContentFile,27,5,2
ReportEditor:WriteString,8,3,2
ReportEditor:WritePatternText,37,8,3
ReportEditor:TryConvertTypes,2,1,2
ReportEditor:WritePatternAttributes,9,5,3
ReportEditor:WriteTable,44,13,2
ReportEditor:XmlContractorsConvert,3,1,1
ReportEditor:ReportEditing,2,1,2
ReportEditor:SpecialTagEditing,1,1,1
ReportHelper:ReportHelper,1,1,0
ReportHelper:GetTablePatternRegex,8,3,1
ReportHelper:GetStyleBySpecTag,10,2,1
ReportHelper:FindElementsByTag,12,4,2
ReportHelper:GetTextNodePatternPartInfo,84,13,3
ReportHelper:GetNodePatternPartsInfo,18,2,3
ReportHelper:MatchesPattern,10,4,2
ReportHelper:ReplaceNodePatternPart,19,4,2
ReportHelper:RebindNodePatternPartsInfo,6,4,3
ReportHelper:ParseToBool,3,1,1
PatternNodeInfoCollection:PatternNodeInfoCollection,3,1,0
PatternNodeInfo:PatternNodeInfo,5,1,1
IPlug:ReportSetTemplateFile,0,1,1
IPlug:ReportSetStringValue,0,1,2
IPlug:ReportSetStringValues,0,1,1
IPlug:ReportSetTableValue,0,1,2
IPlug:ReportGenerate,0,1,1
IPlug:ReportSetAdditionalOption,0,1,2
ReportPlug:ReportPlug,15,6,0
ReportPlug:ReportSetTemplateFile,13,2,1
ReportPlug:ReportSetStringValue,12,4,2
ReportPlug:ReportSetStringValues,17,6,1
ReportPlug:ReportSetTableValue,5,2,2
ReportPlug:ReportSetAdditionalOption,9,2,2
ReportPlug:ReportGenerate,23,2,1
ReportPlug:ReportEditing,22,2,2
ReportException:ReportException,1,1,0
ReportException:ReportException,1,1,1
ReportException:ReportException,1,1,2
ReportException:ReportException,1,1,2
SharedXLSXStrings:SharedXLSXStrings,8,2,1
SharedXLSXStrings:Add,18,4,1
SharedXLSXStrings:Save,8,2,1
StringReportValue:StringReportValue,4,1,2
TableReportValue:TableReportValue,4,1,2
TagInfo:TagInfo,4,1,2
WordEditor:XmlContractorsConvert,3,1,1
WordEditor:ReportEditing,7,2,2
WordEditor:parse_br_tags,58,7,3
WordEditor:parse_sbr_tags,3,1,1
WordEditor:SpecialTagEditing,28,5,1
