Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
CrossroadsIO,ContextOption,0,0,0,0,0,5,0,0,0,-1,0,1,,CrossroadsIO.Context
CrossroadsIO,DuplexSocket,0,3,0,0,2,15,3,0,1,-1,2,1,CrossroadsIO.Interop.SocketProxy' CrossroadsIO.SocketType,CrossroadsIO.Context
CrossroadsIO,ErrorCode,51,1,0,51,0,65,1,0,0,0,0,3,,CrossroadsIO.XsException' CrossroadsIO.Interop.ContextProxy' CrossroadsIO.Interop.SocketProxy
CrossroadsIO,Frame,1,7,5,0,5,143,14,0,0,1,0,50,,CrossroadsIO.SendReceiveExtensions' CrossroadsIO.Message' CrossroadsIO.Specifications.Messages' CrossroadsIO.Specifications.SingleMessageReceived' CrossroadsIO.Specifications.SingleMessageNotReceived' CrossroadsIO.Specifications.SingleMessageReceivedWithExternalBuffer' CrossroadsIO.Specifications.PubSubReceiveFirst' CrossroadsIO.Specifications.PubSubReceiveAll' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_full_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_receiver_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_device_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_receive_a_single_message_with_insufficient_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_receive_a_single_message_with_insufficient_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_in_blocking_mode' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_insufficient_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_external_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_undersized_external_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_a_preallocated_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_a_specific_prefix' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_all_prefixes' CrossroadsIO.Specifications.Messages' CrossroadsIO.Specifications.SingleMessageReceived' CrossroadsIO.Specifications.SingleMessageNotReceived' CrossroadsIO.Specifications.SingleMessageReceivedWithExternalBuffer' CrossroadsIO.Specifications.PubSubReceiveFirst' CrossroadsIO.Specifications.PubSubReceiveAll' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_full_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_receiver_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_device_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_receive_a_single_message_with_insufficient_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_receive_a_single_message_with_insufficient_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_in_blocking_mode' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_insufficient_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_external_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_undersized_external_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_a_preallocated_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_a_specific_prefix' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_all_prefixes' CrossroadsIO.SmokeTests.HelloWorld' CrossroadsIO.SmokeTests.ReceiveBenchmark
CrossroadsIO,Poller,3,15,1,0,8,177,27,0,0,0.2,5,1,CrossroadsIO.Interop.PollerProxy' CrossroadsIO.Interop.PollItem' CrossroadsIO.Socket' CrossroadsIO.Interop.ErrorProxy' CrossroadsIO.Interop.PollEvents,CrossroadsIO.Devices.Device
CrossroadsIO,ProtocolType,0,0,0,0,0,11,0,0,0,-1,0,0,,
CrossroadsIO,ReceiveSocket,0,4,0,0,3,19,4,0,1,-1,3,1,CrossroadsIO.Interop.SocketProxy' CrossroadsIO.SocketType' CrossroadsIO.SocketFlags,CrossroadsIO.Context
CrossroadsIO,ReceiveStatus,0,0,0,0,0,19,0,0,0,-1,0,3,,CrossroadsIO.SendReceiveExtensions' CrossroadsIO.Socket' CrossroadsIO.SmokeTests.ReceiveBenchmark
CrossroadsIO,SendReceiveExtensions,0,27,0,0,21,462,38,0,0,-1,6,0,CrossroadsIO.Socket' CrossroadsIO.SocketFlags' CrossroadsIO.SendStatus' CrossroadsIO.Frame' CrossroadsIO.Message' CrossroadsIO.ReceiveStatus,
CrossroadsIO,SendSocket,0,5,0,0,2,23,5,0,1,-1,3,1,CrossroadsIO.Interop.SocketProxy' CrossroadsIO.SocketType' CrossroadsIO.SocketFlags,CrossroadsIO.Context
CrossroadsIO,SendStatus,0,0,0,0,0,23,0,0,0,-1,0,46,,CrossroadsIO.SendReceiveExtensions' CrossroadsIO.Socket' CrossroadsIO.Specifications.SingleMessageReceived' CrossroadsIO.Specifications.CompleteMessageReceived' CrossroadsIO.Specifications.PubSubReceiveFirst' CrossroadsIO.Specifications.PubSubReceiveAll' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_full_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_receiver_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_device_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_multipart_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_multipart_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_multipart_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_multipart_message_with_an_ample_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_multipart_messages' CrossroadsIO.Specifications.SocketSpecs.when_transferring_in_blocking_mode' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_a_preallocated_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_a_specific_prefix' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_all_prefixes' CrossroadsIO.Specifications.SingleMessageReceived' CrossroadsIO.Specifications.CompleteMessageReceived' CrossroadsIO.Specifications.PubSubReceiveFirst' CrossroadsIO.Specifications.PubSubReceiveAll' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_full_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_receiver_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_forwarder_device_with_a_device_subscription' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_multipart_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_queue_device_to_send_a_multipart_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_single_message_with_an_ample_timeout' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_multipart_message_in_blocking_mode' CrossroadsIO.Specifications.DeviceSpecs.when_using_streamer_device_to_send_a_multipart_message_with_an_ample_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_multipart_messages' CrossroadsIO.Specifications.SocketSpecs.when_transferring_in_blocking_mode' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_an_ample_receive_timeout' CrossroadsIO.Specifications.SocketSpecs.when_transferring_with_a_preallocated_receive_buffer' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_a_specific_prefix' CrossroadsIO.Specifications.SocketSpecs.when_subscribing_to_all_prefixes' CrossroadsIO.SmokeTests.LatencyBenchmark' CrossroadsIO.SmokeTests.ReceiveBenchmark
CrossroadsIO,SocketEventArgs,0,1,3,0,0,25,2,0,0,-1,2,4,CrossroadsIO.Interop.PollEvents' CrossroadsIO.Socket,CrossroadsIO.Devices.Device' CrossroadsIO.Devices.ForwarderDevice' CrossroadsIO.Devices.QueueDevice' CrossroadsIO.Devices.StreamerDevice
CrossroadsIO,SocketFlags,0,0,0,0,0,16,0,0,0,-1,0,7,,CrossroadsIO.ReceiveSocket' CrossroadsIO.SendReceiveExtensions' CrossroadsIO.SendSocket' CrossroadsIO.SubscribeExtSocket' CrossroadsIO.SubscribeSocket' CrossroadsIO.Socket' CrossroadsIO.Interop.SocketProxy
