Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,IO.Website.DAL.Entities,BaseEntity,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\BaseEntity.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,BrochureDownload,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\BrochureDownload.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,ContactRequest,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\ContactRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,DemoRequest,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\DemoRequest.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,HomeSlide,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\HomeSlide.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,ProductSlide,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\ProductSlide.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Entities,WorkWithUs,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\WorkWithUs.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,IO.Website.DAL.Support,ContentTypes,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Support\ContentTypes.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' DEMO_REQUEST_ID' CONTACT_REQUEST_ID' WORK_WITH_US_REQUEST_ID
Unutilized Abstraction,IO.Website.DAL.Support,DictionaryExtensions,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Support\DictionaryExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Support,FieldHelper,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Support\FieldHelper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IO.Website.DAL.Support,SPListItemExtensions,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Support\SPListItemExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unfactored Hierarchy,IO.Website.DAL.Entities,ContactRequest,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\ContactRequest.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are: ContactRequest[24' 101]' DemoRequest[22' 99]
Unfactored Hierarchy,IO.Website.DAL.Entities,ContactRequest,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\ContactRequest.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are: ContactRequest[192' 215]' DemoRequest[160' 183]
Unfactored Hierarchy,IO.Website.DAL.Entities,HomeSlide,C:\repos\jjaramillo_IO.Website\IO.Website.DAL\Entities\HomeSlide.cs,The tool detected the smell because a set of code clones has been found where at least one pair of classes belong to the same inheritance hierarchy. List of classes with start and end line numbers where clones has been found are: HomeSlide[16' 38]' ProductSlide[15' 37]
