Implementation smell,Namespace,Class,File,Method,Description
Complex Method,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,Cyclomatic complexity of the method is 23
Complex Method,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,OnTestMethodCompleted,Cyclomatic complexity of the method is 12
Complex Method,SilverlightConsoleRunner,Program,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\Program.cs,Main,Cyclomatic complexity of the method is 14
Long Statement,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,The length of the statement  "		this.Log (string.Format (CultureInfo.InvariantCulture' "Passed: {0} Failed: {1} Pass Rate: {2}%"' this.PassedCount' this.FailedCount' Math.Round (100.0 * this.PassedCount / (this.PassedCount + this.FailedCount + this.OtherCount)' 2))); " is 235.
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,The following statement contains a magic number: using (var httpServer = new MicroHttpServer ()) {  	httpServer.AddHandler ("/Completed"' OnTestCompleted);  	httpServer.AddHandler ("/TestMethodCompleted"' OnTestMethodCompleted);  	switch (SilverlightVersion) {  	case "SL2":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight2.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost2.html");  		break;  	case "SL3":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight3.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost3.html");  		break;  	case "SL4":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight4.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost4.html");  		break;  	case "WP7":  	case "WP71":  		break;  	default:  		throw new NotSupportedException ("Unsupported silverlight version: '" + SilverlightVersion + "'");  	}  	httpServer.AddFileHandler ("/xapfile.xap"' "application/x-silverlight-app"' this.XapFile);  	httpServer.Start ();  	if (this.SilverlightVersion.StartsWith ("SL")) {  		using (var form = new RunnerForm ()) {  			form.Url = "http://localhost:" + httpServer.ListenPort + "/XapHost.html";  			this.currentForm = form;  			this.ResetTimer ();  			form.ShowDialog ();  			this.currentForm = null;  		}  	} else if (this.SilverlightVersion.StartsWith ("WP")) {  		XapRunner.RunXap (this.XapFile' this.IconFile' this.AppGuid' this.DevicePlatformName' this.DeviceName);  		this.ResetTimer ();  	} else {  		throw new NotImplementedException ();  	}  	this.finished.WaitOne ();  	this.Log (string.Format (CultureInfo.InvariantCulture' "Passed: {0} Failed: {1} Pass Rate: {2}%"' this.PassedCount' this.FailedCount' Math.Round (100.0 * this.PassedCount / (this.PassedCount + this.FailedCount + this.OtherCount)' 2)));  }  
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,The following statement contains a magic number: using (var httpServer = new MicroHttpServer ()) {  	httpServer.AddHandler ("/Completed"' OnTestCompleted);  	httpServer.AddHandler ("/TestMethodCompleted"' OnTestMethodCompleted);  	switch (SilverlightVersion) {  	case "SL2":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight2.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost2.html");  		break;  	case "SL3":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight3.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost3.html");  		break;  	case "SL4":  		httpServer.AddResourceHandler ("/Silverlight.js"' "text/plain"' typeof(ConsoleRunner)' "Silverlight4.js");  		httpServer.AddResourceHandler ("/XapHost.html"' "text/html"' typeof(ConsoleRunner)' "XapHost4.html");  		break;  	case "WP7":  	case "WP71":  		break;  	default:  		throw new NotSupportedException ("Unsupported silverlight version: '" + SilverlightVersion + "'");  	}  	httpServer.AddFileHandler ("/xapfile.xap"' "application/x-silverlight-app"' this.XapFile);  	httpServer.Start ();  	if (this.SilverlightVersion.StartsWith ("SL")) {  		using (var form = new RunnerForm ()) {  			form.Url = "http://localhost:" + httpServer.ListenPort + "/XapHost.html";  			this.currentForm = form;  			this.ResetTimer ();  			form.ShowDialog ();  			this.currentForm = null;  		}  	} else if (this.SilverlightVersion.StartsWith ("WP")) {  		XapRunner.RunXap (this.XapFile' this.IconFile' this.AppGuid' this.DevicePlatformName' this.DeviceName);  		this.ResetTimer ();  	} else {  		throw new NotImplementedException ();  	}  	this.finished.WaitOne ();  	this.Log (string.Format (CultureInfo.InvariantCulture' "Passed: {0} Failed: {1} Pass Rate: {2}%"' this.PassedCount' this.FailedCount' Math.Round (100.0 * this.PassedCount / (this.PassedCount + this.FailedCount + this.OtherCount)' 2)));  }  
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,The following statement contains a magic number: this.Log (string.Format (CultureInfo.InvariantCulture' "Passed: {0} Failed: {1} Pass Rate: {2}%"' this.PassedCount' this.FailedCount' Math.Round (100.0 * this.PassedCount / (this.PassedCount + this.FailedCount + this.OtherCount)' 2)));  
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,Run,The following statement contains a magic number: this.Log (string.Format (CultureInfo.InvariantCulture' "Passed: {0} Failed: {1} Pass Rate: {2}%"' this.PassedCount' this.FailedCount' Math.Round (100.0 * this.PassedCount / (this.PassedCount + this.FailedCount + this.OtherCount)' 2)));  
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,ResetTimer,The following statement contains a magic number: this.timer.Change (180000' Timeout.Infinite);  
Magic Number,SilverlightConsoleRunner,ConsoleRunner,F:\newReposMay17\jkowalski_NLog\tools\SilverlightConsoleRunner\ConsoleRunner.cs,OnTestMethodCompleted,The following statement contains a magic number: this.Log (result.PadRight (10));  
