Method,LOC,CC,PC
CapitalizedWordsIdentifierMacroImpl:QuickEvaluate,6,1,1
DomainAndUsernameMacroImpl:QuickEvaluate,10,2,1
IdentifierBuilder:IdentifierBuilder,3,1,1
IdentifierBuilder:ToString,3,1,0
IdentifierBuilder:TransformToValidIdentifier,5,2,0
IdentifierBuilder:PrefixWithUnderscoreIfNotStartingWithACharacter,6,2,0
IdentifierBuilder:ReplaceInvalidCharactersWithUnderscore,9,3,0
IdentifierBuilder:CapitalizeFirstCharacterInEveryWord,12,4,0
QuickParameterlessMacro:QuickEvaluate,0,1,1
QuickParameterlessMacro:EvaluateQuickResult,8,1,1
QuickParameterlessMacro:HandleExpansion,4,1,1
QuickParameterlessMacro:HotspotSessionHotspotUpdated,10,3,2
QuickParameterlessMacro:ShouldHandle,6,3,1
QuickParameterlessMacro:ThisImplementationsMacroDefinition,5,1,0
QuickParameterlessMacro:HotspotValue,3,1,1
SimpleMacroDefinition:GetPlaceholder,3,1,2
ValidIdentifierMacroImpl:QuickEvaluate,5,1,1
