Design smell,Namespace,Class,File,Cause
Imperative Abstraction,ImapClientDemo,FolderTreeView,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\FolderTreeView.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: LoadFolders
Unutilized Abstraction,ImapClientDemo,LoginWindow,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\LoginWindow.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,ImapClientDemo,MainWindow,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\MainWindow.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: LoadContent
Imperative Abstraction,ImapClientDemo,MessageList,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\MessageList.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: OpenFolder
Unnecessary Abstraction,ImapClientDemo.Properties,Settings,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\Properties\Settings.Designer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Default' defaultInstance
Deficient Encapsulation,ImapClientDemo,MessageInfo,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\MessageInfo.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Flags
Deficient Encapsulation,ImapClientDemo,Program,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\Program.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Credentials' MainWindow' Uri
Deficient Encapsulation,ImapClientDemo,Program,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\Program.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: Credentials' MainWindow' Uri
Cyclically-dependent Modularization,ImapClientDemo,FolderTreeView,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\FolderTreeView.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ImapClientDemo.FolderTreeView' ImapClientDemo.MainWindow' ImapClientDemo.Program
Cyclically-dependent Modularization,ImapClientDemo,MainWindow,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\MainWindow.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ImapClientDemo.MainWindow' ImapClientDemo.Program' ImapClientDemo.FolderTreeView
Cyclically-dependent Modularization,ImapClientDemo,Program,C:\repos\jstedfast_MailKit\samples\ImapClientDemo\ImapClientDemo\Program.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ImapClientDemo.Program' ImapClientDemo.FolderTreeView' ImapClientDemo.MainWindow
