Namespace,Type,Method,LOC,CC,PC
DNS.Client,ClientRequest,ClientRequest,1,1,2
DNS.Client,ClientRequest,ClientRequest,1,1,3
DNS.Client,ClientRequest,ClientRequest,1,1,3
DNS.Client,ClientRequest,ClientRequest,4,1,2
DNS.Client,ClientRequest,ToArray,3,1,0
DNS.Client,ClientRequest,ToString,3,1,0
DNS.Client,ClientRequest,Resolve,16,3,1
DNS.Client,ClientResponse,FromArray,4,1,2
DNS.Client,ClientResponse,ClientResponse,5,1,3
DNS.Client,ClientResponse,ClientResponse,5,1,2
DNS.Client,ClientResponse,ToArray,3,1,0
DNS.Client,ClientResponse,ToString,3,1,0
DNS.Client,DnsClient,DnsClient,1,1,1
DNS.Client,DnsClient,DnsClient,1,1,2
DNS.Client,DnsClient,DnsClient,1,1,2
DNS.Client,DnsClient,DnsClient,3,1,1
DNS.Client,DnsClient,FromArray,4,1,1
DNS.Client,DnsClient,Create,3,1,1
DNS.Client,DnsClient,Lookup,15,3,3
DNS.Client,DnsClient,Reverse,3,1,2
DNS.Client,DnsClient,Reverse,8,2,2
DNS.Client,DnsClient,Resolve,3,1,3
DNS.Client,DnsClient,Resolve,8,1,3
DNS.Client,ResponseException,Format,3,1,1
DNS.Client,ResponseException,ResponseException,1,1,0
DNS.Client,ResponseException,ResponseException,1,1,1
DNS.Client,ResponseException,ResponseException,1,1,2
DNS.Client,ResponseException,ResponseException,1,1,1
DNS.Client,ResponseException,ResponseException,3,1,2
DNS.Client,ResponseException,ResponseException,3,1,2
DNS.Client.RequestResolver,IRequestResolver,Resolve,0,1,2
DNS.Client.RequestResolver,NullRequestResolver,Resolve,3,1,2
DNS.Client.RequestResolver,TcpRequestResolver,TcpRequestResolver,3,1,1
DNS.Client.RequestResolver,TcpRequestResolver,Resolve,22,3,2
DNS.Client.RequestResolver,TcpRequestResolver,Read,12,3,3
DNS.Client.RequestResolver,UdpRequestResolver,UdpRequestResolver,5,1,3
DNS.Client.RequestResolver,UdpRequestResolver,UdpRequestResolver,5,1,2
DNS.Client.RequestResolver,UdpRequestResolver,Resolve,17,3,2
DNS.Protocol,CharacterString,GetAllFromArray,3,1,2
DNS.Protocol,CharacterString,GetAllFromArray,8,2,3
DNS.Protocol,CharacterString,FromArray,3,1,2
DNS.Protocol,CharacterString,FromArray,10,2,3
DNS.Protocol,CharacterString,FromString,3,1,1
DNS.Protocol,CharacterString,FromString,12,2,2
DNS.Protocol,CharacterString,CharacterString,4,2,1
DNS.Protocol,CharacterString,CharacterString,1,1,2
DNS.Protocol,CharacterString,CharacterString,1,1,1
DNS.Protocol,CharacterString,ToArray,6,1,0
DNS.Protocol,CharacterString,ToString,3,1,1
DNS.Protocol,CharacterString,ToString,3,1,0
DNS.Protocol,Domain,FromString,3,1,1
DNS.Protocol,Domain,FromArray,3,1,2
DNS.Protocol,Domain,FromArray,29,6,3
DNS.Protocol,Domain,PointerName,3,1,1
DNS.Protocol,Domain,FormatReverseIP,13,3,1
DNS.Protocol,Domain,IsASCIIAlphabet,4,1,1
DNS.Protocol,Domain,CompareTo,7,2,2
DNS.Protocol,Domain,CompareTo,8,3,2
DNS.Protocol,Domain,Domain,3,1,1
