Implementation smell,Namespace,Class,File,Method,Description
Long Method,StarryEyes.Albireo.Collections,AVLTree,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Collections\AVLTree.cs,Remove,The method has 124 lines of code.
Complex Method,StarryEyes.Albireo.Collections,AVLTree,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Collections\AVLTree.cs,AddDistinct,Cyclomatic complexity of the method is 15
Complex Method,StarryEyes.Albireo.Collections,AVLTree,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Collections\AVLTree.cs,Remove,Cyclomatic complexity of the method is 23
Long Parameter List,System.Reactive.Linq,ObservableFx,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableFx.cs,Retry,The method has 5 parameters.
Long Parameter List,System.Reactive.Linq,ObservableFx,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableFx.cs,Retry,The method has 6 parameters.
Long Statement,System.Reactive.Linq,ObservableDebugHelper,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableDebugHelper.cs,Track,The length of the statement  "	System.Diagnostics.Debug.WriteLine ("# initialized subscription: " + typeof(T).FullName + " current subscription: " + ics); " is 123.
Long Statement,System.Reactive.Linq,ObservableDebugHelper,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableDebugHelper.cs,Track,The length of the statement  "		System.Diagnostics.Debug.WriteLine ("* finalized subscription: " + typeof(T).FullName + " current subscription: " + dcs); " is 121.
Long Statement,System.Reactive.Linq,ObservableFx,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableFx.cs,Retry,The length of the statement  "			return Observable.Timer (delaySpan' scheduler).SelectMany (_ => source.Retry (retryCount' exAction' delaySpan' scheduler)); " is 123.
Long Statement,System.Reactive.Linq,ObservableFx,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableFx.cs,Retry,The length of the statement  "		return Observable.Timer (delaySpan' scheduler).SelectMany (_ => source.Retry (retryCount' exAction' delaySpan' scheduler' 0)); " is 126.
Long Statement,System.Reactive.Linq,ObservableFx,F:\newReposMay17\karno_StarryEyes\StarryEyes.Albireo\Fx\ObservableFx.cs,Retry,The length of the statement  "			return Observable.Timer (delaySpan' scheduler).SelectMany (_ => source.Retry (retryCount' exAction' delaySpan' scheduler' nowRetryCount)); " is 138.
