Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,StarryEyes.Casket.Cruds,UserDescriptionEntityCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\UserDescriptionEntityCrud.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IndexPrefix
Unnecessary Abstraction,StarryEyes.Casket.Cruds,UserUrlEntityCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\UserUrlEntityCrud.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IndexPrefix
Unutilized Abstraction,StarryEyes.Casket.Cruds,EntityCrudBase<T>,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\EntityCrudBase.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,StarryEyes.Casket.Cruds.Scaffolding,CrudBase<T>,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\CrudBase.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,StarryEyes.Casket.Cruds.Scaffolding,DbOptionalAttribute,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\DbOptionalAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,StarryEyes.Casket.Cruds.Scaffolding,DbUniqueColumnAttribute,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\DbUniqueColumnAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,StarryEyes.Casket.Cruds.Scaffolding,SentenceGenerator,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\SentenceGenerator.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  SentenceGenerator (C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\SentenceGenerator.cs' [59' 95])' SentenceGenerator (C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\Scaffolding\SentenceGenerator.cs' [231' 267])
Multifaceted Abstraction,StarryEyes.Casket,Database,C:\repos\karno_StarryEyes\StarryEyes.Casket\Database.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.82
Unutilized Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseAccountInfo,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseAccountInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseActivity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseActivity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' StatusId' UserId
Unutilized Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseActivity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseActivity.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseStatusEntity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseEntity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseUserDescriptionEntity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseEntity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseUserUrlEntity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseEntity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseListUser,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseListUser.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,StarryEyes.Casket.DatabaseModels,DatabaseRelation,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseRelation.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,StarryEyes.Casket.Infrastructure,SqliteRegExp,C:\repos\karno_StarryEyes\StarryEyes.Casket\Infrastructure\SqliteRegExp.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Insufficient Modularization,StarryEyes.Casket.Cruds,RelationCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\RelationCrudBase.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
Insufficient Modularization,StarryEyes.Casket.Cruds,RelationCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\RelationCrudBase.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
Broken Modularization,StarryEyes.Casket.DatabaseModels,DatabaseEntity,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseEntity.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Id' ParentId' EntityType' DisplayText' OriginalUrl' UserId' MediaUrl' StartIndex' EndIndex
Broken Modularization,StarryEyes.Casket.DatabaseModels,DatabaseStatus,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseStatus.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Id' BaseId' RetweetId' RetweetOriginalId' StatusType' UserId' BaseUserId' RetweeterId' RetweetOriginalUserId' EntityAidedText' Text' CreatedAt' BaseSource' Source' InReplyToStatusId' InReplyToOrRecipientUserId' InReplyToOrRecipientScreenName' Longitude' Latitude
Broken Modularization,StarryEyes.Casket.DatabaseModels,DatabaseUser,C:\repos\karno_StarryEyes\StarryEyes.Casket\DatabaseModels\DatabaseUser.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: Id' ScreenName' Name' Description' Location' Url' IsDefaultProfileImage' ProfileImageUri' ProfileBackgroundImageUri' ProfileBannerUri' IsProtected' IsVerified' IsTranslator' IsContributorsEnabled' IsGeoEnabled' StatusesCount' FollowingsCount' FollowersCount' FavoritesCount' ListedCount' Language' CreatedAt' UpdatedAt
Rebellious Hierarchy,StarryEyes.Casket.Connections,SharedConnection,C:\repos\karno_StarryEyes\StarryEyes.Casket\Connections\SharedConnection.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Close' Open
Broken Hierarchy,StarryEyes.Casket.Cruds,FavoritesCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\FavoritesCrud.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StarryEyes.Casket.Cruds.ActivityCrudBase
Broken Hierarchy,StarryEyes.Casket.Cruds,RetweetsCrud,C:\repos\karno_StarryEyes\StarryEyes.Casket\Cruds\RetweetsCrud.cs,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StarryEyes.Casket.Cruds.ActivityCrudBase
