Namespace,Type,Method,LOC,CC,PC
WorkoutWotch.Utility,DisposableBase,Dispose,12,2,0
WorkoutWotch.Utility,DisposableBase,VerifyNotDisposing,0,1,0
WorkoutWotch.Utility,DisposableBase,VerifyNotDisposed,0,1,0
WorkoutWotch.Utility,DisposableBase,VerifyNotDisposedOrDisposing,0,1,0
WorkoutWotch.Utility,DisposableBase,Dispose,2,1,1
WorkoutWotch.Utility,DisposableBase,OnDisposing,0,1,0
WorkoutWotch.Utility,DisposableBase,MarkAsDisposed,4,1,0
System.Reactive.Linq,ToSignalExtensions,ToSignal,6,1,1
System,SubscribeSafeExtensions,SubscribeSafe,14,1,4
System,SubscribeSafeExtensions,SubscribeSafe,15,1,5
System,MathExt,Max,0,1,2
System,MathExt,Min,0,1,2
System.Threading.Tasks,TaskExtensions,ContinueOnAnyContext,4,1,1
System.Threading.Tasks,TaskExtensions,ContinueOnAnyContext,4,1,1
System.Reactive.Disposables,CompositeDisposableExtensions,AddTo,7,1,2
Sprache,ParserExtensions,Token,10,1,2
Sprache,ParserExtensions,ToUnit,4,1,1
Sprache,ParserExtensions,Do,11,1,2
Sprache,ParseExt,Default,0,1,0
ReactiveUI,IsActivatedExtensions,GetIsActivated,10,1,1
