Method,LOC,CC,PC
ConfigurationWatcher:Watch,27,4,2
ConfigurationWatcher:Pause,3,1,0
ConfigurationWatcher:Resume,3,1,0
ConfigurationWatcher:NeedsLoadConfig,3,1,1
ConfigurationWatcher:OnConfigFileUpdated,31,4,3
BootstrapBase:BootstrapBase,9,2,1
BootstrapBase:HandleConfigSource,8,2,1
BootstrapBase:CreateExportProvider,3,1,0
BootstrapBase:Start,11,3,0
BootstrapBase:Stop,8,3,0
BootstrapBase:GetBootstrapMetadata,6,1,0
BootstrapBase:StartStatusCollect,15,2,0
BootstrapBase:StopStatusCollect,10,3,0
BootstrapBase:OnStatusCollectTimerCallback,23,2,1
BootstrapBase:GetAppServerMetadata,10,2,1
BootstrapBase:CreateAppInstanceByMetadata,0,1,1
BootstrapBase:CreateAppInstance,6,2,1
BootstrapBase:Setup,3,1,2
BootstrapBase:Initialize,52,5,0
BootstrapBase:RegisterRemotingService,22,5,0
BootstrapFactory:CreateBootstrap,10,3,1
BootstrapFactory:CreateBootstrap,9,3,0
BootstrapFactory:CreateBootstrapFromConfigFile,12,3,1
DefaultBootstrap:DefaultBootstrap,3,1,1
DefaultBootstrap:CreateAppInstanceByMetadata,3,1,1
IRemoteManagedApp:Setup,0,1,5
MefExtensions:GetExportType,13,1,1
Program:Main,35,6,1
Program:ChangeScriptExecutable,12,2,0
Program:Run,20,2,2
Program:CheckCanSetConsoleColor,12,1,0
Program:SetConsoleColor,4,2,1
Program:AddCommand,9,1,3
Program:RunAsConsole,37,4,0
Program:RegisterCommands,5,1,0
Program:RunAsController,46,5,1
Program:ListCommand,7,2,2
Program:StopCommand,20,4,2
Program:StartCommand,20,4,2
Program:ReadConsoleCommand,28,5,1
Program:RunAsService,10,1,0
ManagedAppGroup:ManagedAppGroup,8,3,2
ManagedAppGroup:Setup,9,3,2
ManagedAppGroup:Start,8,3,0
ManagedAppGroup:Stop,6,2,0
ManagedAppGroup:GetMetadata,3,1,0
ManagedAppGroup:CanBeRecycled,3,1,0
ManagedAppGroup:CollectStatus,3,1,0
ManagedAppGroup:ReportPotentialConfigChange,6,2,1
RemoteAppTypeValidator:RemoteAppTypeValidator,3,1,0
RemoteAppTypeValidator:GetServerMetadata,34,2,1
ProcessLocker:ProcessLocker,3,1,2
ProcessLocker:GetLockedProcess,29,3,0
ProcessLocker:SaveLock,6,1,1
ProcessLocker:CleanLock,4,2,0
RemoteBootstrapProxy:RemoteBootstrapProxy,11,3,1
RemoteBootstrapProxy:RemoteBootstrapProxy,3,1,0
RemoteBootstrapProxy:Initialize,3,1,0
RemoteBootstrapProxy:Start,3,1,0
RemoteBootstrapProxy:Stop,3,1,0
RemoteBootstrapProxy:InitializeLifetimeService,4,1,0
ServerProxy:ServerProxy,3,1,1
ServerProxy:Start,3,1,0
ServerProxy:Stop,3,1,0
ServerProxy:Setup,3,1,2
ServerProxy:GetMetadata,3,1,0
ServerProxy:CanBeRecycled,3,1,0
ServerProxy:CollectStatus,3,1,0
ServerProxy:ReportPotentialConfigChange,3,1,1
ServerProxy:InitializeLifetimeService,4,1,0
DefaultStatusCollector:CollectAppServer,13,3,2
DefaultStatusCollector:Collect,9,2,3
AppAssemblyUpdateState:AppAssemblyUpdateState,4,1,1
AppAssemblyUpdateState:GetLastUpdateTime,10,3,0
AppAssemblyUpdateState:TryCheckUpdate,8,2,0
AssemblyImport:AssemblyImport,4,1,1
AssemblyImport:CurrentDomain_AssemblyResolve,16,5,2
AssemblyImport:RegisterAssembplyImport,11,1,1
IsolationApp:GetAppWorkingDir,10,3,1
IsolationApp:GetAppWorkingDir,3,1,0
IsolationApp:IsolationApp,13,3,2
IsolationApp:GetAppConfigFile,11,3,0
IsolationApp:Setup,25,4,2
IsolationApp:GetMetadata,3,1,0
IsolationApp:CreateAndStartServerInstance,0,1,0
IsolationApp:GetAppAssemblyUpdateState,3,1,0
IsolationApp:Start,15,2,0
IsolationApp:Stop,12,2,0
