Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,CMContrib.Spec,DialogCloser_Spec,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' that' Window
Unutilized Abstraction,CMContrib.Spec,DialogCloser_Spec,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,when_set_on_an_active_dialog_window,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' of' sets_the_dialog_result_of_the_window
Unutilized Abstraction,CMContrib.Spec,when_set_on_an_active_dialog_window,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,when_set_on_an_inactive_dialog_window,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' of' doesnt_set_the_dialog_result
Unutilized Abstraction,CMContrib.Spec,when_set_on_an_inactive_dialog_window,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\DialogCloser_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,SingleResultEnumerator_Spec,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' that' Result' Sut
Unutilized Abstraction,CMContrib.Spec,SingleResultEnumerator_Spec,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,when_created,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' can_move_next' has_no_current_item
Unutilized Abstraction,CMContrib.Spec,when_created,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,when_moved_next_once,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' of' cannot_move_next' has_result_as_current_item
Unutilized Abstraction,CMContrib.Spec,when_moved_next_once,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,CMContrib.Spec,when_resetted_after_moved_next_once,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' of' can_move_next' has_no_current_item
Unutilized Abstraction,CMContrib.Spec,when_resetted_after_moved_next_once,C:\repos\kmees_CMContrib\spec\CMContrib.Spec\SingleResultEnumerator_Spec.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
