Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Tests.ELF,NoteSectionTests,0,5,0,0,5,44,5,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,OpeningTests,0,13,0,0,13,82,13,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,ProgBitsSectionTests,0,2,0,0,2,19,2,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,SectionGettingTests,0,3,0,0,3,22,3,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,SectionHeadersParsingTests,0,9,0,0,9,66,9,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,SegmentsTests,0,9,0,0,9,72,9,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,StringTableTests,0,3,0,0,3,32,3,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,SymbolTableTests,0,3,0,0,3,26,3,0,0,-1,1,0,Tests.Utilities,
Tests.ELF,WebTests,0,3,0,0,3,83,6,0,0,-1,1,0,Tests.Utilities,
Tests.MachO,EntryPointTests,0,2,0,0,2,22,2,0,0,-1,1,0,Tests.Utilities,
Tests.MachO,OpeningTests,0,3,0,0,3,25,3,0,0,-1,1,0,Tests.Utilities,
Tests.MachO,SegmentTests,0,2,0,0,2,22,2,0,0,-1,1,0,Tests.Utilities,
Tests.MachO,SymbolTableTests,0,1,0,0,1,12,1,0,0,-1,1,0,Tests.Utilities,
Tests.UImage,GzipTests,0,1,0,0,1,13,1,0,0,-1,1,0,Tests.Utilities,
Tests.UImage,SimpleTests,0,9,0,0,9,61,9,0,0,-1,1,0,Tests.Utilities,
Tests,Utilities,2,2,0,0,2,25,3,0,0,0,0,15,,Tests.MachO.EntryPointTests' Tests.ELF.SymbolTableTests' Tests.ELF.SectionGettingTests' Tests.MachO.SegmentTests' Tests.MachO.SymbolTableTests' Tests.UImage.GzipTests' Tests.UImage.SimpleTests' Tests.ELF.StringTableTests' Tests.ELF.ProgBitsSectionTests' Tests.ELF.NoteSectionTests' Tests.ELF.OpeningTests' Tests.MachO.OpeningTests' Tests.ELF.WebTests' Tests.ELF.SegmentsTests' Tests.ELF.SectionHeadersParsingTests
