Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CmdCipher,1,3,0,0,2,126,22,0,1,0,6,1
CmdDigest,1,3,0,0,2,39,6,0,1,0.67,2,1
CmdGenRSA,1,3,0,0,2,80,16,0,1,0,6,0
CmdRSA,1,3,0,0,2,105,20,0,1,0,5,0
CmdDH,1,3,0,0,2,96,19,0,1,0,4,0
CmdGenDH,1,3,0,0,2,52,8,0,1,0,3,0
CmdVersion,1,3,0,0,2,71,17,0,1,0,3,0
Option,2,1,2,0,1,23,1,0,0,0,0,1
OptionParser,3,6,1,0,6,62,13,0,0,0.33,1,7
ICommand,0,1,0,0,0,4,1,8,0,-1,0,1
NullCommand,1,2,0,0,2,15,2,0,1,0,0,0
Program,3,11,0,0,3,203,39,0,0,0.36,6,5
