Method,LOC,CC,PC
CodeGenerator:CodeGenerator,5,1,3
CodeGenerator:Generate,10,1,2
CodeGenerator:EnsureGenerator,6,3,0
ContentTypeSerializer:Deserialize,12,2,1
ContentTypeSerializer:Serialize,18,1,1
ContentTypeSerializer:CreateTypedSerializer,3,1,0
ContentTypeSerializer:SerializeStructure,6,1,0
ContentTypeSerializer:SerializeProperties,6,2,0
ContentTypeSerializer:SerializeProperty,13,1,2
ContentTypeSerializer:CreateElement,5,1,2
ContentTypeSerializer:SerializeTabs,6,2,0
ContentTypeSerializer:SerializeTab,9,2,2
ContentTypeSerializer:CreateTypedSerializer,6,2,1
ContentTypeSerializer:DeserializeStructure,7,3,0
ContentTypeSerializer:DeserializeProperties,7,3,0
ContentTypeSerializer:DeserializeProperty,14,1,1
ContentTypeSerializer:DeserializeTabs,7,3,0
ContentTypeSerializer:DeserializeTab,11,1,1
TypedContentTypeSerializer:CreateType,0,1,0
TypedContentTypeSerializer:DeserializeInfo,0,1,2
TypedContentTypeSerializer:Create,3,1,1
TypedContentTypeSerializer:DeserializeCommonInfo,9,1,2
TypedContentTypeSerializer:CreateRoot,0,1,0
TypedContentTypeSerializer:OnSerializingInfo,2,1,2
TypedContentTypeSerializer:SerializeInfo,11,1,2
TypedContentTypeSerializer:GetInfo,0,1,1
TypedContentTypeSerializer:CreateStructureElements,0,1,1
DocumentTypeSerializer:CreateType,3,1,0
DocumentTypeSerializer:DeserializeInfo,7,2,2
DocumentTypeSerializer:CreateRoot,3,1,0
DocumentTypeSerializer:OnSerializingInfo,10,1,2
DocumentTypeSerializer:GetInfo,3,1,1
DocumentTypeSerializer:CreateStructureElements,5,1,1
MediaTypeSerializer:CreateType,3,1,0
MediaTypeSerializer:DeserializeInfo,3,1,2
MediaTypeSerializer:CreateRoot,3,1,0
MediaTypeSerializer:GetInfo,3,1,1
MediaTypeSerializer:CreateStructureElements,5,1,1
CodeParser:CodeParser,5,1,3
CodeParser:Parse,5,1,1
CodeParser:ValidateTree,4,2,1
CodeParser:FindTypes,3,1,1
CodeParser:Generate,5,1,1
AnalysisException:AnalysisException,3,1,1
AnalysisException:GetObjectData,4,1,2
AnalysisException:AnalysisException,3,1,2
EnumerableExtensions:NonNullOrWhiteSpace,3,1,1
EnumerableExtensions:AsPrimitiveExpressions,6,1,1
XExtensions:ElementValue,6,2,2
XExtensions:AttributeValue,3,1,3
ContentTypeConfiguration:ContentTypeConfiguration,4,1,2
ContentTypeConfiguration:ContentTypeConfiguration,3,1,0
CodeGeneratorConfiguration:SetConfig,8,2,2
CodeGeneratorConfiguration:Get,3,1,1
CodeGeneratorConfiguration:CodeGeneratorConfiguration,7,1,0
CodeGeneratorConfiguration:Create,12,1,0
TypeMappings:ContainsKey,3,1,1
TypeMappings:TypeMappings,3,1,0
TypeMappings:TypeMappings,3,1,1
TypeMappings:HasDataTypeId,3,1,1
TypeMappings:Add,3,1,1
TypeMapping:TypeMapping,2,1,0
TypeMapping:TypeMapping,4,1,2
DataTypeDefinition:DataTypeDefinition,2,1,0
