Method,LOC,CC,PC
BotUtils:UserIsBot,21,2,0
CensorUtils:CensorUtils,5,2,1
CensorUtils:CensorText,11,3,1
CensorUtils:StarCensoredMatch,4,1,1
CensorUtils:ToRegexPattern,11,2,1
ConfigUtils:GetAppSetting,6,2,1
ConfigUtils:GetAppSetting,15,4,2
ConfigUtils:GetAppSettingInt32,3,1,2
ConfigUtils:UpdateAppSetting,10,2,2
ConfigUtils:ChangeApplicationName,19,4,2
ConfigUtils:InsertConnectionString,15,2,3
ConfigUtils:UpdateConnectionString,19,4,2
ConfigUtils:InsertAppSetting,14,2,2
ConfigUtils:InsertAppSetting,16,3,1
ConfigUtils:GetWebConfig,5,1,0
DateUtils:FormatLongDate,3,1,2
DateUtils:ParseDate,4,1,1
DateUtils:FormatDateTime,8,2,2
DateUtils:GetDayNumberSuffix,15,7,1
DateUtils:GetCurrentMonthName,3,1,0
DateUtils:FirstDateOfWeek,10,2,2
DateUtils:TimeDifferenceInMinutes,4,1,2
DateUtils:TimeDifferenceInSeconds,4,1,2
DateUtils:ReturnNextNthWeekdaysOfMonth,8,1,3
DateUtils:ReturnNextNthWeekdays,7,3,3
EnumUtils:ReturnEnumValueFromString,9,2,1
ExtensionMethods:DistinctBy,8,3,2
GuidComb:GenerateComb,26,1,0
InstallerHelper:TouchWebConfig,6,1,0
InstallerHelper:GetMainDatabaseFilePath,3,1,1
InstallerHelper:GetUpdateDatabaseFilePath,3,1,1
LanguageUtils:ReadCultures,11,4,0
LanguageUtils:Contains,3,1,1
LanguageUtils:GetCulture,4,1,1
NodePositions:NodePositions,4,1,1
NodePositions:AddNode,6,2,1
IStemmerInterface:StemTerm,1,1,1
PorterStemmer:PorterStemmer,5,1,0
PorterStemmer:StemTerm,5,1,1
PorterStemmer:SetTerm,7,3,1
PorterStemmer:getTerm,3,1,0
PorterStemmer:add,9,4,1
PorterStemmer:add,10,6,2
PorterStemmer:ToString,3,1,0
PorterStemmer:GetResultLength,3,1,0
PorterStemmer:GetResultBuffer,3,1,0
PorterStemmer:cons,14,7,1
PorterStemmer:m,31,8,0
PorterStemmer:vowelinstem,7,3,0
PorterStemmer:doublec,7,1,1
PorterStemmer:cvc,8,1,1
PorterStemmer:ends,12,3,1
PorterStemmer:setto,8,3,1
PorterStemmer:r,4,2,1
PorterStemmer:step1,29,14,0
PorterStemmer:step2,4,2,0
PorterStemmer:step3,108,60,0
PorterStemmer:step4,40,22,0
PorterStemmer:step5,72,52,0
PorterStemmer:step6,10,4,0
PorterStemmer:stem,13,2,0
CsvLine:CsvLine,2,1,0
CsvLine:CsvLine,3,1,1
CsvReader:CsvReader,2,1,0
CsvReader:ReadCsv,23,4,1
CsvReader:Load,9,4,1
CsvReader:Load,11,3,1
ReflectionUtilities:GetActivator,21,2,1
RssReader:GetRssFeed,14,1,1
StringUtils:IsNullEmpty,3,1,1
StringUtils:ToInt32,3,1,1
StringUtils:RemoveLineBreaks,3,1,1
StringUtils:ReturnCurrentDomain,5,1,0
StringUtils:ReplaceLineBreaks,3,1,2
StringUtils:ContainsCaseInsensitive,4,1,2
StringUtils:GetGravatarImage,3,1,2
StringUtils:md5HashString,16,2,1
StringUtils:IsValidEmail,7,2,1
StringUtils:CreateSalt,8,1,1
StringUtils:GenerateSaltedHash,13,1,2
StringUtils:PostForm,22,5,2
StringUtils:CsvIdConverter,3,1,1
StringUtils:StripNonNumerics,4,1,1
StringUtils:IsNumeric,5,1,1
StringUtils:RandomString,7,2,1
StringUtils:NumberOfOccurrences,7,2,2
StringUtils:StringReverse,8,2,1
StringUtils:CapitalizeWords,15,3,1
StringUtils:CountWordsInString,11,4,1
StringUtils:ReturnAmountWordsFromString,22,5,2
StringUtils:ReturnSearchString,11,2,1
StringUtils:CommonWords,105,1,0
StringUtils:StripNonAlphaNumeric,5,1,2
StringUtils:GetUsersIpAddress,9,2,0
StringUtils:GetSafeHtml,7,1,2
