Method,LOC,CC,PC
AbstractIoBuffer:AbstractIoBuffer,6,1,5
AbstractIoBuffer:AbstractIoBuffer,6,1,5
AbstractIoBuffer:Expand,3,1,1
AbstractIoBuffer:Expand,3,1,2
AbstractIoBuffer:Sweep,4,1,0
AbstractIoBuffer:Sweep,4,1,1
AbstractIoBuffer:FillAndReset,13,1,1
AbstractIoBuffer:FillAndReset,13,1,2
AbstractIoBuffer:Fill,26,5,1
AbstractIoBuffer:Fill,35,6,2
AbstractIoBuffer:GetHexDump,3,1,0
AbstractIoBuffer:GetHexDump,3,1,1
AbstractIoBuffer:PrefixedDataAvailable,3,1,1
AbstractIoBuffer:PrefixedDataAvailable,24,4,2
AbstractIoBuffer:IndexOf,26,4,1
AbstractIoBuffer:GetPrefixedString,3,1,1
AbstractIoBuffer:GetPrefixedString,22,4,2
AbstractIoBuffer:PutPrefixedString,3,1,2
AbstractIoBuffer:PutPrefixedString,50,6,3
AbstractIoBuffer:GetObject,4,1,0
AbstractIoBuffer:PutObject,5,1,1
AbstractIoBuffer:Slice,4,1,0
AbstractIoBuffer:GetSlice,19,4,2
AbstractIoBuffer:GetSlice,15,3,1
AbstractIoBuffer:Duplicate,4,1,0
AbstractIoBuffer:AsReadOnlyBuffer,4,1,0
AbstractIoBuffer:Skip,5,1,1
AbstractIoBuffer:Put,5,1,1
AbstractIoBuffer:Put,5,1,2
AbstractIoBuffer:Put,8,2,3
AbstractIoBuffer:Put,7,2,1
AbstractIoBuffer:Put,3,1,1
AbstractIoBuffer:PutString,3,1,1
AbstractIoBuffer:PutString,6,2,2
AbstractIoBuffer:PutString,34,7,3
AbstractIoBuffer:GetString,67,11,1
AbstractIoBuffer:GetString,54,10,2
AbstractIoBuffer:Offset,3,1,1
AbstractIoBuffer:PutInternal,9,3,1
AbstractIoBuffer:PutInternal,5,2,3
AbstractIoBuffer:GetInternal,0,1,1
AbstractIoBuffer:PutInternal,0,1,2
AbstractIoBuffer:Slice0,0,1,0
AbstractIoBuffer:Duplicate0,0,1,0
AbstractIoBuffer:AsReadOnlyBuffer0,0,1,0
AbstractIoBuffer:Expand,3,1,2
AbstractIoBuffer:Expand,21,5,3
AbstractIoBuffer:AutoExpand0,4,2,1
AbstractIoBuffer:AutoExpand0,4,2,2
AbstractIoBuffer:GetChar,3,1,0
AbstractIoBuffer:GetChar,3,1,1
AbstractIoBuffer:PutChar,5,1,1
AbstractIoBuffer:PutChar,5,1,2
AbstractIoBuffer:GetInt16,3,1,0
AbstractIoBuffer:GetInt16,3,1,1
AbstractIoBuffer:PutInt16,5,1,1
AbstractIoBuffer:PutInt16,5,1,2
AbstractIoBuffer:GetInt32,3,1,0
AbstractIoBuffer:GetInt32,3,1,1
AbstractIoBuffer:PutInt32,5,1,1
AbstractIoBuffer:PutInt32,5,1,2
AbstractIoBuffer:GetInt64,3,1,0
AbstractIoBuffer:GetInt64,3,1,1
AbstractIoBuffer:PutInt64,5,1,1
AbstractIoBuffer:PutInt64,5,1,2
AbstractIoBuffer:GetSingle,3,1,0
AbstractIoBuffer:GetSingle,3,1,1
AbstractIoBuffer:PutSingle,5,1,1
AbstractIoBuffer:PutSingle,5,1,2
AbstractIoBuffer:GetDouble,3,1,0
AbstractIoBuffer:GetDouble,3,1,1
AbstractIoBuffer:PutDouble,5,1,1
AbstractIoBuffer:PutDouble,5,1,2
Bits:Swap,4,1,1
Bits:Swap,4,1,1
Bits:Swap,4,1,1
